source,condition,count,next_expansive_fraction,avg_next_log,avg_next_tail,avg_next_exit_v2
real,prev_expansive,248777,0.28551273,-0.576785435974,1.99901518,2.00147924
real,prev_nonexpansive,122299,0.28302766,-0.585849559727,1.99595254,2.0127638
real,prev_tail_ge_8,6540,0.29159021,-0.573229542248,2.01284404,2.00443425
real,prev_tail_lt_8,364536,0.28456997,-0.579890174095,1.99773959,2.00521211
real,prev_exit_v2_le_2,348409,0.28464822,-0.579742298604,1.99806549,2.0051893
real,prev_exit_v2_ge_5,1458,0.23662551,-0.621436756799,1.8957476,2.00548697
model,prev_expansive,249841,0.28606594,-0.577062679125,1.99862312,2.00164505
model,prev_nonexpansive,123221,0.28614441,-0.574361296357,2.00179353,1.99960234
model,prev_tail_ge_8,6475,0.28586873,-0.589841778924,2.00864865,2.02594595
model,prev_tail_lt_8,366587,0.2860958,-0.575928946185,1.99951171,2.00052921
model,prev_exit_v2_le_2,350225,0.28616746,-0.576698025334,1.99976586,2.00178742
model,prev_exit_v2_ge_5,1425,0.28140351,-0.566562519441,2.00491228,1.99017544
