max_expansive_run,real_count,model_count,real_fraction,model_fraction,fraction_diff_real_minus_model
0,356865,356888,0.71373143,0.71377743,-4.6e-05
1,98102,98103,0.19620439,0.19620639,-2e-06
2,31184,31227,0.06236812,0.06245412,-8.6e-05
3,9807,9799,0.01961404,0.01959804,1.6e-05
4,2856,2784,0.00571201,0.00556801,0.000144
5,862,849,0.001724,0.001698,2.6e-05
6,230,253,0.00046,0.000506,-4.6e-05
7,76,65,0.000152,0.00013,2.2e-05
8,10,22,2e-05,4.4e-05,-2.4e-05
9,3,5,6e-06,1e-05,-4e-06
10,4,3,8e-06,6e-06,2e-06
11,0,1,0.0,2e-06,-2e-06
