tail_length,count,avg_exit_v2,avg_next_tail,growth_fraction,avg_peak_ratio,avg_next_odd_ratio,max_exit_v2,argmax_exit_v2,max_next_tail,argmax_next_tail,max_peak_ratio,argmax_peak_ratio
1,250000,1.999988,1.999828,0.0,3.000017,0.500003,19,349525,19,699049,4.0,1
2,125000,2.000032,1.999856,0.5,4.500036,0.750006,21,932067,17,116507,5.333333,3
3,62500,2.000016,1.999984,0.5,6.750063,1.12501,17,970903,17,77671,7.428571,7
4,31250,2.0,2.000224,0.749984,10.125101,1.6875,16,297743,16,155343,10.666667,15
5,15625,2.0,2.00032,0.750016,15.187654,2.531368,16,198495,15,138079,15.612903,31
6,7813,1.999744,2.001024,0.874952,22.781478,3.796533,14,481855,14,566719,23.111111,63
7,3906,1.999488,1.999488,0.937276,34.172205,5.694778,12,495999,12,28287,34.425197,127
8,1953,2.003584,2.0,0.93702,51.258283,8.53912,17,680191,11,56575,51.45098,255
9,977,1.997953,2.008188,0.96827,76.887381,12.820983,11,103935,12,944639,77.033268,511
10,488,1.997951,1.997951,0.969262,115.331003,19.2237,10,418815,12,629759,115.44086,1023
11,244,1.995902,2.02459,0.983607,172.996394,28.827442,9,628735,12,419839,173.078652,2047
12,122,2.008197,2.098361,0.991803,259.49442,43.117461,8,69631,11,839679,259.555556,4095
13,61,2.0,1.901639,0.983607,389.241367,65.558026,10,745471,6,303103,389.28629,8191
14,31,2.0,2.064516,1.0,583.861612,95.789708,6,147455,7,901119,583.894037,16383
15,15,2.0,2.0,1.0,875.791933,148.246103,6,98303,5,622591,875.814447,32767
16,8,2.125,1.5,1.0,1313.686729,216.809311,6,65535,3,983039,1313.701686,65535
17,4,1.75,1.5,1.0,1970.5288,338.684828,3,393215,3,655359,1970.537525,131071
18,2,2.0,1.0,1.0,2955.791272,461.842034,3,262143,1,262143,2955.795028,262143
19,1,1.0,1.0,1.0,4433.684093,1108.421023,1,524287,1,524287,4433.684093,524287
