tail_length,next_tail,count
1,1,125005
1,2,62497
1,3,31253
1,4,15622
1,5,7815
1,6,3904
1,7,1955
1,8,974
1,9,490
1,10,242
1,11,124
1,12,59
1,13,32
1,14,14
1,15,8
1,16,3
1,17,2
1,19,1
2,1,62502
2,2,31247
2,3,15629
2,4,7811
2,5,3906
2,6,1954
2,7,975
2,8,486
2,9,248
2,10,122
2,11,61
2,12,30
2,13,14
2,14,6
2,15,6
2,16,2
2,17,1
3,1,31251
3,2,15624
3,3,7813
3,4,3905
3,5,1954
3,6,977
3,7,489
3,8,244
3,9,121
3,10,60
3,11,30
3,12,17
3,13,7
3,14,3
3,15,3
3,16,1
3,17,1
4,1,15625
4,2,7812
4,3,3907
4,4,1952
4,5,977
4,6,488
4,7,245
4,8,122
4,9,61
4,10,29
4,11,16
4,12,8
4,13,3
4,14,2
4,15,1
4,16,2
5,1,7811
5,2,3906
5,3,1953
5,4,978
5,5,488
5,6,246
5,7,123
5,8,60
5,9,29
5,10,15
5,11,8
5,12,3
5,13,2
5,14,2
5,15,1
6,1,3904
6,2,1954
6,3,976
6,4,488
6,5,246
6,6,125
6,7,58
6,8,32
6,9,13
6,10,9
6,11,5
6,12,2
6,14,1
7,1,1954
7,2,975
7,3,488
7,4,243
7,5,124
7,6,61
7,7,30
7,8,16
7,9,8
7,10,4
7,11,2
7,12,1
8,1,976
8,2,487
8,3,244
8,4,121
8,5,65
8,6,31
8,7,16
8,8,5
8,9,5
8,10,1
8,11,2
9,1,488
9,2,243
9,3,122
9,4,60
9,5,33
9,6,15
9,7,9
9,8,3
9,9,2
9,10,1
9,12,1
10,1,244
10,2,123
10,3,60
10,4,31
10,5,15
10,6,8
10,7,3
10,8,2
10,9,1
10,12,1
11,1,120
11,2,62
11,3,32
11,4,14
11,5,7
11,6,5
11,7,3
11,12,1
12,1,60
12,2,30
12,3,15
12,4,8
12,5,3
12,6,3
12,7,1
12,8,1
12,11,1
13,1,32
13,2,14
13,3,8
13,4,4
13,5,2
13,6,1
14,1,16
14,2,7
14,3,3
14,4,2
14,5,2
14,7,1
15,1,7
15,2,4
15,3,2
15,4,1
15,5,1
16,1,5
16,2,2
16,3,1
17,1,3
17,3,1
18,1,2
19,1,1
