source,prev_exit_v2,next_exit_v2,count,fraction,geometric_fraction,diff_vs_geometric
chain_before_descent,1,1,709346,0.49981891,0.5,-0.00018109
chain_before_descent,1,2,354867,0.25004615,0.25,4.615e-05
chain_before_descent,1,3,177271,0.12490858,0.125,-9.142e-05
chain_before_descent,1,4,88590,0.06242223,0.0625,-7.777e-05
chain_before_descent,1,5,44638,0.0314528,0.03125,0.0002028
chain_before_descent,1,6,22098,0.01557068,0.015625,-5.432e-05
chain_before_descent,1,7,11173,0.00787271,0.0078125,6.021e-05
chain_before_descent,1,8,5595,0.00394235,0.00390625,3.61e-05
chain_before_descent,1,9,2819,0.00198632,0.00195312,3.32e-05
chain_before_descent,1,10,1447,0.00101958,0.00097656,4.302e-05
chain_before_descent,1,11,685,0.00048266,0.00048828,-5.62e-06
chain_before_descent,1,12,314,0.00022125,0.00024414,-2.289e-05
chain_before_descent,1,13,201,0.00014163,0.00012207,1.956e-05
chain_before_descent,1,14,82,5.778e-05,6.104e-05,-3.26e-06
chain_before_descent,1,15,43,3.03e-05,3.052e-05,-2.2e-07
chain_before_descent,1,16,24,1.691e-05,1.526e-05,1.65e-06
chain_before_descent,1,17,4,2.82e-06,7.63e-06,-4.81e-06
chain_before_descent,1,18,4,2.82e-06,3.81e-06,-1e-06
chain_before_descent,1,19,4,2.82e-06,1.91e-06,9.1e-07
chain_before_descent,1,20,1,7e-07,9.5e-07,-2.5e-07
local_all_starts,1,1,625000,0.4999996,0.5,-4e-07
local_all_starts,1,2,312515,0.2500118,0.25,1.18e-05
local_all_starts,1,3,156247,0.1249975,0.125,-2.5e-06
local_all_starts,1,4,78119,0.06249515,0.0625,-4.85e-06
local_all_starts,1,5,39057,0.03124558,0.03125,-4.42e-06
local_all_starts,1,6,19528,0.01562239,0.015625,-2.61e-06
local_all_starts,1,7,9771,0.00781679,0.0078125,4.29e-06
local_all_starts,1,8,4879,0.0039032,0.00390625,-3.05e-06
local_all_starts,1,9,2447,0.0019576,0.00195312,4.47e-06
local_all_starts,1,10,1219,0.0009752,0.00097656,-1.36e-06
local_all_starts,1,11,606,0.0004848,0.00048828,-3.48e-06
local_all_starts,1,12,308,0.0002464,0.00024414,2.26e-06
local_all_starts,1,13,146,0.0001168,0.00012207,-5.27e-06
local_all_starts,1,14,83,6.64e-05,6.104e-05,5.36e-06
local_all_starts,1,15,43,3.44e-05,3.052e-05,3.88e-06
local_all_starts,1,16,16,1.28e-05,1.526e-05,-2.46e-06
local_all_starts,1,17,8,6.4e-06,7.63e-06,-1.23e-06
local_all_starts,1,18,6,4.8e-06,3.81e-06,9.9e-07
local_all_starts,1,19,1,8e-07,1.91e-06,-1.11e-06
local_all_starts,1,20,2,1.6e-06,9.5e-07,6.5e-07
chain_before_descent,2,1,164434,0.49996199,0.5,-3.801e-05
chain_before_descent,2,2,82151,0.24978032,0.25,-0.00021968
chain_before_descent,2,3,41123,0.12503459,0.125,3.459e-05
chain_before_descent,2,4,20717,0.06299009,0.0625,0.00049009
chain_before_descent,2,5,10004,0.03041719,0.03125,-0.00083281
chain_before_descent,2,6,5347,0.01625757,0.015625,0.00063257
chain_before_descent,2,7,2518,0.00765599,0.0078125,-0.00015651
chain_before_descent,2,8,1285,0.00390705,0.00390625,8e-07
chain_before_descent,2,9,719,0.00218612,0.00195312,0.000233
chain_before_descent,2,10,297,0.00090303,0.00097656,-7.353e-05
chain_before_descent,2,11,166,0.00050472,0.00048828,1.644e-05
chain_before_descent,2,12,54,0.00016419,0.00024414,-7.995e-05
chain_before_descent,2,13,42,0.0001277,0.00012207,5.63e-06
chain_before_descent,2,14,11,3.345e-05,6.104e-05,-2.759e-05
chain_before_descent,2,15,8,2.432e-05,3.052e-05,-6.19e-06
chain_before_descent,2,16,11,3.345e-05,1.526e-05,1.819e-05
