source,prev_exit_v2,count,next_expansive_count,next_expansive_fraction,geometric_expansive_fraction,diff_vs_geometric,avg_next_tail,avg_next_exit_v2
chain_before_descent,1,1419206,406012,0.28608391,0.2862745,-0.00019059,1.99832794,2.00124013
local_all_starts,1,1250001,357840,0.28627177,0.2862745,-2.73e-06,1.9999808,1.9999728
chain_before_descent,2,328893,94022,0.28587413,0.2862745,-0.00040037,1.99767706,2.00063242
local_all_starts,2,624993,178922,0.28627841,0.2862745,3.9e-06,1.9999664,2.0000512
chain_before_descent,3,84177,24121,0.28655096,0.2862745,0.00027646,2.00817325,2.0130677
local_all_starts,3,312502,89471,0.28630537,0.2862745,3.087e-05,2.0000128,1.9998816
chain_before_descent,4,21880,6165,0.28176417,0.2862745,-0.00451033,1.99611517,1.976234
local_all_starts,4,156254,44730,0.28626467,0.2862745,-9.83e-06,2.0001216,2.0000768
chain_before_descent,5,5385,1399,0.25979573,0.2862745,-0.02647877,1.92423398,1.96620241
local_all_starts,5,78124,22366,0.28628846,0.2862745,1.396e-05,2.0001152,1.99953919
chain_before_descent,6,1280,345,0.26953125,0.2862745,-0.01674325,1.96640625,1.9875
local_all_starts,6,39063,11176,0.28610194,0.2862745,-0.00017256,1.9998976,2.00184318
chain_before_descent,7,332,64,0.19277108,0.2862745,-0.09350342,1.70481928,1.81626506
local_all_starts,7,19529,5596,0.28654821,0.2862745,0.00027371,2.00020482,1.99953915
chain_before_descent,8,85,18,0.21176471,0.2862745,-0.0745098,1.89411765,1.95294118
local_all_starts,8,9765,2801,0.28684076,0.2862745,0.00056626,1.99959037,1.99436764
