source,prev_exit_v2,next_tail,count,fraction,geometric_fraction,diff_vs_geometric
chain_before_descent,1,1,710244,0.50045166,0.5,0.00045166
chain_before_descent,1,2,354764,0.24997358,0.25,-2.642e-05
chain_before_descent,1,3,177105,0.12479161,0.125,-0.00020839
chain_before_descent,1,4,88886,0.06263079,0.0625,0.00013079
chain_before_descent,1,5,43955,0.03097154,0.03125,-0.00027846
chain_before_descent,1,6,22071,0.01555165,0.015625,-7.335e-05
chain_before_descent,1,7,11053,0.00778816,0.0078125,-2.434e-05
chain_before_descent,1,8,5632,0.00396842,0.00390625,6.217e-05
chain_before_descent,1,9,2773,0.00195391,0.00195312,7.8e-07
chain_before_descent,1,10,1431,0.00100831,0.00097656,3.175e-05
chain_before_descent,1,11,658,0.00046364,0.00048828,-2.464e-05
chain_before_descent,1,12,302,0.0002128,0.00024414,-3.135e-05
chain_before_descent,1,13,165,0.00011626,0.00012207,-5.81e-06
chain_before_descent,1,14,82,5.778e-05,6.104e-05,-3.26e-06
chain_before_descent,1,15,37,2.607e-05,3.052e-05,-4.45e-06
chain_before_descent,1,16,22,1.55e-05,1.526e-05,2.4e-07
chain_before_descent,1,17,19,1.339e-05,7.63e-06,5.76e-06
chain_before_descent,1,18,5,3.52e-06,3.81e-06,-2.9e-07
chain_before_descent,1,19,2,1.41e-06,1.91e-06,-5e-07
local_all_starts,1,1,625006,0.5000044,0.5,4.4e-06
local_all_starts,1,2,312499,0.249999,0.25,-1e-06
local_all_starts,1,3,156249,0.1249991,0.125,-9e-07
local_all_starts,1,4,78123,0.06249835,0.0625,-1.65e-06
local_all_starts,1,5,39061,0.03124878,0.03125,-1.22e-06
local_all_starts,1,6,19533,0.01562639,0.015625,1.39e-06
local_all_starts,1,7,9767,0.00781359,0.0078125,1.09e-06
local_all_starts,1,8,4882,0.0039056,0.00390625,-6.5e-07
local_all_starts,1,9,2440,0.001952,0.00195312,-1.13e-06
local_all_starts,1,10,1218,0.0009744,0.00097656,-2.16e-06
local_all_starts,1,11,611,0.0004888,0.00048828,5.2e-07
local_all_starts,1,12,309,0.0002472,0.00024414,3.06e-06
local_all_starts,1,13,152,0.0001216,0.00012207,-4.7e-07
local_all_starts,1,14,76,6.08e-05,6.104e-05,-2.4e-07
local_all_starts,1,15,37,2.96e-05,3.052e-05,-9.2e-07
