blocks,real_count,model_count,real_fraction,model_fraction,fraction_diff_real_minus_model
1,356865,356888,0.71373143,0.71377743,-4.6e-05
2,73159,73084,0.14631829,0.14616829,0.00015
3,25904,25870,0.0518081,0.0517401,6.8e-05
4,13908,13961,0.02781606,0.02792206,-0.000106
5,8947,9065,0.01789404,0.01813004,-0.000236
6,6053,5936,0.01210602,0.01187202,0.000234
7,4171,4091,0.00834202,0.00818202,0.00016
8,2781,2792,0.00556201,0.00558401,-2.2e-05
9,1978,1945,0.00395601,0.00389001,6.6e-05
10,1499,1479,0.00299801,0.00295801,4e-05
11,1127,1090,0.002254,0.00218,7.4e-05
12,834,877,0.001668,0.001754,-8.6e-05
13,575,637,0.00115,0.001274,-0.000124
14,461,455,0.000922,0.00091,1.2e-05
15,379,385,0.000758,0.00077,-1.2e-05
16,289,293,0.000578,0.000586,-8e-06
17,214,220,0.000428,0.00044,-1.2e-05
18,170,175,0.00034,0.00035,-1e-05
19,113,139,0.000226,0.000278,-5.2e-05
20,102,115,0.000204,0.00023,-2.6e-05
21,93,96,0.000186,0.000192,-6e-06
22,67,76,0.000134,0.000152,-1.8e-05
23,55,59,0.00011,0.000118,-8e-06
24,46,55,9.2e-05,0.00011,-1.8e-05
25,53,38,0.000106,7.6e-05,3e-05
26,35,27,7e-05,5.4e-05,1.6e-05
27,19,23,3.8e-05,4.6e-05,-8e-06
28,19,26,3.8e-05,5.2e-05,-1.4e-05
29,25,15,5e-05,3e-05,2e-05
30,8,17,1.6e-05,3.4e-05,-1.8e-05
31,11,12,2.2e-05,2.4e-05,-2e-06
32,10,3,2e-05,6e-06,1.4e-05
33,9,13,1.8e-05,2.6e-05,-8e-06
34,5,5,1e-05,1e-05,0.0
35,3,5,6e-06,1e-05,-4e-06
36,1,1,2e-06,2e-06,0.0
37,6,5,1.2e-05,1e-05,2e-06
38,2,3,4e-06,6e-06,-2e-06
39,0,4,0.0,8e-06,-8e-06
40,1,1,2e-06,2e-06,0.0
41,2,5,4e-06,1e-05,-6e-06
42,0,2,0.0,4e-06,-4e-06
43,0,3,0.0,6e-06,-6e-06
44,0,1,0.0,2e-06,-2e-06
45,0,2,0.0,4e-06,-4e-06
46,0,1,0.0,2e-06,-2e-06
47,0,1,0.0,2e-06,-2e-06
48,0,1,0.0,2e-06,-2e-06
49,0,0,0.0,0.0,0.0
50,0,0,0.0,0.0,0.0
51,0,0,0.0,0.0,0.0
52,0,1,0.0,2e-06,-2e-06
53,0,0,0.0,0.0,0.0
54,0,1,0.0,2e-06,-2e-06
