source,rank_metric,rank,sample_id,status,blocks,max_odd_ratio,max_peak_ratio,final_log_ratio
real,blocks,1,626331,drop,41,2882.774119,11531.096478,-0.047933396654
real,blocks,2,667375,drop,41,924.574042,3698.296166,-1.146544158607
real,blocks,3,704623,drop,40,2562.463611,10249.854444,-0.165717319309
real,blocks,4,270271,drop,38,11399.705248,91197.641982,-4.677947900767
real,blocks,5,405407,drop,38,7599.794125,60798.353003,-5.083414242204
real,blocks,6,540543,drop,37,5699.842079,45598.736633,-0.231385372158
real,blocks,7,608111,drop,37,5066.525251,40532.202009,-0.349168613368
real,blocks,8,687871,drop,37,5124.923669,29188.041851,-0.127155421885
real,blocks,9,381727,drop,37,370.248321,1480.993286,-0.85885779941
real,blocks,10,401151,drop,37,175.723119,987.327665,-1.78757281784
real,blocks,11,601727,drop,37,117.148649,658.217896,-2.19303875689
real,blocks,12,288615,drop,36,10675.154573,85401.236582,-4.74361636148
real,blocks,13,432923,drop,35,7116.761496,56934.091966,-0.009371065366
real,blocks,14,577231,drop,35,5337.568039,42700.544316,-0.297053715287
real,blocks,15,362343,drop,35,390.055227,1560.220907,-0.806743383011
real,blocks,16,487039,drop,34,6326.0021,50608.016804,-0.127155384288
real,blocks,17,730559,drop,34,4217.331847,33738.654778,-0.532621176803
real,blocks,18,974079,drop,34,3162.997803,25303.982424,-0.820303591459
real,blocks,19,528895,drop,34,456.063485,1824.253941,-0.244936027987
real,blocks,20,543515,drop,34,260.036579,1040.146314,-0.231380931001
model,blocks,1,79668,drop,54,17569.220716,80140.150108,-0.56909974778
model,blocks,2,375265,drop,52,102596.718685,540946.013229,-0.007286636255
model,blocks,3,252240,drop,48,224670.323778,1516524.6855,-0.53053478002
model,blocks,4,105886,drop,47,1068.71582,6086.670566,-0.623303881294
model,blocks,5,449092,drop,46,67477.203108,539817.624868,-0.100055737529
model,blocks,6,85276,drop,45,49926.738617,199706.954469,-2.571411353939
model,blocks,7,31532,drop,45,42700.417592,170801.670368,-0.217838773186
model,blocks,8,280464,drop,44,912.124873,4383.143034,-1.499901132027
model,blocks,9,297412,drop,43,9007.119336,50607.902331,-0.401288843359
model,blocks,10,233501,drop,43,912.124873,7296.99898,-1.212219059576
model,blocks,11,131025,drop,43,467.614228,2056.570875,-0.387737809981
model,blocks,12,371773,drop,42,34593.18035,276745.442801,-0.335621808842
model,blocks,13,394901,drop,42,4104.561926,20499.66243,-0.688970915811
model,blocks,14,325770,drop,41,303647.413988,2429179.311905,-1.943931207896
model,blocks,15,362399,drop,41,7703.442436,246510.157943,-2.505744319421
model,blocks,16,418028,drop,41,2668.7761,10675.104398,-0.401288843359
model,blocks,17,344695,drop,41,236.997006,1799.696016,-0.34917284222
model,blocks,18,304688,drop,41,135.129611,1246.971274,-2.938311494286
model,blocks,19,164769,drop,40,182.63096,1461.047678,-2.009598242414
model,blocks,20,254187,drop,39,6574.71455,26298.858202,-0.127157804286
real,max_peak_ratio,1,159487,drop,14,13482.586161,107860.689285,-4.627917824125
real,max_peak_ratio,2,270271,drop,38,11399.705248,91197.641982,-4.677947900767
real,max_peak_ratio,3,288615,drop,36,10675.154573,85401.236582,-4.74361636148
real,max_peak_ratio,4,704511,drop,13,1578.200277,80895.09393,-0.063576141588
real,max_peak_ratio,5,665215,drop,31,5194.846128,78896.725588,-1.749014593527
real,max_peak_ratio,6,239231,drop,14,8988.371988,71906.975902,-5.033385022266
real,max_peak_ratio,7,376831,drop,32,8098.653818,64789.230546,-0.872415798247
real,max_peak_ratio,8,405407,drop,38,7599.794125,60798.353003,-5.083414242204
real,max_peak_ratio,9,432923,drop,35,7116.761496,56934.091966,-0.009371065366
real,max_peak_ratio,10,318975,drop,13,6741.271946,53930.175569,-0.181357056168
real,max_peak_ratio,11,997823,drop,31,3463.229017,52597.790702,-2.154480202727
real,max_peak_ratio,12,487039,drop,34,6326.0021,50608.016804,-0.127155384288
real,max_peak_ratio,13,358847,drop,13,5992.239643,47937.91714,-0.299140440162
real,max_peak_ratio,14,540543,drop,37,5699.842079,45598.736633,-0.231385372158
real,max_peak_ratio,15,565247,drop,31,5399.09777,43192.782157,-0.297053331599
real,max_peak_ratio,16,577231,drop,35,5337.568039,42700.544316,-0.297053715287
real,max_peak_ratio,17,608111,drop,37,5066.525251,40532.202009,-0.349168613368
real,max_peak_ratio,18,478463,drop,13,4494.176601,35953.412807,-0.586823209289
real,max_peak_ratio,19,730559,drop,34,4217.331847,33738.654778,-0.532621176803
real,max_peak_ratio,20,753663,drop,31,4049.321536,32394.57229,-0.584735846335
model,max_peak_ratio,1,325770,drop,41,303647.413988,2429179.311905,-1.943931207896
model,max_peak_ratio,2,252240,drop,48,224670.323778,1516524.6855,-0.53053478002
model,max_peak_ratio,3,375265,drop,52,102596.718685,540946.013229,-0.007286636255
model,max_peak_ratio,4,449092,drop,46,67477.203108,539817.624868,-0.100055737529
model,max_peak_ratio,5,371773,drop,42,34593.18035,276745.442801,-0.335621808842
model,max_peak_ratio,6,362399,drop,41,7703.442436,246510.157943,-2.505744319421
model,max_peak_ratio,7,467872,drop,37,26298.858202,243192.222067,-0.179273805425
model,max_peak_ratio,8,23333,drop,27,28083.790472,199706.954469,-0.376274908977
model,max_peak_ratio,9,85276,drop,45,49926.738617,199706.954469,-2.571411353939
model,max_peak_ratio,10,31532,drop,45,42700.417592,170801.670368,-0.217838773186
model,max_peak_ratio,11,133714,drop,27,33284.492412,149780.215852,-0.088592836525
model,max_peak_ratio,12,368139,drop,30,35543.547316,142174.189266,-0.636854914672
model,max_peak_ratio,13,121451,drop,16,16197.264142,129578.113136,-1.554105265541
model,max_peak_ratio,14,79668,drop,54,17569.220716,80140.150108,-0.56909974778
model,max_peak_ratio,15,277700,drop,19,4799.189375,72887.688639,-0.91307408612
model,max_peak_ratio,16,405328,drop,28,17063.784446,72887.688639,-0.376274908977
model,max_peak_ratio,17,189015,drop,37,10675.104398,71087.094633,-0.806753951468
model,max_peak_ratio,18,230780,drop,22,6398.919167,64789.056568,-4.247475919885
model,max_peak_ratio,19,355874,drop,25,13666.44162,54665.766479,-0.036476835386
model,max_peak_ratio,20,446847,drop,18,13666.44162,54665.766479,-0.050027868765
real,max_odd_ratio,1,159487,drop,14,13482.586161,107860.689285,-4.627917824125
real,max_odd_ratio,2,270271,drop,38,11399.705248,91197.641982,-4.677947900767
real,max_odd_ratio,3,288615,drop,36,10675.154573,85401.236582,-4.74361636148
real,max_odd_ratio,4,239231,drop,14,8988.371988,71906.975902,-5.033385022266
real,max_odd_ratio,5,376831,drop,32,8098.653818,64789.230546,-0.872415798247
real,max_odd_ratio,6,405407,drop,38,7599.794125,60798.353003,-5.083414242204
real,max_odd_ratio,7,432923,drop,35,7116.761496,56934.091966,-0.009371065366
real,max_odd_ratio,8,318975,drop,13,6741.271946,53930.175569,-0.181357056168
real,max_odd_ratio,9,487039,drop,34,6326.0021,50608.016804,-0.127155384288
real,max_odd_ratio,10,358847,drop,13,5992.239643,47937.91714,-0.299140440162
real,max_odd_ratio,11,540543,drop,37,5699.842079,45598.736633,-0.231385372158
real,max_odd_ratio,12,113383,drop,25,5472.847226,21891.388903,-0.441916052578
real,max_odd_ratio,13,565247,drop,31,5399.09777,43192.782157,-0.297053331599
real,max_odd_ratio,14,577231,drop,35,5337.568039,42700.544316,-0.297053715287
real,max_odd_ratio,15,665215,drop,31,5194.846128,78896.725588,-1.749014593527
real,max_odd_ratio,16,687871,drop,37,5124.923669,29188.041851,-0.127155421885
real,max_odd_ratio,17,608111,drop,37,5066.525251,40532.202009,-0.349168613368
real,max_odd_ratio,18,478463,drop,13,4494.176601,35953.412807,-0.586823209289
real,max_odd_ratio,19,730559,drop,34,4217.331847,33738.654778,-0.532621176803
