metric,threshold,real_count,model_count,real_fraction,model_fraction,model_over_real,fraction_diff_model_minus_real
blocks_ge,5,30163,30196,0.06032612,0.06039212,1.001094,6.6e-05
blocks_ge,10,6233,6367,0.01246602,0.01273403,1.021498,0.000268
blocks_ge,20,572,617,0.001144,0.001234,1.078671,9e-05
blocks_ge,30,58,87,0.000116,0.000174,1.5,5.8e-05
blocks_ge,40,3,19,6e-06,3.8e-05,6.333333,3.2e-05
blocks_ge,50,0,2,0.0,4e-06,,4e-06
max_odd_ratio_ge,10,10508,10357,0.02101604,0.02071404,0.98563,-0.000302
max_odd_ratio_ge,100,1021,1022,0.002042,0.002044,1.000979,2e-06
max_odd_ratio_ge,1000,77,111,0.000154,0.000222,1.441558,6.8e-05
max_odd_ratio_ge,10000,3,17,6e-06,3.4e-05,5.666667,2.8e-05
max_odd_ratio_ge,100000,0,3,0.0,6e-06,,6e-06
max_peak_ratio_ge,10,84014,84214,0.16802834,0.16842834,1.002381,0.0004
max_peak_ratio_ge,100,6146,6253,0.01229202,0.01250603,1.01741,0.000214
max_peak_ratio_ge,1000,620,607,0.00124,0.001214,0.979032,-2.6e-05
max_peak_ratio_ge,10000,61,72,0.000122,0.000144,1.180328,2.2e-05
max_peak_ratio_ge,100000,1,13,2e-06,2.6e-05,13.0,2.4e-05
max_peak_ratio_ge,1000000,0,2,0.0,4e-06,,4e-06
