source,condition,count,next_expansive_count,next_expansive_fraction,next_expansive_se,avg_next_log,avg_next_log_se,avg_next_tail,avg_next_tail_se,avg_next_exit_v2,avg_next_exit_v2_se
real,prev_exit_v2_eq_1,1419206,406012,0.28608391,0.0003793565,-0.576900960819,0.000953531347,1.99832794,0.0011853802,2.00124013,0.0011887327
real,prev_exit_v2_eq_2,328893,94022,0.28587413,0.0007878572,-0.576743773167,0.001980040907,1.99767706,0.0024611102,2.00063242,0.0024660591
real,prev_exit_v2_eq_3,84177,24121,0.28655096,0.0015584242,-0.581107132395,0.003943412627,2.00817325,0.0048868649,2.0130677,0.0049250853
real,prev_exit_v2_eq_4,21880,6165,0.28176417,0.0030412544,-0.560465445146,0.007710938096,1.99611517,0.0098365011,1.976234,0.0095162399
real,prev_exit_v2_eq_5,5385,1399,0.25979573,0.0059758398,-0.582657545131,0.015126367095,1.92423398,0.0187998698,1.96620241,0.0189540471
real,prev_exit_v2_eq_6,1280,345,0.26953125,0.0124022476,-0.580320566728,0.029205555866,1.96640625,0.0363196726,1.9875,0.037235187
real,prev_exit_v2_eq_7,332,64,0.19277108,0.021649619,-0.567693986615,0.050263861513,1.70481928,0.0558740023,1.81626506,0.0686427541
real,prev_exit_v2_eq_8,85,18,0.21176471,0.04431444,-0.585676780971,0.09333601565,1.89411765,0.1657032627,1.95294118,0.1158404708
real,prev_exit_v2_eq_9,36,17,0.47222222,0.0832046331,-0.496523451989,0.169957602975,2.19444444,0.1773680795,2.0,0.2070196678
real,prev_exit_v2_eq_10,10,8,0.8,0.1264911064,-0.367419922353,0.323587790815,2.0,0.1490711985,1.7,0.4725815626
real,prev_exit_v2_eq_11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,prev_exit_v2_eq_12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model,prev_exit_v2_eq_1,1419553,406510,0.28636479,0.0003794217,-0.576589707864,0.000953302402,1.99898489,0.001185449,2.00117431,0.0011885096
model,prev_exit_v2_eq_2,328832,94177,0.28639853,0.000788363,-0.576216848634,0.001982326567,2.00010644,0.0024691382,2.00129245,0.0024712899
model,prev_exit_v2_eq_3,84666,24072,0.2843172,0.00155027,-0.574601808263,0.003893762559,2.0008504,0.0048570255,1.99939763,0.0048326226
model,prev_exit_v2_eq_4,21869,6286,0.28743884,0.0030603376,-0.571457172682,0.007547209062,1.98641913,0.0094433281,1.98641913,0.0093907025
model,prev_exit_v2_eq_5,5500,1547,0.28127273,0.0060626784,-0.586980401591,0.015245113779,1.99,0.0188604325,2.01090909,0.0191500059
model,prev_exit_v2_eq_6,1326,376,0.28355958,0.0123777139,-0.587515188787,0.031646708818,2.00226244,0.0382088009,2.0188537,0.0399530777
model,prev_exit_v2_eq_7,320,93,0.290625,0.0253822101,-0.567188392657,0.062656524886,2.046875,0.0869804816,2.015625,0.0711610135
model,prev_exit_v2_eq_8,93,27,0.29032258,0.0470683991,-0.603910442609,0.117200863327,2.02150538,0.1384297962,2.05376344,0.1718676058
model,prev_exit_v2_eq_9,22,6,0.27272727,0.0949514487,-0.425553378267,0.177504866979,2.13636364,0.2890157543,1.86363636,0.230709939
model,prev_exit_v2_eq_10,5,1,0.2,0.1788854382,-1.626863219309,1.067072019044,1.8,0.5830951895,3.4,1.4696938457
model,prev_exit_v2_eq_11,3,0,0.0,0.0,-2.367123614132,1.058799807554,1.0,0.0,4.0,1.5275252317
model,prev_exit_v2_eq_12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
