condition,real_count,model_count,real_next_expansive_fraction,model_next_expansive_fraction,diff_real_minus_model,diff_se,diff_z_score,diff_ci95_low,diff_ci95_high,real_avg_next_log,model_avg_next_log,diff_avg_next_log,real_avg_next_tail,model_avg_next_tail,diff_avg_next_tail,real_avg_next_exit_v2,model_avg_next_exit_v2,diff_avg_next_exit_v2
prev_exit_v2_eq_1,1419206,1419553,0.28608391,0.28636479,-0.00028088,0.0005365372,-0.523511,-0.0013325,0.00077073,-0.576900960819,-0.576589707864,-0.000311252955,1.99832794,1.99898489,-0.00065695,2.00124013,2.00117431,6.582e-05
prev_exit_v2_eq_2,328893,328832,0.28587413,0.28639853,-0.0005244,0.001114556,-0.470498,-0.00270893,0.00166013,-0.576743773167,-0.576216848634,-0.000526924533,1.99767706,2.00010644,-0.00242938,2.00063242,2.00129245,-0.00066003
prev_exit_v2_eq_3,84177,84666,0.28655096,0.2843172,0.00223376,0.0021981863,1.016183,-0.00207469,0.0065422,-0.581107132395,-0.574601808263,-0.006505324132,2.00817325,2.0008504,0.00732285,2.0130677,1.99939763,0.01367007
prev_exit_v2_eq_4,21880,21869,0.28176417,0.28743884,-0.00567467,0.0043144982,-1.315257,-0.01413109,0.00278174,-0.560465445146,-0.571457172682,0.010991727536,1.99611517,1.98641913,0.00969604,1.976234,1.98641913,-0.01018513
prev_exit_v2_eq_5,5385,5500,0.25979573,0.28127273,-0.021477,0.0085127393,-2.522924,-0.03816197,-0.00479203,-0.582657545131,-0.586980401591,0.00432285646,1.92423398,1.99,-0.06576602,1.96620241,2.01090909,-0.04470668
prev_exit_v2_eq_6,1280,1326,0.26953125,0.28355958,-0.01402833,0.0175220874,-0.800608,-0.04837162,0.02031496,-0.580320566728,-0.587515188787,0.007194622059,1.96640625,2.00226244,-0.03585619,1.9875,2.0188537,-0.0313537
prev_exit_v2_eq_7,332,320,0.19277108,0.290625,-0.09785392,0.033361094,-2.933175,-0.16324166,-0.03246617,-0.567693986615,-0.567188392657,-0.000505593958,1.70481928,2.046875,-0.34205572,1.81626506,2.015625,-0.19935994
prev_exit_v2_eq_8,85,93,0.21176471,0.29032258,-0.07855787,0.0646467616,-1.215187,-0.20526553,0.04814978,-0.585676780971,-0.603910442609,0.018233661637,1.89411765,2.02150538,-0.12738773,1.95294118,2.05376344,-0.10082226
prev_exit_v2_eq_9,36,22,0.47222222,0.27272727,0.19949495,0.1262489152,1.580172,-0.04795292,0.44694282,-0.496523451989,-0.425553378267,-0.070970073722,2.19444444,2.13636364,0.05808081,2.0,1.86363636,0.13636364
prev_exit_v2_eq_10,10,5,0.8,0.2,0.6,0.219089023,2.738613,0.17058551,1.02941449,-0.367419922353,-1.626863219309,1.259443296956,2.0,1.8,0.2,1.7,3.4,-1.7
prev_exit_v2_eq_11,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.367123614132,2.367123614132,0.0,1.0,-1.0,0.0,4.0,-4.0
prev_exit_v2_eq_12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
