source,condition,count,next_expansive_count,next_expansive_fraction,next_expansive_se,avg_next_log,avg_next_log_se,avg_next_tail,avg_next_tail_se,avg_next_exit_v2,avg_next_exit_v2_se
real,prev_exit_v2_ge_1,1861284,532171,0.28591607,0.0003311979,-0.576885290472,0.000832752833,1.99834254,0.0010353886,2.00122604,0.0010379947
real,prev_exit_v2_ge_2,442078,126159,0.28537724,0.0006792015,-0.576834983851,0.001709547631,1.99838942,0.0021265488,2.00118079,0.0021297809
real,prev_exit_v2_ge_3,113185,32137,0.28393338,0.0013402645,-0.57710002388,0.003388288912,2.00045942,0.0042241909,2.00277422,0.0042246635
real,prev_exit_v2_ge_4,29008,8016,0.27633756,0.0026256031,-0.565471977357,0.006620630253,1.97807501,0.0083988962,1.97290403,0.008211341
real,prev_exit_v2_ge_5,7128,1851,0.25968013,0.0051933216,-0.580839952213,0.01287157041,1.92269921,0.0160020211,1.96268238,0.0162302228
real,prev_exit_v2_ge_6,1743,452,0.25932301,0.0104975091,-0.57522449733,0.024231260941,1.91795754,0.0301565396,1.95180723,0.031254264
real,prev_exit_v2_ge_7,463,107,0.23110151,0.0195904946,-0.561136011736,0.042493462783,1.78401728,0.052536644,1.85313175,0.0567959202
real,prev_exit_v2_ge_8,131,43,0.32824427,0.0410268922,-0.544515800593,0.07984171044,1.98473282,0.1187054526,1.94656489,0.1000956543
real,prev_exit_v2_ge_9,46,25,0.54347826,0.0734417309,-0.468457467285,0.148990317859,2.15217391,0.1423318274,1.93478261,0.1900983064
real,prev_exit_v2_ge_10,10,8,0.8,0.1264911064,-0.367419922353,0.323587790815,2.0,0.1490711985,1.7,0.4725815626
real,prev_exit_v2_ge_11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,prev_exit_v2_ge_12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model,prev_exit_v2_ge_1,1862189,533095,0.28627331,0.0003312413,-0.576415348344,0.000832184169,1.99910482,0.0010353342,2.00099292,0.0010372937
model,prev_exit_v2_ge_2,442636,126585,0.2859799,0.000679203,-0.575856169732,0.00170595335,1.99948942,0.0021256805,2.00041117,0.0021250105
model,prev_exit_v2_ge_3,113804,32408,0.28477031,0.0013378005,-0.574814002803,0.003349351679,1.99770658,0.0041779234,1.99786475,0.0041621113
model,prev_exit_v2_ge_4,29138,8336,0.2860869,0.0026475355,-0.575430574389,0.006566564577,1.98857162,0.0081907186,1.99341067,0.0081899665
model,prev_exit_v2_ge_5,7269,2050,0.28201954,0.0052778686,-0.587384670127,0.013315302879,1.99504746,0.0164578204,2.0144449,0.016720061
model,prev_exit_v2_ge_6,1769,503,0.28434144,0.0107252913,-0.588641581914,0.027338696917,2.01074053,0.0336944064,2.0254381,0.0342919571
model,prev_exit_v2_ge_7,443,127,0.28668172,0.0214852204,-0.592013133349,0.05432946715,2.03611738,0.0709411388,2.04514673,0.0667756719
model,prev_exit_v2_ge_8,123,34,0.27642276,0.0403252246,-0.656597824581,0.108452206742,2.00813008,0.1191376535,2.12195122,0.1538459663
model,prev_exit_v2_ge_9,30,7,0.23333333,0.0772202238,-0.819928708694,0.258009035731,1.96666667,0.2372414907,2.33333333,0.3401599804
model,prev_exit_v2_ge_10,8,1,0.125,0.1169267933,-1.904460867368,0.738321803559,1.5,0.377964473,3.625,1.0166032377
model,prev_exit_v2_ge_11,3,0,0.0,0.0,-2.367123614132,1.058799807554,1.0,0.0,4.0,1.5275252317
model,prev_exit_v2_ge_12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
