iteration,source_permutation_diff,source_permutation_abs_ge_observed,bootstrap_diff
1,0.0022061246,0,0.0425793919
2,-0.0075161383,0,0.0583748952
3,0.0101773771,0,0.0541757913
4,0.0207308956,0,0.0441706918
5,0.005610189,0,0.0634152639
6,0.0074402486,0,0.0375577541
7,-0.0126680255,0,0.0589660082
8,-0.0116693162,0,0.0538698035
9,-0.0045230244,0,0.0526963886
10,-0.011258323,0,0.0387006301
11,0.0033724457,0,0.0626430032
12,-0.0242993294,0,0.0478209375
13,-0.0019501643,0,0.058756011
14,-0.0076836233,0,0.0359972385
15,-0.0111730124,0,0.045452962
16,-0.0010398495,0,0.0587301963
17,-0.0181517906,0,0.0407036693
18,-0.0036948612,0,0.0443174284
19,0.0346030823,0,0.0464649059
20,0.0122571118,0,0.0307794924
21,0.0017036,0,0.0534380388
22,0.0071905461,0,0.0427557045
23,0.0107589416,0,0.0399949982
24,0.0076045823,0,0.0656850596
25,-0.0070198669,0,0.054752429
26,-0.0123392779,0,0.0422055082
27,-0.0252950281,0,0.031863969
28,0.0154114568,0,0.0450986119
29,0.0046967515,0,0.0477459764
30,0.0187364951,0,0.0377307664
31,0.0172448038,0,0.0429268707
32,-0.0129208431,0,0.0501492777
33,0.0161637885,0,0.0296925394
34,0.0071083828,0,0.0562650695
35,0.0175733647,0,0.0477681837
36,0.0039445475,0,0.0285006948
37,-0.0350143122,0,0.0520992977
38,-0.0088436925,0,0.0567089029
39,0.0061917547,0,0.0215268378
40,-0.0051045947,0,0.0534882306
41,0.0187364951,0,0.038249894
42,-0.0085148736,0,0.0375843569
43,0.0013748622,0,0.0249383739
44,-0.0090111572,0,0.0524211336
45,-0.0098364487,0,0.0382292297
46,0.0018711044,0,0.0541441055
47,0.0166599361,0,0.0512305522
48,-0.009343046,0,0.040372994
49,0.0050286234,0,0.0299880846
50,0.0012073544,0,0.0359681257
51,-0.0052751735,0,0.0375821936
52,0.0004551564,0,0.0694018116
53,0.0168242759,0,0.0477880666
54,-0.0028667289,0,0.0322768247
55,-0.0125036348,0,0.0555575537
56,-0.010838074,0,0.050760172
57,0.0223968579,0,0.0305281118
58,-0.0007901601,0,0.0212786383
59,0.0203990383,0,0.0371807343
60,-0.0181488018,0,0.0439006359
61,-0.0121686677,0,0.0525481606
62,0.006776517,0,0.0408675013
63,-0.0027783133,0,0.0648163774
64,-0.008846753,0,0.0269855929
65,0.0097601995,0,0.0438893777
66,0.00644145,0,0.0645864557
67,0.0166632323,0,0.0376184332
68,0.0061127846,0,0.0393684599
69,-0.0053573639,0,0.0443824632
70,0.0031986042,0,0.0339832106
71,0.0218118842,0,0.0466126095
72,-0.028455565,0,0.0531325248
73,0.0108475174,0,0.046043175
74,0.0041151853,0,0.0437808778
75,0.0090995828,0,0.0476639322
76,-0.0067670953,0,0.0214636009
77,-0.000701722,0,0.044609023
78,-0.0013685986,0,0.038667531
79,0.0056923683,0,0.0597392279
80,0.0104270668,0,0.0277123761
81,0.0119252483,0,0.0454348905
82,-0.0075161383,0,0.0407723864
83,0.0213979124,0,0.0527457027
84,-0.0051898736,0,0.0423392898
85,-0.0163248982,0,0.0490359386
86,-0.001197988,0,0.0507105943
87,0.0144190805,0,0.0254294591
88,-0.0056861651,0,0.0368167026
89,-0.0077658206,0,0.0435062048
90,0.004693609,0,0.0693541473
91,-3.79651e-05,0,0.025983965
92,0.0159108398,0,0.0482929071
93,-0.0100861127,0,0.05382266
94,0.0140839735,0,0.0357538893
95,0.0146655387,0,0.0565875589
96,-0.0152439664,0,0.0589322743
97,0.0189008433,0,0.0368411227
98,-0.0053573639,0,0.056231938
99,-0.0060211237,0,0.038469079
100,0.032608703,0,0.056370298
101,-0.0156580648,0,0.0311727722
102,0.0016214143,0,0.06469873
103,0.0041120446,0,0.0544454922
104,0.0011220355,0,0.033988961
105,-0.0001201527,0,0.0453575191
106,0.0135024083,0,0.0506670489
107,0.0149912908,0,0.0566266621
108,-0.0116693162,0,0.041414782
109,-0.0218878735,0,0.0472013377
110,0.0066911469,0,0.0443605972
111,-0.0182340021,0,0.054643731
112,-0.0236325787,0,0.0393781407
113,0.0066911469,0,0.0439693309
114,0.0019532893,0,0.0292874543
115,0.0051961429,0,0.056336029
116,0.0240527443,0,0.0327604726
117,0.0015423736,0,0.0561476566
118,-0.0053542766,0,0.0422340345
119,-0.0026961166,0,0.0470237323
120,-0.0114226966,0,0.0389947337
121,0.0222258862,0,0.0359083601
122,0.0029552147,0,0.0477952459
123,-0.0066058062,0,0.0471623213
124,-0.000707974,0,0.0429972029
125,0.0022029792,0,0.0657843663
126,0.0176524365,0,0.0584491781
127,0.0113436815,0,0.0489552911
128,0.0042795477,0,0.0375689805
129,0.0152471039,0,0.04728213
130,-0.0150764986,0,0.0521882424
131,-0.0116693162,0,0.0443950903
132,-0.0050223901,0,0.0650210643
133,-0.0084265666,0,0.0716850681
134,-0.0126680255,0,0.0478054203
135,-0.0199730094,0,0.030653555
136,-0.0151557993,0,0.0609516706
137,-0.0139926484,0,0.0400140904
138,-0.0014570456,0,0.0545045714
139,0.0210660714,0,0.0592096089
140,-0.0079302321,0,0.0505693093
141,0.0020417663,0,0.0644955412
142,-0.0043586226,0,0.0249355667
143,-0.0105884005,0,0.0420543225
144,0.0050318025,0,0.0347946925
145,-0.0110055354,0,0.0325060627
146,0.012007411,0,0.0555169114
147,0.0434940836,0,0.0451877534
148,0.0143336736,0,0.0459254019
149,-0.0041942342,0,0.0433378483
150,0.0211481875,0,0.0301893664
151,0.0047821014,0,0.0352317219
152,0.0060274093,0,0.0460112227
153,0.0071873708,0,0.0625573716
154,-0.018480713,0,0.0697224772
155,0.0135024083,0,0.0352127869
156,-0.0189008433,0,0.0257670555
157,0.01051566,0,0.0602320912
158,0.0107687286,0,0.0619852231
159,0.011593386,0,0.0527913943
160,0.0212303174,0,0.0443506842
161,-0.0023642353,0,0.0442824143
162,-0.0143274844,0,0.0401562512
163,-0.0028636089,0,0.0471509919
164,0.0159930212,0,0.0557803831
165,-0.021723396,0,0.0673441156
166,-0.0031101983,0,0.0707914597
167,0.0019564306,0,0.0419346365
168,-0.0013654839,0,0.0375163042
169,-0.0025317299,0,0.0552737124
170,0.0113436815,0,0.0544109312
171,-0.0004551564,0,0.0469627852
172,0.0171626915,0,0.0345850464
173,0.0040361913,0,0.0370362865
174,0.030118092,0,0.0580184741
175,-0.0017004765,0,0.0473346332
176,0.0085148736,0,0.0479380994
177,-0.002193652,0,0.025937025
178,-0.0046145754,0,0.046405656
179,0.0080186277,0,0.0571204744
180,0.0046114223,0,0.0379469985
181,0.006444651,0,0.0545737216
182,-0.0057714398,0,0.0503002637
183,-0.0056039585,0,0.0498587264
184,-0.0053542766,0,0.0399625155
185,-0.0134962472,0,0.0483293052
186,-0.012427974,0,0.0516679763
187,-0.0180665593,0,0.0458704747
188,0.0183224833,0,0.053373268
189,0.0075192446,0,0.0510095183
190,0.0071873708,0,0.061760943
191,0.0158319382,0,0.0649627451
192,0.007184255,0,0.0604279274
193,0.0036979831,0,0.0365415074
194,-0.0106736488,0,0.0239343908
195,0.0206521358,0,0.049886444
196,-0.0122508837,0,0.0428273348
197,0.0165745856,0,0.0474550205
198,0.0087645603,0,0.0534115042
199,-0.0060180558,0,0.0496296886
200,-0.0061064263,0,0.0555404056
201,-0.0181488018,0,0.0587278757
202,0.009598981,0,0.0510037347
203,0.0054426769,0,0.0538048562
204,-0.0039445475,0,0.0410144232
205,0.004200531,0,0.0628354237
206,0.0183224833,0,0.0534193522
207,0.0074402486,0,0.057564145
208,0.0218086653,0,0.0597860541
209,-0.0148268253,0,0.0430213507
210,-0.0165715258,0,0.061140587
211,-0.00244643,0,0.0462078921
212,-0.0114166828,0,0.0461431437
213,0.0101838029,0,0.0401079986
214,0.0006226578,0,0.032512696
215,-0.0267108717,0,0.0557340775
216,0.0073548859,0,0.0571311752
217,-0.0111730124,0,0.0359870386
218,-0.0107499569,0,0.0495701183
219,-0.0055217562,0,0.03878319
220,-0.0023642353,0,0.0406742032
221,0.0207308956,0,0.0560790877
222,-0.0257152774,0,0.028596958
223,0.0066911469,0,0.0487591859
224,0.0034514403,0,0.0412928911
225,0.0223902297,0,0.0676399576
226,0.0115080168,0,0.0570717704
227,0.0077689354,0,0.0348274104
228,0.002784544,0,0.0610399186
229,0.0155822191,0,0.053327993
230,-0.0006195326,0,0.0439049159
231,0.0006257882,0,0.0235435799
232,0.0087677147,0,0.0442598777
233,-0.0035304801,0,0.0412960437
234,0.0017067376,0,0.0325203245
235,0.0052720731,0,0.0515520415
236,0.0128355115,0,0.0579987877
237,0.0088498868,0,0.047837535
238,0.0017067376,0,0.0468772473
239,-0.0198964852,0,0.0581915431
240,0.0037011357,0,0.0360578433
241,-0.0084295903,0,0.0457976137
242,-0.0094252619,0,0.048585481
243,0.0063561156,0,0.0429970519
244,-0.0036095686,0,0.0357818455
245,0.0092639379,0,0.041393158
246,0.0037833128,0,0.0526110359
247,0.0219761841,0,0.0395399346
248,-0.0015329798,0,0.0606484347
249,-0.0183984631,0,0.0415073212
250,0.0085148736,0,0.0619323613
251,-0.0134140189,0,0.045991838
252,0.006359278,0,0.0476559271
253,-0.0012011002,0,0.0517235615
254,0.0102659459,0,0.0231286224
255,4.4222e-05,0,0.0524994548
256,-0.0146624015,0,0.0223096103
257,-0.0131673904,0,0.0521709727
258,-0.0199757715,0,0.0511066111
259,0.0200705617,0,0.0320598612
260,-0.0051929867,0,0.0381888789
261,3.79651e-05,0,0.0548328111
262,-0.0090142483,0,0.0761781094
263,0.0125889767,0,0.0468223034
264,0.0076045823,0,0.0376767015
265,0.0001201527,0,0.0712129051
266,-0.0148268253,0,0.0443480967
267,0.0059452421,0,0.0591437572
268,-0.0066879907,0,0.0599811619
269,-0.0028605125,0,0.055654602
270,-0.0051868034,0,0.0351387927
271,0.0203203045,0,0.0657180084
272,-0.0074339387,0,0.0537067893
273,-0.0046967515,0,0.0525740937
274,-0.0012832913,0,0.0523171366
275,-0.0245460643,0,0.0640553145
276,0.013748955,0,0.0401296403
277,-0.0164040938,0,0.0465026112
278,0.0034482934,0,0.0519882633
279,0.00793966,0,0.0315647563
280,0.003201746,0,0.0461077044
281,-0.0280327997,0,0.058720492
282,-0.0183984631,0,0.0639698714
283,0.0048674731,0,0.0509708672
284,0.0206487506,0,0.037433751
285,-0.0096719518,0,0.0376595505
286,-0.0101742908,0,0.0393744468
287,-0.0140018103,0,0.0455299945
288,-0.0036095686,0,0.0537001613
289,0.0022883051,0,0.0334140386
290,-0.0193091205,0,0.0583912071
291,0.0183224833,0,0.013840283
292,-0.0099246135,0,0.0432498028
293,0.0031986042,0,0.0580213651
294,-0.010838074,0,0.0517426595
295,0.0015392296,0,0.0468576388
296,0.0018742496,0,0.072485825
297,0.0086823735,0,0.0534377903
298,-0.0213915034,0,0.0388027429
299,-0.0027814171,0,0.0531665684
300,0.0106767584,0,0.0413919284
301,0.0006257882,0,0.0593585448
302,-0.0017826677,0,0.0296086335
303,-0.0031132955,0,0.0486172605
304,-0.0075983433,0,0.0457122484
305,-0.0064352082,0,0.0746089435
306,0.0025411651,0,0.0507726852
307,-0.0026961166,0,0.049984244
308,4.10934e-05,0,0.0533902516
309,0.0166599361,0,0.0370139637
310,-0.0175702258,0,0.0575748951
311,0.0181517906,0,0.0503657158
312,0.0169950789,0,0.0493630288
313,-0.0172353263,0,0.0530549613
314,0.0164924044,0,0.0350810209
315,-0.0041911379,0,0.0544014219
316,-0.0005404711,0,0.0395576913
317,0.0158319382,0,0.0418046913
318,0.0119252483,0,0.0663323613
319,0.0035367874,0,0.0578154511
320,0.0056070505,0,0.050875961
321,-0.0098455024,0,0.0432988885
322,0.0064383024,0,0.0719490328
323,-0.004108938,0,0.0523866237
324,0.0157498145,0,0.043663322
325,-0.0070198669,0,0.0411888605
326,-0.0136636917,0,0.0480526429
327,-0.0083473863,0,0.0528103747
328,0.0089320646,0,0.0442634299
329,0.015661147,0,0.0323809996
330,-0.0105884005,0,0.0536190325
331,-0.0120012108,0,0.0594617711
332,-0.0022820427,0,0.0484259158
333,-0.0099246135,0,0.0379250154
334,0.0055312106,0,0.0377737122
335,-0.010838074,0,0.063801284
336,0.0172415018,0,0.0300030109
337,0.0092671158,0,0.0318974374
338,-0.0037770558,0,0.0341522451
