k,modulus,residue,partition,bucket,real_count,model_count,real_bucket_share,model_bucket_share,bucket_share_diff_real_minus_model,real_tail_one_count,model_tail_one_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,tail_one_success_share_real,tail_one_success_share_model,tail_one_success_share_diff,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model,real_avg_exit_v2,model_avg_exit_v2,real_avg_local_log,model_avg_local_log,real_avg_before_log,model_avg_before_log
2,4,1,current_mod_2^2,1,1551,1402,0.4527145359,0.4061413673,0.0465731686,1551,1402,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4527145359,0.4061413673,0.0465731686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.34816248,1.35164051,-0.529009746959,-0.531420702991,1.596038979183,1.498200608264
2,4,3,current_mod_2^2,3,1875,2050,0.5472854641,0.5938586327,-0.0465731686,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74613333,0.75463415,-0.00850081,0.0138327798,-0.03561306,0.01861144,-0.614541,3.18826667,3.15756098,0.03070569,1.49866667,1.48341463,0.253934818609,0.252056131074,1.131680841087,1.184489944373
3,8,1,current_mod_2^3,1,1157,706,0.337711617,0.2045191194,0.1331924977,1157,706,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.337711617,0.2045191194,0.1331924977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.34985836,-0.287681936982,-0.53018540616,1.379413447566,1.517171718819
3,8,3,current_mod_2^3,3,780,902,0.2276707531,0.2612977984,-0.0336270453,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74615385,0.73392461,0.01222923,0.0214319156,-0.02977732,0.05423579,0.570609,2.0,2.0,0.0,1.35897436,1.37583149,-0.13103860075,-0.142723498944,1.157010239086,1.259834848771
3,8,5,current_mod_2^3,5,394,696,0.1150029189,0.201622248,-0.0866193291,394,696,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1150029189,0.201622248,-0.0866193291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.37055838,1.35344828,-1.237680498589,-0.532673748339,2.232170299188,1.478956924281
3,8,7,current_mod_2^3,7,1095,1148,0.319614711,0.3325608343,-0.0129461233,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74611872,0.77090592,-0.0247872,0.0180785187,-0.0602211,0.01064669,-1.371086,4.0347032,4.06707317,-0.03236997,1.59817352,1.56794425,0.528162459797,0.562240126088,1.113637982239,1.125290376632
4,16,1,current_mod_2^4,1,565,338,0.1649153532,0.0979142526,0.0670011006,565,338,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1649153532,0.0979142526,0.0670011006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.3816568,-0.287681932301,-0.552226410594,1.40967936866,1.600753421182
4,16,3,current_mod_2^4,3,198,455,0.057793345,0.1318076477,-0.0740143027,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75164835,-0.75164835,0.0202551368,-0.79134842,-0.71194828,-37.109024,2.0,2.0,0.0,2.41414141,1.35604396,-0.862424942125,-0.129007828631,1.723369462227,1.252516320876
4,16,5,current_mod_2^4,5,120,361,0.0350262697,0.1045770568,-0.0695507871,120,361,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0350262697,0.1045770568,-0.0695507871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.21666667,1.37119114,-1.824158299794,-0.544972161635,3.028431876766,1.534277722185
4,16,7,current_mod_2^4,7,528,552,0.1541155867,0.1599073001,-0.0057917134,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64772727,0.64311594,0.00461133,0.0291195109,-0.05246291,0.06168557,0.158359,3.0,3.0,0.0,1.4469697,1.48913043,0.213432991498,0.184208761969,1.143120686334,1.218983807626
4,16,9,current_mod_2^4,9,592,368,0.1727962639,0.1066048667,0.0661913971,592,368,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1727962639,0.1066048667,0.0661913971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.32065217,-0.287681941451,-0.50994122274,1.350527897872,1.440403742192
4,16,11,current_mod_2^4,11,582,447,0.1698774081,0.1294901506,0.0403872574,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.71588367,0.28411633,0.0213312136,0.24230715,0.32592551,13.319276,2.0,2.0,0.0,1.0,1.39597315,0.117783556625,-0.156684639867,0.964331328121,1.267284357031
4,16,13,current_mod_2^4,13,274,335,0.0799766492,0.0970451912,-0.017068542,274,335,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0799766492,0.0970451912,-0.017068542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.33432836,-0.98082890682,-0.519420831326,1.883442600978,1.419342571914
4,16,15,current_mod_2^4,15,567,596,0.1654991243,0.1726535342,-0.0071544098,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8377425,0.88926174,-0.05151924,0.0201236789,-0.09096165,-0.01207683,-2.56013,4.99823633,5.05536913,-0.0571328,1.73897707,1.6409396,0.82124386943,0.912363134467,1.086183189007,1.038513910342
5,32,1,current_mod_2^5,1,313,169,0.0913601868,0.0489571263,0.0424030605,313,169,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0913601868,0.0489571263,0.0424030605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.30769231,-0.287681968803,-0.500958128009,1.36627025167,1.519954530334
5,32,3,current_mod_2^5,3,73,240,0.0213076474,0.0695249131,-0.0482172657,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75833333,-0.75833333,0.0276333049,-0.81249461,-0.70417206,-27.44273,2.0,2.0,0.0,3.12328767,1.37083333,-1.353967749642,-0.139259043801,2.419657980517,1.272374082383
