partition,bucket,real_count,model_count,real_bucket_share,model_bucket_share,bucket_share_diff_real_minus_model,real_tail_one_count,model_tail_one_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,tail_one_success_share_real,tail_one_success_share_model,tail_one_success_share_diff,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model,real_avg_exit_v2,model_avg_exit_v2,real_avg_local_log,model_avg_local_log,real_avg_before_log,model_avg_before_log
depth,depth_02,160,168,0.0467016929,0.0486674392,-0.0019657462,49,47,0.30625,0.2797619,0.0264881,0.0502718305,-0.07204469,0.12502088,0.526897,0.0143023935,0.0136152955,0.000687098,0.53125,0.56547619,-0.03422619,0.0549451825,-0.14191875,0.07346637,-0.622915,2.41875,2.72619048,-0.30744048,1.38125,1.33928571,0.023309475213,0.177052999331,0.79164869438,0.740964593822
depth,depth_03,293,316,0.0855224752,0.0915411356,-0.0060186604,134,142,0.45733788,0.44936709,0.0079708,0.0403739621,-0.07116217,0.08710376,0.197424,0.0391126678,0.0411355736,-0.0020229057,0.41638225,0.46518987,-0.04880762,0.0402080053,-0.12761531,0.03000007,-1.213878,2.19795222,2.27848101,-0.08052879,1.3105802,1.28164557,-0.017231792445,0.03547553706,0.849202794111,0.926454358728
depth,depth_04,386,368,0.1126678342,0.1066048667,0.0060629675,100,121,0.25906736,0.32880435,-0.06973699,0.0331208429,-0.13465384,-0.00482014,-2.105532,0.0291885581,0.0350521437,-0.0058635856,0.62953368,0.56521739,0.06431629,0.0356649614,-0.00558704,0.13421961,1.803347,2.60621762,2.41032609,0.19589153,1.28497409,1.27173913,0.166054455324,0.095800734755,0.856016970368,0.902097818253
depth,depth_05,360,356,0.1050788091,0.1031286211,0.001950188,138,120,0.38333333,0.33707865,0.04625468,0.0358374522,-0.02398672,0.11649609,1.29068,0.0402802102,0.0347624565,0.0055177536,0.43333333,0.53089888,-0.09756554,0.0371707425,-0.1704202,-0.02471089,-2.624794,2.29166667,2.44662921,-0.15496255,1.425,1.39606742,-0.058542923245,0.02434258546,1.070636689753,1.099702543435
depth,depth_06,302,311,0.0881494454,0.0900926999,-0.0019432545,145,136,0.48013245,0.43729904,0.04283341,0.0402209508,-0.03599965,0.12166648,1.064953,0.0423234092,0.0393974508,0.0029259585,0.37748344,0.39871383,-0.02123038,0.0393571252,-0.09837035,0.05590958,-0.539429,2.13245033,2.22829582,-0.09584549,1.41721854,1.48231511,-0.117706661252,-0.123966335431,1.26496599398,1.246426185266
depth,depth_07,314,282,0.0916520724,0.0816917729,0.0099602995,161,127,0.51273885,0.45035461,0.06238424,0.0409077793,-0.017795,0.14256349,1.524997,0.0469935785,0.0367902665,0.010203312,0.35350318,0.41134752,-0.05784433,0.039830708,-0.13591252,0.02022385,-1.452255,2.14649682,2.14184397,0.00465284,1.49363057,1.45390071,-0.164975861294,-0.139324179902,1.310303524226,1.266291546344
depth,depth_08,271,279,0.0791009924,0.0808227115,-0.0017217191,120,106,0.44280443,0.37992832,0.06287611,0.0418905794,-0.01922942,0.14498165,1.500961,0.0350262697,0.0307068366,0.0043194331,0.3800738,0.45878136,-0.07870756,0.0419452722,-0.16092029,0.00350517,-1.876435,2.22140221,2.27956989,-0.05816768,1.57195572,1.41218638,-0.188895386146,-0.054566954781,1.306965220215,1.310224855654
depth,depth_09,236,234,0.0688849971,0.0677867903,0.0010982068,134,105,0.56779661,0.44871795,0.11907866,0.0457928296,0.02932472,0.20883261,2.600378,0.0391126678,0.0304171495,0.0086955184,0.33050847,0.40598291,-0.07547443,0.0443643721,-0.1624286,0.01147974,-1.70124,2.02966102,2.14957265,-0.11991163,1.4279661,1.44871795,-0.166833820504,-0.132598054835,1.478450595512,1.453838050128
depth,depth_10,186,184,0.054290718,0.0533024334,0.0009882847,98,79,0.52688172,0.42934783,0.09753389,0.0516891441,-0.00377683,0.19884462,1.886932,0.0286047869,0.0228852839,0.005719503,0.38172043,0.39673913,-0.0150187,0.0506913827,-0.11437381,0.08433641,-0.296277,2.26344086,2.19565217,0.06778869,1.3655914,1.45108696,-0.028809273151,-0.115556486597,1.370254416519,1.453718996688
depth,depth_11,111,177,0.0323992995,0.0512746234,-0.0188753239,57,73,0.51351351,0.41242938,0.10108413,0.0601640337,-0.01683737,0.21900564,1.680142,0.0166374781,0.0211471611,-0.004509683,0.36036036,0.42937853,-0.06901817,0.0588288666,-0.18432275,0.04628641,-1.173202,1.99099099,2.28248588,-0.29149488,1.48648649,1.4180791,-0.223076285431,-0.057469144886,1.446979246268,1.493826910684
depth,depth_12,135,124,0.0394045534,0.0359212051,0.0034833483,64,57,0.47407407,0.45967742,0.01439665,0.0620474801,-0.10721641,0.13600972,0.232026,0.0186806772,0.0165121669,0.0021685103,0.32592593,0.37096774,-0.04504182,0.0592389609,-0.16115018,0.07106655,-0.760341,1.98518519,2.21774194,-0.23255675,1.62222222,1.62096774,-0.319515200134,-0.224352246474,1.473229189384,1.986063245301
depth,depth_13,105,121,0.030647986,0.0350521437,-0.0044041577,64,49,0.60952381,0.40495868,0.20456513,0.0652546848,0.07666595,0.33246431,3.134873,0.0186806772,0.0141946698,0.0044860074,0.2,0.41322314,-0.21322314,0.0593943766,-0.32963612,-0.09681016,-3.589955,1.71428571,2.39669421,-0.6824085,1.5047619,1.49586777,-0.347936748002,-0.065080647355,2.040249590898,1.255239294985
depth,depth_14,74,92,0.021599533,0.0266512167,-0.0050516837,43,44,0.58108108,0.47826087,0.10282021,0.0774712404,-0.04902342,0.25466384,1.327205,0.01255108,0.0127462341,-0.0001951541,0.32432432,0.36956522,-0.04524089,0.074120105,-0.1905163,0.10003451,-0.610373,1.86486486,2.23913043,-0.37426557,1.35135135,1.64130435,-0.180547569139,-0.229776217329,1.542098113599,1.768604323804
depth,depth_15,74,75,0.021599533,0.0217265353,-0.0001270024,33,30,0.44594595,0.4,0.04594595,0.0808634283,-0.11254637,0.20443827,0.568192,0.0096322242,0.0086906141,0.00094161,0.43243243,0.4,0.03243243,0.0807259816,-0.12579049,0.19065536,0.40176,2.31081081,1.92,0.39081081,1.2972973,1.57333333,0.037735387556,-0.312058556513,1.727830686952,1.957547819736
depth,depth_16,86,65,0.02510216,0.018829664,0.006272496,34,26,0.39534884,0.4,-0.00465116,0.0804483509,-0.16232993,0.1530276,-0.057816,0.0099241097,0.0075318656,0.0023922442,0.43023256,0.44615385,-0.01592129,0.0815593374,-0.17577759,0.14393501,-0.195211,2.38372093,2.38461538,-0.00089445,1.55813953,1.44615385,-0.11350428647,-0.035519126398,1.94999106511,1.734979673908
