partition,bucket,real_count,model_count,real_bucket_share,model_bucket_share,bucket_share_diff_real_minus_model,real_tail_one_count,model_tail_one_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,tail_one_success_share_real,tail_one_success_share_model,tail_one_success_share_diff,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model,real_avg_exit_v2,model_avg_exit_v2,real_avg_local_log,model_avg_local_log,real_avg_before_log,model_avg_before_log
prev_tail,prev_tail_01,945,826,0.2758318739,0.2392815759,0.036550298,437,325,0.46243386,0.39346247,0.06897139,0.0234942362,0.02292269,0.1150201,2.935673,0.1275539988,0.0941483198,0.033405679,0.41693122,0.4503632,-0.03343198,0.0235993399,-0.07968669,0.01282273,-1.416649,2.2042328,2.24576271,-0.04152991,1.5005291,1.42251816,-0.146347417306,-0.075436031014,1.466163465546,1.315343702988
prev_tail,prev_tail_02,687,662,0.200525394,0.1917728853,0.0087525088,361,270,0.52547307,0.40785498,0.11761809,0.02697729,0.0647426,0.17049357,4.359893,0.1053706947,0.0782155272,0.0271551675,0.33042213,0.45468278,-0.12426065,0.0263928783,-0.1759907,-0.07253061,-4.708113,2.03202329,2.39274924,-0.36072596,1.36390102,1.44410876,-0.121469388116,-0.030803585154,1.348545541589,1.364416944599
prev_tail,prev_tail_03,422,513,0.1231757151,0.1486095017,-0.0254337866,187,215,0.44312796,0.41910331,0.02402465,0.0325472749,-0.03976801,0.08781731,0.738146,0.0545826036,0.0622827346,-0.007700131,0.47156398,0.43274854,0.03881544,0.0326957806,-0.02526829,0.10289917,1.18717,2.20616114,2.23976608,-0.03360494,1.36729858,1.4619883,-0.053217414005,-0.105226074471,1.275914385597,1.320808467973
prev_tail,prev_tail_04,303,359,0.088441331,0.1039976825,-0.0155563515,122,155,0.40264026,0.43175487,-0.02911461,0.0384344185,-0.10444607,0.04621685,-0.757514,0.0356100409,0.0449015064,-0.0092914655,0.42244224,0.40947075,0.01297149,0.0384549133,-0.06240014,0.08834312,0.337317,2.26072607,2.16991643,0.09080964,1.35313531,1.44289694,-0.021276170034,-0.120314541264,1.106737099994,1.337617486643
prev_tail,prev_tail_05,282,284,0.0823117338,0.0822711472,4.05866e-05,116,115,0.41134752,0.40492958,0.00641794,0.0413172057,-0.07456378,0.08739966,0.155333,0.0338587274,0.0333140209,0.0005447065,0.40780142,0.45422535,-0.04642393,0.0415846695,-0.12792989,0.03508202,-1.116371,2.5141844,2.22887324,0.28531116,1.61347518,1.42605634,-0.098961566743,-0.084736601036,1.562908850742,1.324273962321
prev_tail,prev_tail_06,212,208,0.0618797431,0.0602549247,0.0016248185,114,96,0.53773585,0.46153846,0.07619739,0.0486553125,-0.01916702,0.1715618,1.566065,0.0332749562,0.0278099652,0.005464991,0.35849057,0.40384615,-0.04535559,0.0473525223,-0.13816653,0.04745536,-0.957828,1.84433962,2.19711538,-0.35277576,1.33018868,1.36538462,-0.174200837387,-0.055558869585,1.347589980359,1.296064522002
prev_tail,prev_tail_07,124,139,0.036193812,0.0402665122,-0.0040727001,56,61,0.4516129,0.43884892,0.01276398,0.0613914171,-0.1075632,0.13309116,0.207912,0.0163455925,0.0176709154,-0.0013253229,0.30645161,0.41726619,-0.11081457,0.0588501636,-0.22616089,0.00453175,-1.882995,2.18548387,2.08633094,0.09915294,1.57258065,1.35251799,-0.203892065185,-0.091559630172,0.885821001883,1.179015252484
prev_tail,prev_tail_08,129,120,0.0376532399,0.0347624565,0.0028907834,43,43,0.33333333,0.35833333,-0.025,0.0603219765,-0.14323107,0.09323107,-0.414443,0.01255108,0.0124565469,9.4533e-05,0.56589147,0.53333333,0.03255814,0.0630745756,-0.09106803,0.15618431,0.516185,2.64341085,2.40833333,0.23507752,1.24806202,1.45,0.206720451985,-0.028568276451,1.174124888163,1.197460862507
prev_tail,prev_tail_09,116,117,0.0338587274,0.0338933951,-3.46678e-05,24,33,0.20689655,0.28205128,-0.07515473,0.0560832179,-0.18507784,0.03476838,-1.340057,0.0070052539,0.0095596756,-0.0025544216,0.60344828,0.57264957,0.0307987,0.0644558692,-0.0955348,0.15713221,0.477826,2.60344828,2.67521368,-0.0717654,1.46551724,1.41880342,0.039788606443,0.101266212521,0.740961781559,0.833345536081
prev_tail,prev_tail_10,85,111,0.0248102744,0.0321552723,-0.0073449979,39,44,0.45882353,0.3963964,0.06242713,0.0712515374,-0.07722588,0.20208015,0.876151,0.0113835377,0.0127462341,-0.0013626964,0.41176471,0.44144144,-0.02967674,0.0712105481,-0.16924941,0.10989594,-0.416746,2.34117647,2.37837838,-0.03720191,1.27058824,1.27027027,0.06856091554,0.083865189924,1.045320484282,1.103993865389
prev_tail,prev_tail_11_plus,121,113,0.0353181553,0.0327346466,0.0025835087,52,45,0.42975207,0.39823009,0.03152198,0.0643899523,-0.09468233,0.15772628,0.489548,0.0151780502,0.0130359212,0.002142129,0.36363636,0.47787611,-0.11423974,0.0641910858,-0.24005427,0.01157479,-1.779682,1.82644628,2.31858407,-0.49213779,1.55371901,1.5840708,-0.336395574076,-0.15788926545,2.058417068941,1.839698271965
