k,modulus,residue,partition,bucket,real_count,model_count,real_bucket_share,model_bucket_share,bucket_share_diff_real_minus_model,real_tail_one_count,model_tail_one_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,tail_one_success_share_real,tail_one_success_share_model,tail_one_success_share_diff,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model,real_avg_exit_v2,model_avg_exit_v2,real_avg_local_log,model_avg_local_log,real_avg_before_log,model_avg_before_log
2,4,1,q_mod_2^2,1,1985,1743,0.579392878,0.5049246813,0.0744681966,1157,706,0.58287154,0.40504877,0.17782277,0.0161475421,0.14617359,0.20947195,11.012374,0.337711617,0.2045191194,0.1331924977,0.28816121,0.45438898,-0.16622778,0.015670817,-0.19694258,-0.13551297,-10.607473,2.00755668,2.29718876,-0.28963208,1.2836272,1.41939185,-0.075748200665,-0.052417574206,1.325192761026,1.295195090346
2,4,3,q_mod_2^2,3,1441,1709,0.420607122,0.4950753187,-0.0744681966,394,696,0.27342124,0.40725571,-0.13383447,0.0167067454,-0.16657969,-0.10108925,-8.010804,0.1150029189,0.201622248,-0.0866193291,0.57390701,0.44177882,0.13212819,0.0177200725,0.09739685,0.16685953,7.456414,2.45940319,2.26506729,0.1943359,1.63289382,1.44060854,-0.134633000917,-0.080147995934,1.364920474056,1.328938909466
3,8,1,q_mod_2^3,1,981,859,0.2863397548,0.2488412514,0.0374985034,565,338,0.57594292,0.39348079,0.18246212,0.0229519123,0.13747638,0.22744787,7.949757,0.1649153532,0.0979142526,0.0670011006,0.29051988,0.46216531,-0.17164543,0.0223490454,-0.21544956,-0.1278413,-7.680213,2.0254842,2.28521537,-0.25973117,1.32721713,1.45168801,-0.098693449029,-0.079658354996,1.408441631196,1.317928456998
3,8,3,q_mod_2^3,3,587,875,0.171336836,0.2534762457,-0.0821394097,120,361,0.2044293,0.41257143,-0.20814213,0.0235381592,-0.25427692,-0.16200733,-8.842753,0.0350262697,0.1045770568,-0.0695507871,0.66269165,0.45028571,0.21240594,0.0257622362,0.16191196,0.26289992,8.244856,2.73083475,2.26514286,0.4656919,1.76831346,1.43771429,-0.118442640798,-0.078111210142,1.395164602009,1.371277153208
3,8,5,q_mod_2^3,5,1004,884,0.2930531232,0.2560834299,0.0369696933,592,368,0.58964143,0.41628959,0.17335184,0.0227129673,0.12883443,0.21786926,7.632285,0.1727962639,0.1066048667,0.0661913971,0.28585657,0.44683258,-0.16097601,0.0219758276,-0.20404863,-0.11790338,-7.32514,1.99003984,2.30882353,-0.31878369,1.24103586,1.38800905,-0.05332859046,-0.025947177487,1.243850986488,1.273104635647
3,8,7,q_mod_2^3,7,854,834,0.249270286,0.241599073,0.007671213,274,335,0.32084309,0.40167866,-0.08083557,0.0233093215,-0.12652184,-0.0351493,-3.46795,0.0799766492,0.0970451912,-0.017068542,0.51288056,0.43285372,0.08002685,0.0242260179,0.03254385,0.12750984,3.303343,2.27283372,2.26498801,0.00784571,1.53981265,1.44364508,-0.145761503715,-0.082284911484,1.344132062922,1.284519289233
4,16,1,q_mod_2^4,1,582,426,0.1698774081,0.1234067207,0.0464706873,313,169,0.53780069,0.39671362,0.14108707,0.0314469418,0.07945107,0.20272308,4.486512,0.0913601868,0.0489571263,0.0424030605,0.30584192,0.48122066,-0.17537873,0.0308351712,-0.23581567,-0.1149418,-5.68762,2.03264605,2.19014085,-0.1574948,1.37285223,1.36619718,-0.127421440706,-0.058950031035,1.425375813983,1.26310578805
4,16,3,q_mod_2^4,3,337,439,0.0983654407,0.1271726535,-0.0288072128,97,184,0.28783383,0.4191344,-0.13130057,0.0341005268,-0.1981376,-0.06446354,-3.850397,0.0283129013,0.0533024334,-0.024989532,0.61127596,0.45330296,0.157973,0.0356315277,0.08813521,0.2278108,4.433518,2.61721068,2.31207289,0.30513779,1.81305638,1.40774487,-0.195527080287,-0.038309505367,1.546246782597,1.417171831833
4,16,5,q_mod_2^4,5,499,431,0.1456509048,0.1248551564,0.0207957484,292,178,0.58517034,0.41299304,0.1721773,0.0323874523,0.10869789,0.23565671,5.316173,0.0852305896,0.0515643105,0.0336662791,0.30661323,0.45011601,-0.14350278,0.0316279631,-0.20549359,-0.08151198,-4.537212,2.02805611,2.33642691,-0.3083708,1.21843687,1.40139211,-0.02224991168,-0.02403139952,1.373693497379,1.243231329215
4,16,7,q_mod_2^4,7,436,427,0.1272621133,0.1236964079,0.0035657054,133,179,0.30504587,0.41920375,-0.11415788,0.0325025257,-0.17786283,-0.05045293,-3.512277,0.0388207823,0.0518539977,-0.0130332154,0.51834862,0.40515222,0.1131964,0.0337199385,0.04710532,0.17928748,3.356957,2.3233945,2.25761124,0.06578325,1.53899083,1.46370023,-0.124690912251,-0.099177104529,1.302017124011,1.293062791382
4,16,9,q_mod_2^4,9,399,433,0.1164623468,0.1254345307,-0.0089721839,252,169,0.63157895,0.39030023,0.24127872,0.0336563569,0.17531226,0.30724518,7.16889,0.0735551664,0.0489571263,0.0245980401,0.26817043,0.44341801,-0.17524759,0.032585897,-0.23911595,-0.11137923,-5.378019,2.01503759,2.37875289,-0.36371529,1.26065163,1.53579677,-0.05678946117,-0.100031902358,1.383740642769,1.371864847233
4,16,11,q_mod_2^4,11,250,436,0.0729713952,0.1263035921,-0.0533321969,23,177,0.092,0.4059633,-0.3139633,0.029786853,-0.37234553,-0.25558107,-10.540331,0.0067133684,0.0512746234,-0.044561255,0.732,0.44724771,0.28475229,0.0367656894,0.21269154,0.35681304,7.745055,2.884,2.21788991,0.66611009,1.708,1.46788991,-0.014532816366,-0.118186779857,1.191505822575,1.32506668551
4,16,13,q_mod_2^4,13,505,453,0.1474022183,0.1312282735,0.0161739449,300,190,0.59405941,0.41942605,0.17463336,0.0318602456,0.11218728,0.23707944,5.481231,0.0875656743,0.0550405562,0.0325251181,0.26534653,0.44370861,-0.17836207,0.0305106008,-0.23816285,-0.1185613,-5.845905,1.95247525,2.28256071,-0.33008546,1.26336634,1.37527594,-0.084038017611,-0.027769915464,1.115551158895,1.301527141324
4,16,15,q_mod_2^4,15,418,407,0.1220081728,0.1179026651,0.0041055077,141,156,0.33732057,0.38329238,-0.04597181,0.0333999745,-0.11143576,0.01949214,-1.376403,0.0411558669,0.0451911935,-0.0040353266,0.50717703,0.46191646,0.04526057,0.0347656437,-0.02288009,0.11340123,1.301876,2.22009569,2.27272727,-0.05263158,1.54066986,1.42260442,-0.167739441223,-0.064562635244,1.388060563797,1.275555958969
5,32,1,q_mod_2^5,1,303,201,0.088441331,0.0582271147,0.0302142163,153,78,0.5049505,0.3880597,0.11689079,0.0447933173,0.02909589,0.2046857,2.609559,0.0446584939,0.0225955968,0.0220628971,0.32343234,0.52238806,-0.19895572,0.0443111544,-0.28580558,-0.11210585,-4.489969,2.18811881,2.10447761,0.0836412,1.43234323,1.30845771,-0.105618667164,-0.053661531132,1.607607945524,1.266340427192
5,32,3,q_mod_2^5,3,160,217,0.0467016929,0.0628621089,-0.016160416,39,81,0.24375,0.37327189,-0.12952189,0.0472246129,-0.22208213,-0.03696165,-2.742678,0.0113835377,0.0234646582,-0.0120811205,0.7,0.48387097,0.21612903,0.0496323977,0.11884953,0.31340853,4.354596,2.5875,2.3640553,0.2234447,1.625,1.40092166,-0.077222961937,-0.01250296051,1.480563096844,1.348849334945
5,32,5,q_mod_2^5,5,222,226,0.0647985989,0.0654692932,-0.0006706942,133,95,0.5990991,0.42035398,0.17874512,0.0464759637,0.08765223,0.26983801,3.845969,0.0388207823,0.0275202781,0.0113005042,0.27927928,0.43362832,-0.15434904,0.044647284,-0.24185772,-0.06684036,-3.457076,2.08108108,2.39380531,-0.31272423,1.27927928,1.42920354,-0.04292293915,-0.020043875373,1.570882898584,1.231552103243
5,32,7,q_mod_2^5,7,257,209,0.0750145943,0.0605446118,0.0144699825,69,83,0.26848249,0.39712919,-0.1286467,0.0437005684,-0.21429981,-0.04299358,-2.943822,0.0201401051,0.0240440324,-0.0039039274,0.54474708,0.37799043,0.16675665,0.0457156139,0.07715405,0.25635925,3.647696,2.3463035,2.29665072,0.04965278,1.48638132,1.55980861,-0.078935534811,-0.149965210386,1.273795190157,1.336942751637
5,32,9,q_mod_2^5,9,213,220,0.0621716287,0.0637311703,-0.0015595416,135,85,0.63380282,0.38636364,0.24743918,0.0465545222,0.15619232,0.33868604,5.315041,0.0394045534,0.0246234067,0.0147811467,0.23474178,0.44545455,-0.21071276,0.0443419805,-0.29762304,-0.12380248,-4.751993,1.8685446,2.34090909,-0.47236449,1.33333333,1.48636364,-0.166566501936,-0.081111806215,1.481883251851,1.316763521021
5,32,11,q_mod_2^5,11,112,227,0.0326911851,0.0657589803,-0.0330677952,3,98,0.02678571,0.43171806,-0.40493235,0.0362427154,-0.47596807,-0.33389663,-11.172793,0.0008756567,0.0283893395,-0.0275136828,0.77678571,0.44493392,0.33185179,0.0513428242,0.23121986,0.43248373,6.46345,3.42857143,2.13215859,1.29641284,1.5625,1.43612335,0.307124576081,-0.130928936292,1.055136348366,1.330047352106
5,32,13,q_mod_2^5,13,262,223,0.0764740222,0.0646002317,0.0118737904,135,93,0.51526718,0.41704036,0.09822682,0.0452053395,0.00962435,0.18682928,2.172903,0.0394045534,0.0269409038,0.0124636496,0.29770992,0.43497758,-0.13726765,0.0435904505,-0.22270494,-0.05183037,-3.14903,2.11832061,2.22869955,-0.11037894,1.33969466,1.3632287,-0.069700245584,-0.041258224935,0.994705264226,1.289420528772
5,32,15,q_mod_2^5,15,226,208,0.0659661413,0.0602549247,0.0057112166,88,87,0.38938053,0.41826923,-0.0288887,0.0471365912,-0.12127642,0.06349902,-0.612872,0.0256859311,0.025202781,0.0004831501,0.49115044,0.4375,0.05365044,0.0478434028,-0.04012263,0.14742351,1.121376,1.94690265,2.07692308,-0.13002042,1.53097345,1.39423077,-0.271788621176,-0.124287286825,1.245390094841,1.228634174128
5,32,17,q_mod_2^5,17,279,225,0.0814360771,0.065179606,0.016256471,160,91,0.5734767,0.40444444,0.16903226,0.0441274995,0.08254236,0.25552216,3.830542,0.0467016929,0.0263615295,0.0203401634,0.28673835,0.44444444,-0.15770609,0.0427836228,-0.24156199,-0.07385019,-3.686132,1.86379928,2.26666667,-0.40286738,1.30824373,1.41777778,-0.151099721648,-0.063674424282,1.227467800159,1.260216177084
5,32,19,q_mod_2^5,19,177,222,0.0516637478,0.0643105446,-0.0126467968,58,103,0.32768362,0.46396396,-0.13628035,0.0486307441,-0.23159661,-0.04096409,-2.80235,0.0169293637,0.0298377752,-0.0129084115,0.53107345,0.42342342,0.10765002,0.0500668162,0.00951906,0.20578098,2.150127,2.6440678,2.26126126,0.38280654,1.98305085,1.41441441,-0.302468656196,-0.063534821737,1.605621865764,1.483955533747
