partition,bucket_count,real_count,model_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,max_abs_success_share_diff,max_abs_success_bucket,positive_success_share_diff_sum,negative_success_share_diff_sum,min_real_bucket_count,min_model_bucket_count
summary,1,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,0.0465731686,all,0.0465731686,0.0,3426,3452
depth,20,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,0.010203312,depth_07,0.0608674448,-0.0142942761,30,22
margin,6,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,0.0135134907,margin_2_4,0.0465731686,0,137,106
prev_tail,11,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,0.033405679,prev_tail_01,0.068807206,-0.0222340374,85,111
q_mod_2^2,2,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,0.1331924977,1,0.1331924977,-0.0866193291,1441,1709
q_mod_2^3,4,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,-0.0695507871,3,0.1331924977,-0.0866193291,587,834
q_mod_2^4,8,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,-0.044561255,11,0.1331924978,-0.086619329,250,407
q_mod_2^5,16,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,-0.0275136828,11,0.1336756479,-0.0871024793,112,199
q_mod_2^6,32,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,-0.0159327926,43,0.1408057055,-0.0942325371,54,92
q_mod_2^7,64,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,0.011429705,53,0.1521144963,-0.1055413275,16,40
q_mod_2^8,128,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,0.0099416973,193,0.1775766931,-0.1310035249,2,17
current_mod_2^2,2,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,0.0465731686,1,0.0465731686,0,1551,1402
current_mod_2^3,4,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,0.1331924977,1,0.1331924977,-0.0866193291,394,696
current_mod_2^4,8,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,-0.0695507871,5,0.1331924977,-0.0866193291,120,335
current_mod_2^5,16,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,-0.044561255,21,0.1331924978,-0.086619329,23,156
current_mod_2^6,32,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,-0.0275136828,21,0.1336756479,-0.0871024793,3,69
current_mod_2^7,64,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,-0.0159327926,85,0.1408057055,-0.0942325371,0,31
current_mod_2^8,128,3426,3452,0.45271454,0.40614137,0.04657317,0.02320157,0.06994477,3.905741,0.011429705,105,0.1521144963,-0.1055413275,0,13
