classifier,k,modulus,residue,next_tail,probability_fraction,probability,geometric_fraction,geometric_probability,diff_vs_geometric,abs_diff_vs_geometric
q_mod,2,4,1,1,1/2,0.500000000000,1/2,0.500000000000,0.000000000000,0.000000000000
q_mod,2,4,1,2,1/4,0.250000000000,1/4,0.250000000000,0.000000000000,0.000000000000
q_mod,2,4,1,3,1/8,0.125000000000,1/8,0.125000000000,0.000000000000,0.000000000000
q_mod,2,4,1,4,1/16,0.062500000000,1/16,0.062500000000,0.000000000000,0.000000000000
q_mod,2,4,1,5,1/32,0.031250000000,1/32,0.031250000000,0.000000000000,0.000000000000
q_mod,2,4,1,6,1/64,0.015625000000,1/64,0.015625000000,0.000000000000,0.000000000000
q_mod,2,4,1,7,1/128,0.007812500000,1/128,0.007812500000,0.000000000000,0.000000000000
q_mod,2,4,1,8,1/256,0.003906250000,1/256,0.003906250000,0.000000000000,0.000000000000
q_mod,2,4,1,9,1/512,0.001953125000,1/512,0.001953125000,0.000000000000,0.000000000000
q_mod,2,4,1,10,1/1024,0.000976562500,1/1024,0.000976562500,0.000000000000,0.000000000000
q_mod,2,4,1,ge_11,1/1024,0.000976562500,1/1024,0.000976562500,0.000000000000,0.000000000000
q_mod,2,4,3,1,1/2,0.500000000000,1/2,0.500000000000,0.000000000000,0.000000000000
q_mod,2,4,3,2,1/4,0.250000000000,1/4,0.250000000000,0.000000000000,0.000000000000
q_mod,2,4,3,3,1/8,0.125000000000,1/8,0.125000000000,0.000000000000,0.000000000000
q_mod,2,4,3,4,1/16,0.062500000000,1/16,0.062500000000,0.000000000000,0.000000000000
q_mod,2,4,3,5,1/32,0.031250000000,1/32,0.031250000000,0.000000000000,0.000000000000
q_mod,2,4,3,6,1/64,0.015625000000,1/64,0.015625000000,0.000000000000,0.000000000000
q_mod,2,4,3,7,1/128,0.007812500000,1/128,0.007812500000,0.000000000000,0.000000000000
q_mod,2,4,3,8,1/256,0.003906250000,1/256,0.003906250000,0.000000000000,0.000000000000
q_mod,2,4,3,9,1/512,0.001953125000,1/512,0.001953125000,0.000000000000,0.000000000000
q_mod,2,4,3,10,1/1024,0.000976562500,1/1024,0.000976562500,0.000000000000,0.000000000000
q_mod,2,4,3,ge_11,1/1024,0.000976562500,1/1024,0.000976562500,0.000000000000,0.000000000000
q_mod,3,8,1,1,5/6,0.833333333333,1/2,0.500000000000,0.333333333333,0.333333333333
q_mod,3,8,1,2,1/12,0.083333333333,1/4,0.250000000000,-0.166666666667,0.166666666667
q_mod,3,8,1,3,1/24,0.041666666667,1/8,0.125000000000,-0.083333333333,0.083333333333
q_mod,3,8,1,4,1/48,0.020833333333,1/16,0.062500000000,-0.041666666667,0.041666666667
q_mod,3,8,1,5,1/96,0.010416666667,1/32,0.031250000000,-0.020833333333,0.020833333333
q_mod,3,8,1,6,1/192,0.005208333333,1/64,0.015625000000,-0.010416666667,0.010416666667
q_mod,3,8,1,7,1/384,0.002604166667,1/128,0.007812500000,-0.005208333333,0.005208333333
q_mod,3,8,1,8,1/768,0.001302083333,1/256,0.003906250000,-0.002604166667,0.002604166667
q_mod,3,8,1,9,1/1536,0.000651041667,1/512,0.001953125000,-0.001302083333,0.001302083333
q_mod,3,8,1,10,1/3072,0.000325520833,1/1024,0.000976562500,-0.000651041667,0.000651041667
q_mod,3,8,1,ge_11,1/3072,0.000325520833,1/1024,0.000976562500,-0.000651041667,0.000651041667
q_mod,3,8,3,1,2/3,0.666666666667,1/2,0.500000000000,0.166666666667,0.166666666667
q_mod,3,8,3,2,1/6,0.166666666667,1/4,0.250000000000,-0.083333333333,0.083333333333
q_mod,3,8,3,3,1/12,0.083333333333,1/8,0.125000000000,-0.041666666667,0.041666666667
q_mod,3,8,3,4,1/24,0.041666666667,1/16,0.062500000000,-0.020833333333,0.020833333333
q_mod,3,8,3,5,1/48,0.020833333333,1/32,0.031250000000,-0.010416666667,0.010416666667
q_mod,3,8,3,6,1/96,0.010416666667,1/64,0.015625000000,-0.005208333333,0.005208333333
q_mod,3,8,3,7,1/192,0.005208333333,1/128,0.007812500000,-0.002604166667,0.002604166667
q_mod,3,8,3,8,1/384,0.002604166667,1/256,0.003906250000,-0.001302083333,0.001302083333
q_mod,3,8,3,9,1/768,0.001302083333,1/512,0.001953125000,-0.000651041667,0.000651041667
q_mod,3,8,3,10,1/1536,0.000651041667,1/1024,0.000976562500,-0.000325520833,0.000325520833
q_mod,3,8,3,ge_11,1/1536,0.000651041667,1/1024,0.000976562500,-0.000325520833,0.000325520833
q_mod,3,8,5,1,1/6,0.166666666667,1/2,0.500000000000,-0.333333333333,0.333333333333
q_mod,3,8,5,2,5/12,0.416666666667,1/4,0.250000000000,0.166666666667,0.166666666667
q_mod,3,8,5,3,5/24,0.208333333333,1/8,0.125000000000,0.083333333333,0.083333333333
q_mod,3,8,5,4,5/48,0.104166666667,1/16,0.062500000000,0.041666666667,0.041666666667
q_mod,3,8,5,5,5/96,0.052083333333,1/32,0.031250000000,0.020833333333,0.020833333333
q_mod,3,8,5,6,5/192,0.026041666667,1/64,0.015625000000,0.010416666667,0.010416666667
q_mod,3,8,5,7,5/384,0.013020833333,1/128,0.007812500000,0.005208333333,0.005208333333
q_mod,3,8,5,8,5/768,0.006510416667,1/256,0.003906250000,0.002604166667,0.002604166667
q_mod,3,8,5,9,5/1536,0.003255208333,1/512,0.001953125000,0.001302083333,0.001302083333
q_mod,3,8,5,10,5/3072,0.001627604167,1/1024,0.000976562500,0.000651041667,0.000651041667
q_mod,3,8,5,ge_11,5/3072,0.001627604167,1/1024,0.000976562500,0.000651041667,0.000651041667
q_mod,3,8,7,1,1/3,0.333333333333,1/2,0.500000000000,-0.166666666667,0.166666666667
q_mod,3,8,7,2,1/3,0.333333333333,1/4,0.250000000000,0.083333333333,0.083333333333
q_mod,3,8,7,3,1/6,0.166666666667,1/8,0.125000000000,0.041666666667,0.041666666667
q_mod,3,8,7,4,1/12,0.083333333333,1/16,0.062500000000,0.020833333333,0.020833333333
q_mod,3,8,7,5,1/24,0.041666666667,1/32,0.031250000000,0.010416666667,0.010416666667
q_mod,3,8,7,6,1/48,0.020833333333,1/64,0.015625000000,0.005208333333,0.005208333333
q_mod,3,8,7,7,1/96,0.010416666667,1/128,0.007812500000,0.002604166667,0.002604166667
q_mod,3,8,7,8,1/192,0.005208333333,1/256,0.003906250000,0.001302083333,0.001302083333
q_mod,3,8,7,9,1/384,0.002604166667,1/512,0.001953125000,0.000651041667,0.000651041667
q_mod,3,8,7,10,1/768,0.001302083333,1/1024,0.000976562500,0.000325520833,0.000325520833
q_mod,3,8,7,ge_11,1/768,0.001302083333,1/1024,0.000976562500,0.000325520833,0.000325520833
q_mod,4,16,1,1,5/6,0.833333333333,1/2,0.500000000000,0.333333333333,0.333333333333
q_mod,4,16,1,2,1/12,0.083333333333,1/4,0.250000000000,-0.166666666667,0.166666666667
q_mod,4,16,1,3,1/24,0.041666666667,1/8,0.125000000000,-0.083333333333,0.083333333333
q_mod,4,16,1,4,1/48,0.020833333333,1/16,0.062500000000,-0.041666666667,0.041666666667
q_mod,4,16,1,5,1/96,0.010416666667,1/32,0.031250000000,-0.020833333333,0.020833333333
q_mod,4,16,1,6,1/192,0.005208333333,1/64,0.015625000000,-0.010416666667,0.010416666667
q_mod,4,16,1,7,1/384,0.002604166667,1/128,0.007812500000,-0.005208333333,0.005208333333
q_mod,4,16,1,8,1/768,0.001302083333,1/256,0.003906250000,-0.002604166667,0.002604166667
q_mod,4,16,1,9,1/1536,0.000651041667,1/512,0.001953125000,-0.001302083333,0.001302083333
q_mod,4,16,1,10,1/3072,0.000325520833,1/1024,0.000976562500,-0.000651041667,0.000651041667
q_mod,4,16,1,ge_11,1/3072,0.000325520833,1/1024,0.000976562500,-0.000651041667,0.000651041667
q_mod,4,16,3,1,2/3,0.666666666667,1/2,0.500000000000,0.166666666667,0.166666666667
q_mod,4,16,3,2,1/6,0.166666666667,1/4,0.250000000000,-0.083333333333,0.083333333333
q_mod,4,16,3,3,1/12,0.083333333333,1/8,0.125000000000,-0.041666666667,0.041666666667
q_mod,4,16,3,4,1/24,0.041666666667,1/16,0.062500000000,-0.020833333333,0.020833333333
q_mod,4,16,3,5,1/48,0.020833333333,1/32,0.031250000000,-0.010416666667,0.010416666667
q_mod,4,16,3,6,1/96,0.010416666667,1/64,0.015625000000,-0.005208333333,0.005208333333
q_mod,4,16,3,7,1/192,0.005208333333,1/128,0.007812500000,-0.002604166667,0.002604166667
q_mod,4,16,3,8,1/384,0.002604166667,1/256,0.003906250000,-0.001302083333,0.001302083333
q_mod,4,16,3,9,1/768,0.001302083333,1/512,0.001953125000,-0.000651041667,0.000651041667
q_mod,4,16,3,10,1/1536,0.000651041667,1/1024,0.000976562500,-0.000325520833,0.000325520833
q_mod,4,16,3,ge_11,1/1536,0.000651041667,1/1024,0.000976562500,-0.000325520833,0.000325520833
q_mod,4,16,5,1,1/15,0.066666666667,1/2,0.500000000000,-0.433333333333,0.433333333333
q_mod,4,16,5,2,4/15,0.266666666667,1/4,0.250000000000,0.016666666667,0.016666666667
q_mod,4,16,5,3,1/3,0.333333333333,1/8,0.125000000000,0.208333333333,0.208333333333
q_mod,4,16,5,4,1/6,0.166666666667,1/16,0.062500000000,0.104166666667,0.104166666667
q_mod,4,16,5,5,1/12,0.083333333333,1/32,0.031250000000,0.052083333333,0.052083333333
q_mod,4,16,5,6,1/24,0.041666666667,1/64,0.015625000000,0.026041666667,0.026041666667
