conditioning,class,next_tail,probability,probability_decimal,geometric_probability,delta_vs_geometric
q_mod4,1,1,1/2,0.500000000000,1/2,0
q_mod4,1,2,1/4,0.250000000000,1/4,0
q_mod4,1,3,1/8,0.125000000000,1/8,0
q_mod4,1,4,1/16,0.062500000000,1/16,0
q_mod4,1,5,1/32,0.031250000000,1/32,0
q_mod4,1,6,1/64,0.015625000000,1/64,0
q_mod4,1,7,1/128,0.007812500000,1/128,0
q_mod4,1,8,1/256,0.003906250000,1/256,0
q_mod4,1,>8,1/256,0.003906250000,1/256,0
q_mod4,3,1,1/2,0.500000000000,1/2,0
q_mod4,3,2,1/4,0.250000000000,1/4,0
q_mod4,3,3,1/8,0.125000000000,1/8,0
q_mod4,3,4,1/16,0.062500000000,1/16,0
q_mod4,3,5,1/32,0.031250000000,1/32,0
q_mod4,3,6,1/64,0.015625000000,1/64,0
q_mod4,3,7,1/128,0.007812500000,1/128,0
q_mod4,3,8,1/256,0.003906250000,1/256,0
q_mod4,3,>8,1/256,0.003906250000,1/256,0
q_mod8,1,1,5/6,0.833333333333,1/2,1/3
q_mod8,1,2,1/12,0.083333333333,1/4,-1/6
q_mod8,1,3,1/24,0.041666666667,1/8,-1/12
q_mod8,1,4,1/48,0.020833333333,1/16,-1/24
q_mod8,1,5,1/96,0.010416666667,1/32,-1/48
q_mod8,1,6,1/192,0.005208333333,1/64,-1/96
q_mod8,1,7,1/384,0.002604166667,1/128,-1/192
q_mod8,1,8,1/768,0.001302083333,1/256,-1/384
q_mod8,1,>8,1/768,0.001302083333,1/256,-1/384
q_mod8,3,1,2/3,0.666666666667,1/2,1/6
q_mod8,3,2,1/6,0.166666666667,1/4,-1/12
q_mod8,3,3,1/12,0.083333333333,1/8,-1/24
q_mod8,3,4,1/24,0.041666666667,1/16,-1/48
q_mod8,3,5,1/48,0.020833333333,1/32,-1/96
q_mod8,3,6,1/96,0.010416666667,1/64,-1/192
q_mod8,3,7,1/192,0.005208333333,1/128,-1/384
q_mod8,3,8,1/384,0.002604166667,1/256,-1/768
q_mod8,3,>8,1/384,0.002604166667,1/256,-1/768
q_mod8,5,1,1/6,0.166666666667,1/2,-1/3
q_mod8,5,2,5/12,0.416666666667,1/4,1/6
q_mod8,5,3,5/24,0.208333333333,1/8,1/12
q_mod8,5,4,5/48,0.104166666667,1/16,1/24
q_mod8,5,5,5/96,0.052083333333,1/32,1/48
q_mod8,5,6,5/192,0.026041666667,1/64,1/96
q_mod8,5,7,5/384,0.013020833333,1/128,1/192
q_mod8,5,8,5/768,0.006510416667,1/256,1/384
q_mod8,5,>8,5/768,0.006510416667,1/256,1/384
q_mod8,7,1,1/3,0.333333333333,1/2,-1/6
q_mod8,7,2,1/3,0.333333333333,1/4,1/12
q_mod8,7,3,1/6,0.166666666667,1/8,1/24
q_mod8,7,4,1/12,0.083333333333,1/16,1/48
q_mod8,7,5,1/24,0.041666666667,1/32,1/96
q_mod8,7,6,1/48,0.020833333333,1/64,1/192
q_mod8,7,7,1/96,0.010416666667,1/128,1/384
q_mod8,7,8,1/192,0.005208333333,1/256,1/768
q_mod8,7,>8,1/192,0.005208333333,1/256,1/768
