from_q_mod8,to_q_mod8,count,row_count,probability,uniform_probability,diff_vs_uniform
1,1,156256,625009,0.250005999914,0.250000000000,0.000005999914
1,3,156252,625009,0.249999600006,0.250000000000,-0.000000399994
1,5,156244,625009,0.249986800190,0.250000000000,-0.000013199810
1,7,156257,625009,0.250007599891,0.250000000000,0.000007599891
3,1,156268,625002,0.250027999910,0.250000000000,0.000027999910
3,3,156271,625002,0.250032799895,0.250000000000,0.000032799895
3,5,156248,625002,0.249996000013,0.250000000000,-0.000003999987
3,7,156215,625002,0.249943200182,0.250000000000,-0.000056799818
5,1,156247,624996,0.249996799980,0.250000000000,-0.000003200020
5,3,156248,624996,0.249998399990,0.250000000000,-0.000001600010
5,5,156250,624996,0.250001600010,0.250000000000,0.000001600010
5,7,156251,624996,0.250003200020,0.250000000000,0.000003200020
7,1,156248,624992,0.250000000000,0.250000000000,0.000000000000
7,3,156247,624992,0.249998399980,0.250000000000,-0.000001600020
7,5,156244,624992,0.249993599918,0.250000000000,-0.000006400082
7,7,156253,624992,0.250008000102,0.250000000000,0.000008000102
