steps,from_q_mod8,p_to_1,p_to_3,p_to_5,p_to_7,tv_to_stationary,tv_to_uniform
1,1,0.250005999914,0.249999600006,0.249986800190,0.250007599891,0.000017100291,0.000013599804
1,3,0.250027999910,0.250032799895,0.249996000013,0.249943200182,0.000047299417,0.000060799805
1,5,0.249996799980,0.249998399990,0.250001600010,0.250003200020,0.000019800478,0.000004800031
1,7,0.250000000000,0.249998399980,0.249993599918,0.250008000102,0.000017500503,0.000008000102
2,1,0.250007700018,0.250007299961,0.249994499885,0.249990500136,0.000000000537,0.000014999979
2,3,0.250007701050,0.250007301129,0.249994499889,0.249990497931,0.000000001733,0.000015002180
2,5,0.250007699882,0.250007299909,0.249994500064,0.249990500146,0.000000000657,0.000014999790
2,7,0.250007699927,0.250007299912,0.249994499978,0.249990500183,0.000000000608,0.000014999839
3,1,0.250007700219,0.250007300228,0.249994499954,0.249990499599,0.000000000000,0.000015000447
3,3,0.250007700219,0.250007300228,0.249994499954,0.249990499599,0.000000000000,0.000015000447
3,5,0.250007700219,0.250007300228,0.249994499954,0.249990499599,0.000000000000,0.000015000447
3,7,0.250007700219,0.250007300228,0.249994499954,0.249990499599,0.000000000000,0.000015000447
4,1,0.250007700219,0.250007300228,0.249994499954,0.249990499599,0.000000000000,0.000015000447
4,3,0.250007700219,0.250007300228,0.249994499954,0.249990499599,0.000000000000,0.000015000447
4,5,0.250007700219,0.250007300228,0.249994499954,0.249990499599,0.000000000000,0.000015000447
4,7,0.250007700219,0.250007300228,0.249994499954,0.249990499599,0.000000000000,0.000015000447
