from_q_mod8,to_q_mod8,replica_count,codexhijo1_count,count_diff,replica_probability,codexhijo1_probability,probability_diff,abs_probability_diff
1,1,156256,156256,0,0.250005999914,0.250005999914,0.000000000000,0.000000000000
1,3,156252,156252,0,0.249999600006,0.249999600006,0.000000000000,0.000000000000
1,5,156244,156244,0,0.249986800190,0.249986800190,0.000000000000,0.000000000000
1,7,156257,156257,0,0.250007599891,0.250007599891,0.000000000000,0.000000000000
3,1,156268,156268,0,0.250027999910,0.250027999910,0.000000000000,0.000000000000
3,3,156271,156271,0,0.250032799895,0.250032799895,0.000000000000,0.000000000000
3,5,156248,156248,0,0.249996000013,0.249996000013,0.000000000000,0.000000000000
3,7,156215,156215,0,0.249943200182,0.249943200182,0.000000000000,0.000000000000
5,1,156247,156247,0,0.249996799980,0.249996799980,0.000000000000,0.000000000000
5,3,156248,156248,0,0.249998399990,0.249998399990,0.000000000000,0.000000000000
5,5,156250,156250,0,0.250001600010,0.250001600010,0.000000000000,0.000000000000
5,7,156251,156251,0,0.250003200020,0.250003200020,0.000000000000,0.000000000000
7,1,156248,156248,0,0.250000000000,0.250000000000,0.000000000000,0.000000000000
7,3,156247,156247,0,0.249998399980,0.249998399980,0.000000000000,0.000000000000
7,5,156244,156244,0,0.249993599918,0.249993599918,0.000000000000,0.000000000000
7,7,156253,156253,0,0.250008000102,0.250008000102,0.000000000000,0.000000000000
