metric,value
start,3
limit,5000000
total_transitions,2499999
max_row_total_variation_to_uniform,0.000060799805
max_cell_abs_diff_vs_uniform,0.000056799818
max_stationary_abs_diff_vs_uniform,0.000009500401
max_total_variation_to_uniform_after_1_steps,0.000060799805
max_total_variation_to_uniform_after_2_steps,0.000015002180
max_total_variation_to_uniform_after_3_steps,0.000015000447
max_total_variation_to_uniform_after_4_steps,0.000015000447
codexhijo1_tv_step1,0.000060799805
codexhijo1_tv_step3,0.000015000447
tv_step1_diff_vs_codexhijo1,0.000000000000
tv_step3_diff_vs_codexhijo1,0.000000000000
max_count_diff_vs_codexhijo1,0
max_probability_diff_vs_codexhijo1,0.000000000000
verdict,replica_exacta
recommendation,cerrar_o_enfriar_m15_marginal_q_mod8
