k,range,ln_n_mid,n_chains,hits,P_real,ratio,ci_lo,ci_hi,contains_1
10,0.0M-2.5M,14.039,1249999,15572,0.0124576100,1.0247,1.0069,1.0426,N
10,2.5M-5.0M,15.137,1250000,16010,0.0128080000,0.9967,0.9795,1.0139,Y
10,5.0M-7.5M,15.648,1250000,15982,0.0127856000,0.9985,0.9813,1.0157,Y
10,7.5M-10.0M,15.985,1250000,15918,0.0127344000,1.0025,0.9852,1.0198,Y
10,10.0M-12.5M,16.236,1250000,15851,0.0126808000,1.0067,0.9893,1.0241,Y
10,12.5M-15.0M,16.437,1250000,15813,0.0126504000,1.0091,0.9917,1.0266,Y
10,15.0M-17.5M,16.604,1250000,16073,0.0128584000,0.9928,0.9757,1.0099,Y
10,17.5M-20.0M,16.747,1250000,15865,0.0126920000,1.0058,0.9884,1.0232,Y
10,20.0M-22.5M,16.872,1250000,15880,0.0127040000,1.0049,0.9875,1.0222,Y
10,22.5M-25.0M,16.983,1250000,15872,0.0126976000,1.0054,0.9880,1.0227,Y
15,0.0M-2.5M,14.039,1249999,4331,0.0034648028,1.0658,1.0306,1.1010,N
15,2.5M-5.0M,15.137,1250000,4680,0.0037440000,0.9863,0.9547,1.0179,Y
15,5.0M-7.5M,15.648,1250000,4701,0.0037608000,0.9819,0.9505,1.0133,Y
15,7.5M-10.0M,15.985,1250000,4541,0.0036328000,1.0165,0.9836,1.0495,Y
15,10.0M-12.5M,16.236,1250000,4588,0.0036704000,1.0061,0.9736,1.0386,Y
15,12.5M-15.0M,16.437,1250000,4593,0.0036744000,1.0050,0.9726,1.0374,Y
15,15.0M-17.5M,16.604,1250000,4556,0.0036448000,1.0132,0.9804,1.0460,Y
15,17.5M-20.0M,16.747,1250000,4637,0.0037096000,0.9955,0.9635,1.0275,Y
15,20.0M-22.5M,16.872,1250000,4584,0.0036672000,1.0070,0.9745,1.0395,Y
15,22.5M-25.0M,16.983,1250000,4694,0.0037552000,0.9834,0.9519,1.0148,Y
20,0.0M-2.5M,14.039,1249999,1405,0.0011240009,1.1135,1.0491,1.1779,N
20,2.5M-5.0M,15.137,1250000,1534,0.0012272000,1.0199,0.9630,1.0768,Y
20,5.0M-7.5M,15.648,1250000,1549,0.0012392000,1.0100,0.9539,1.0662,Y
20,7.5M-10.0M,15.985,1250000,1520,0.0012160000,1.0293,0.9716,1.0869,Y
20,10.0M-12.5M,16.236,1250000,1601,0.0012808000,0.9772,0.9236,1.0308,Y
20,12.5M-15.0M,16.437,1250000,1556,0.0012448000,1.0055,0.9497,1.0613,Y
20,15.0M-17.5M,16.604,1250000,1596,0.0012768000,0.9803,0.9264,1.0341,Y
20,17.5M-20.0M,16.747,1250000,1595,0.0012760000,0.9809,0.9270,1.0348,Y
20,20.0M-22.5M,16.872,1250000,1565,0.0012520000,0.9997,0.9443,1.0550,Y
20,22.5M-25.0M,16.983,1250000,1574,0.0012592000,0.9940,0.9391,1.0489,Y
25,0.0M-2.5M,14.039,1249999,516,0.0004128003,1.0790,0.9757,1.1823,Y
25,2.5M-5.0M,15.137,1250000,527,0.0004216000,1.0565,0.9562,1.1567,Y
25,5.0M-7.5M,15.648,1250000,545,0.0004360000,1.0216,0.9259,1.1172,Y
25,7.5M-10.0M,15.985,1250000,548,0.0004384000,1.0160,0.9210,1.1109,Y
25,10.0M-12.5M,16.236,1250000,588,0.0004704000,0.9469,0.8608,1.0329,Y
25,12.5M-15.0M,16.437,1250000,578,0.0004624000,0.9632,0.8751,1.0513,Y
25,15.0M-17.5M,16.604,1250000,564,0.0004512000,0.9871,0.8960,1.0783,Y
25,17.5M-20.0M,16.747,1250000,601,0.0004808000,0.9264,0.8429,1.0098,Y
25,20.0M-22.5M,16.872,1250000,591,0.0004728000,0.9420,0.8566,1.0275,Y
25,22.5M-25.0M,16.983,1250000,552,0.0004416000,1.0086,0.9146,1.1026,Y
