max_power,limit_exclusive,k,total_positive_n,certified_residue_count,residue_modulus,certified_residue_fraction,lowbit_certified_n,lowbit_certified_fraction,false_positives,mod3_preimage_n,mod3_preimage_fraction,naive_descends_within_steps,naive_steps,residue_evaluations,residue_orbit_steps,coverage_count_terms
2,4,8,3,212,256,0.828125000000,1,0.333333333333,0,1,0.333333333333,2,256,256,2048,212
2,4,10,3,846,1024,0.826171875000,1,0.333333333333,0,1,0.333333333333,2,256,1024,10240,846
2,4,12,3,3300,4096,0.805664062500,1,0.333333333333,0,1,0.333333333333,2,256,4096,49152,3300
2,4,14,3,12909,16384,0.787902832031,1,0.333333333333,0,1,0.333333333333,2,256,16384,229376,12909
2,4,16,3,58649,65536,0.894912719727,1,0.333333333333,0,1,0.333333333333,2,256,65536,1048576,58649
2,4,18,3,230962,262144,0.881050109863,1,0.333333333333,0,1,0.333333333333,2,256,262144,4718592,230962
2,4,20,3,910594,1048576,0.868410110474,1,0.333333333333,0,1,0.333333333333,2,256,1048576,20971520,910594
3,8,8,7,212,256,0.828125000000,4,0.571428571429,0,2,0.285714285714,6,256,256,2048,212
3,8,10,7,846,1024,0.826171875000,5,0.714285714286,0,2,0.285714285714,6,256,1024,10240,846
3,8,12,7,3300,4096,0.805664062500,5,0.714285714286,0,2,0.285714285714,6,256,4096,49152,3300
3,8,14,7,12909,16384,0.787902832031,5,0.714285714286,0,2,0.285714285714,6,256,16384,229376,12909
3,8,16,7,58649,65536,0.894912719727,5,0.714285714286,0,2,0.285714285714,6,256,65536,1048576,58649
3,8,18,7,230962,262144,0.881050109863,5,0.714285714286,0,2,0.285714285714,6,256,262144,4718592,230962
3,8,20,7,910594,1048576,0.868410110474,5,0.714285714286,0,2,0.285714285714,6,256,1048576,20971520,910594
4,16,8,15,212,256,0.828125000000,11,0.733333333333,0,5,0.333333333333,14,256,256,2048,212
4,16,10,15,846,1024,0.826171875000,13,0.866666666667,0,5,0.333333333333,14,256,1024,10240,846
4,16,12,15,3300,4096,0.805664062500,13,0.866666666667,0,5,0.333333333333,14,256,4096,49152,3300
4,16,14,15,12909,16384,0.787902832031,13,0.866666666667,0,5,0.333333333333,14,256,16384,229376,12909
4,16,16,15,58649,65536,0.894912719727,13,0.866666666667,0,5,0.333333333333,14,256,65536,1048576,58649
4,16,18,15,230962,262144,0.881050109863,13,0.866666666667,0,5,0.333333333333,14,256,262144,4718592,230962
4,16,20,15,910594,1048576,0.868410110474,13,0.866666666667,0,5,0.333333333333,14,256,1048576,20971520,910594
5,32,8,31,212,256,0.828125000000,22,0.709677419355,0,10,0.322580645161,30,256,256,2048,212
5,32,10,31,846,1024,0.826171875000,27,0.870967741935,0,10,0.322580645161,30,256,1024,10240,846
5,32,12,31,3300,4096,0.805664062500,27,0.870967741935,0,10,0.322580645161,30,256,4096,49152,3300
5,32,14,31,12909,16384,0.787902832031,27,0.870967741935,0,10,0.322580645161,30,256,16384,229376,12909
5,32,16,31,58649,65536,0.894912719727,27,0.870967741935,0,10,0.322580645161,30,256,65536,1048576,58649
5,32,18,31,230962,262144,0.881050109863,27,0.870967741935,0,10,0.322580645161,30,256,262144,4718592,230962
5,32,20,31,910594,1048576,0.868410110474,27,0.870967741935,0,10,0.322580645161,30,256,1048576,20971520,910594
6,64,8,63,212,256,0.828125000000,48,0.761904761905,0,21,0.333333333333,62,256,256,2048,212
6,64,10,63,846,1024,0.826171875000,53,0.841269841270,0,21,0.333333333333,62,256,1024,10240,846
6,64,12,63,3300,4096,0.805664062500,53,0.841269841270,0,21,0.333333333333,62,256,4096,49152,3300
6,64,14,63,12909,16384,0.787902832031,53,0.841269841270,0,21,0.333333333333,62,256,16384,229376,12909
6,64,16,63,58649,65536,0.894912719727,53,0.841269841270,0,21,0.333333333333,62,256,65536,1048576,58649
6,64,18,63,230962,262144,0.881050109863,53,0.841269841270,0,21,0.333333333333,62,256,262144,4718592,230962
6,64,20,63,910594,1048576,0.868410110474,53,0.841269841270,0,21,0.333333333333,62,256,1048576,20971520,910594
7,128,8,127,212,256,0.828125000000,103,0.811023622047,0,42,0.330708661417,126,256,256,2048,212
7,128,10,127,846,1024,0.826171875000,102,0.803149606299,0,42,0.330708661417,126,256,1024,10240,846
7,128,12,127,3300,4096,0.805664062500,98,0.771653543307,0,42,0.330708661417,126,256,4096,49152,3300
7,128,14,127,12909,16384,0.787902832031,97,0.763779527559,0,42,0.330708661417,126,256,16384,229376,12909
7,128,16,127,58649,65536,0.894912719727,103,0.811023622047,0,42,0.330708661417,126,256,65536,1048576,58649
7,128,18,127,230962,262144,0.881050109863,99,0.779527559055,0,42,0.330708661417,126,256,262144,4718592,230962
7,128,20,127,910594,1048576,0.868410110474,99,0.779527559055,0,42,0.330708661417,126,256,1048576,20971520,910594
8,256,8,255,212,256,0.828125000000,211,0.827450980392,0,85,0.333333333333,254,256,256,2048,212
8,256,10,255,846,1024,0.826171875000,208,0.815686274510,0,85,0.333333333333,254,256,1024,10240,846
8,256,12,255,3300,4096,0.805664062500,194,0.760784313725,0,85,0.333333333333,254,256,4096,49152,3300
8,256,14,255,12909,16384,0.787902832031,186,0.729411764706,0,85,0.333333333333,254,256,16384,229376,12909
8,256,16,255,58649,65536,0.894912719727,212,0.831372549020,0,85,0.333333333333,254,256,65536,1048576,58649
8,256,18,255,230962,262144,0.881050109863,201,0.788235294118,0,85,0.333333333333,254,256,262144,4718592,230962
8,256,20,255,910594,1048576,0.868410110474,188,0.737254901961,0,85,0.333333333333,254,256,1048576,20971520,910594
