residue,residue_binary_msb_first,residue_binary_lsb_first,residue_mod_8
5,0000000000000101,1010000000000000,5
13,0000000000001101,1011000000000000,5
21,0000000000010101,1010100000000000,5
29,0000000000011101,1011100000000000,5
37,0000000000100101,1010010000000000,5
45,0000000000101101,1011010000000000,5
53,0000000000110101,1010110000000000,5
61,0000000000111101,1011110000000000,5
69,0000000001000101,1010001000000000,5
77,0000000001001101,1011001000000000,5
85,0000000001010101,1010101000000000,5
93,0000000001011101,1011101000000000,5
101,0000000001100101,1010011000000000,5
109,0000000001101101,1011011000000000,5
117,0000000001110101,1010111000000000,5
133,0000000010000101,1010000100000000,5
141,0000000010001101,1011000100000000,5
149,0000000010010101,1010100100000000,5
157,0000000010011101,1011100100000000,5
165,0000000010100101,1010010100000000,5
173,0000000010101101,1011010100000000,5
181,0000000010110101,1010110100000000,5
189,0000000010111101,1011110100000000,5
197,0000000011000101,1010001100000000,5
205,0000000011001101,1011001100000000,5
213,0000000011010101,1010101100000000,5
221,0000000011011101,1011101100000000,5
229,0000000011100101,1010011100000000,5
237,0000000011101101,1011011100000000,5
245,0000000011110101,1010111100000000,5
253,0000000011111101,1011111100000000,5
261,0000000100000101,1010000010000000,5
269,0000000100001101,1011000010000000,5
277,0000000100010101,1010100010000000,5
285,0000000100011101,1011100010000000,5
293,0000000100100101,1010010010000000,5
301,0000000100101101,1011010010000000,5
309,0000000100110101,1010110010000000,5
317,0000000100111101,1011110010000000,5
325,0000000101000101,1010001010000000,5
333,0000000101001101,1011001010000000,5
341,0000000101010101,1010101010000000,5
349,0000000101011101,1011101010000000,5
357,0000000101100101,1010011010000000,5
365,0000000101101101,1011011010000000,5
373,0000000101110101,1010111010000000,5
381,0000000101111101,1011111010000000,5
389,0000000110000101,1010000110000000,5
397,0000000110001101,1011000110000000,5
405,0000000110010101,1010100110000000,5
413,0000000110011101,1011100110000000,5
421,0000000110100101,1010010110000000,5
429,0000000110101101,1011010110000000,5
437,0000000110110101,1010110110000000,5
453,0000000111000101,1010001110000000,5
461,0000000111001101,1011001110000000,5
469,0000000111010101,1010101110000000,5
477,0000000111011101,1011101110000000,5
485,0000000111100101,1010011110000000,5
493,0000000111101101,1011011110000000,5
501,0000000111110101,1010111110000000,5
509,0000000111111101,1011111110000000,5
517,0000001000000101,1010000001000000,5
525,0000001000001101,1011000001000000,5
533,0000001000010101,1010100001000000,5
541,0000001000011101,1011100001000000,5
549,0000001000100101,1010010001000000,5
557,0000001000101101,1011010001000000,5
565,0000001000110101,1010110001000000,5
573,0000001000111101,1011110001000000,5
581,0000001001000101,1010001001000000,5
589,0000001001001101,1011001001000000,5
597,0000001001010101,1010101001000000,5
605,0000001001011101,1011101001000000,5
613,0000001001100101,1010011001000000,5
621,0000001001101101,1011011001000000,5
629,0000001001110101,1010111001000000,5
637,0000001001111101,1011111001000000,5
645,0000001010000101,1010000101000000,5
653,0000001010001101,1011000101000000,5
661,0000001010010101,1010100101000000,5
677,0000001010100101,1010010101000000,5
685,0000001010101101,1011010101000000,5
693,0000001010110101,1010110101000000,5
701,0000001010111101,1011110101000000,5
709,0000001011000101,1010001101000000,5
717,0000001011001101,1011001101000000,5
725,0000001011010101,1010101101000000,5
733,0000001011011101,1011101101000000,5
741,0000001011100101,1010011101000000,5
749,0000001011101101,1011011101000000,5
757,0000001011110101,1010111101000000,5
765,0000001011111101,1011111101000000,5
773,0000001100000101,1010000011000000,5
781,0000001100001101,1011000011000000,5
789,0000001100010101,1010100011000000,5
797,0000001100011101,1011100011000000,5
805,0000001100100101,1010010011000000,5
813,0000001100101101,1011010011000000,5
821,0000001100110101,1010110011000000,5
829,0000001100111101,1011110011000000,5
837,0000001101000101,1010001011000000,5
845,0000001101001101,1011001011000000,5
853,0000001101010101,1010101011000000,5
861,0000001101011101,1011101011000000,5
869,0000001101100101,1010011011000000,5
877,0000001101101101,1011011011000000,5
885,0000001101110101,1010111011000000,5
901,0000001110000101,1010000111000000,5
909,0000001110001101,1011000111000000,5
917,0000001110010101,1010100111000000,5
925,0000001110011101,1011100111000000,5
933,0000001110100101,1010010111000000,5
941,0000001110101101,1011010111000000,5
949,0000001110110101,1010110111000000,5
957,0000001110111101,1011110111000000,5
965,0000001111000101,1010001111000000,5
973,0000001111001101,1011001111000000,5
981,0000001111010101,1010101111000000,5
989,0000001111011101,1011101111000000,5
997,0000001111100101,1010011111000000,5
1005,0000001111101101,1011011111000000,5
1013,0000001111110101,1010111111000000,5
1021,0000001111111101,1011111111000000,5
1029,0000010000000101,1010000000100000,5
1037,0000010000001101,1011000000100000,5
1045,0000010000010101,1010100000100000,5
1053,0000010000011101,1011100000100000,5
1061,0000010000100101,1010010000100000,5
1069,0000010000101101,1011010000100000,5
1077,0000010000110101,1010110000100000,5
1085,0000010000111101,1011110000100000,5
1093,0000010001000101,1010001000100000,5
1101,0000010001001101,1011001000100000,5
1109,0000010001010101,1010101000100000,5
1117,0000010001011101,1011101000100000,5
1125,0000010001100101,1010011000100000,5
1141,0000010001110101,1010111000100000,5
1149,0000010001111101,1011111000100000,5
1157,0000010010000101,1010000100100000,5
1165,0000010010001101,1011000100100000,5
1173,0000010010010101,1010100100100000,5
1181,0000010010011101,1011100100100000,5
1189,0000010010100101,1010010100100000,5
1197,0000010010101101,1011010100100000,5
1205,0000010010110101,1010110100100000,5
1213,0000010010111101,1011110100100000,5
1221,0000010011000101,1010001100100000,5
1229,0000010011001101,1011001100100000,5
