residue,residue_binary_msb_first,residue_binary_lsb_first,residue_mod_8
125,0000000001111101,1011111000000000,5
445,0000000110111101,1011110110000000,5
669,0000001010011101,1011100101000000,5
893,0000001101111101,1011111011000000,5
1133,0000010001101101,1011011000100000,5
1309,0000010100011101,1011100010100000,5
1341,0000010100111101,1011110010100000,5
1701,0000011010100101,1010010101100000,5
1981,0000011110111101,1011110111100000,5
2045,0000011111111101,1011111111100000,5
2557,0000100111111101,1011111110010000,5
2669,0000101001101101,1011011001010000,5
2725,0000101010100101,1010010101010000,5
2813,0000101011111101,1011111101010000,5
3181,0000110001101101,1011011000110000,5
3229,0000110010011101,1011100100110000,5
3485,0000110110011101,1011100110110000,5
3557,0000110111100101,1010011110110000,5
3749,0000111010100101,1010010101110000,5
3837,0000111011111101,1011111101110000,5
4005,0000111110100101,1010010111110000,5
4093,0000111111111101,1011111111110000,5
4205,0001000001101101,1011011000001000,5
4221,0001000001111101,1011111000001000,5
4645,0001001000100101,1010010001001000,5
4845,0001001011101101,1011011101001000,5
5053,0001001110111101,1011110111001000,5
5117,0001001111111101,1011111111001000,5
5229,0001010001101101,1011011000101000,5
5453,0001010101001101,1011001010101000,5
5605,0001010111100101,1010011110101000,5
5629,0001010111111101,1011111110101000,5
5757,0001011001111101,1011111001101000,5
5885,0001011011111101,1011111101101000,5
6061,0001011110101101,1011010111101000,5
6333,0001100010111101,1011110100011000,5
6557,0001100110011101,1011100110011000,5
6653,0001100111111101,1011111110011000,5
6973,0001101100111101,1011110011011000,5
7165,0001101111111101,1011111111011000,5
7269,0001110001100101,1010011000111000,5
7277,0001110001101101,1011011000111000,5
7581,0001110110011101,1011100110111000,5
7677,0001110111111101,1011111110111000,5
7845,0001111010100101,1010010101111000,5
8173,0001111111101101,1011011111111000,5
8189,0001111111111101,1011111111111000,5
8413,0010000011011101,1011101100000100,5
8445,0010000011111101,1011111100000100,5
8605,0010000110011101,1011100110000100,5
8621,0010000110101101,1011010110000100,5
8829,0010001001111101,1011111001000100,5
8861,0010001010011101,1011100101000100,5
8869,0010001010100101,1010010101000100,5
8893,0010001010111101,1011110101000100,5
9149,0010001110111101,1011110111000100,5
9501,0010010100011101,1011100010100100,5
9701,0010010111100101,1010011110100100,5
10109,0010011101111101,1011111011100100,5
10237,0010011111111101,1011111111100100,5
10461,0010100011011101,1011101100010100,5
10917,0010101010100101,1010010101010100,5
11373,0010110001101101,1011011000110100,5
11773,0010110111111101,1011111110110100,5
12029,0010111011111101,1011111101110100,5
12125,0010111101011101,1011101011110100,5
12197,0010111110100101,1010010111110100,5
12221,0010111110111101,1011110111110100,5
12285,0010111111111101,1011111111110100,5
12397,0011000001101101,1011011000001100,5
12669,0011000101111101,1011111010001100,5
12701,0011000110011101,1011100110001100,5
12797,0011000111111101,1011111110001100,5
12909,0011001001101101,1011011001001100,5
12925,0011001001111101,1011111001001100,5
12933,0011001010000101,1010000101001100,5
13245,0011001110111101,1011110111001100,5
13309,0011001111111101,1011111111001100,5
13477,0011010010100101,1010010100101100,5
13725,0011010110011101,1011100110101100,5
14077,0011011011111101,1011111101101100,5
14253,0011011110101101,1011010111101100,5
14269,0011011110111101,1011110111101100,5
14525,0011100010111101,1011110100011100,5
14557,0011100011011101,1011101100011100,5
14845,0011100111111101,1011111110011100,5
14885,0011101000100101,1010010001011100,5
14957,0011101001101101,1011011001011100,5
15165,0011101100111101,1011110011011100,5
15357,0011101111111101,1011111111011100,5
15693,0011110101001101,1011001010111100,5
15725,0011110101101101,1011011010111100,5
15773,0011110110011101,1011100110111100,5
15997,0011111001111101,1011111001111100,5
16261,0011111110000101,1010000111111100,5
16381,0011111111111101,1011111111111100,5
16933,0100001000100101,1010010001000010,5
17021,0100001001111101,1011111001000010,5
17053,0100001010011101,1011100101000010,5
17061,0100001010100101,1010010101000010,5
17389,0100001111101101,1011011111000010,5
17661,0100010011111101,1011111100100010,5
17741,0100010101001101,1011001010100010,5
18045,0100011001111101,1011111001100010,5
18301,0100011101111101,1011111011100010,5
18333,0100011110011101,1011100111100010,5
18365,0100011110111101,1011110111100010,5
18429,0100011111111101,1011111111100010,5
19053,0100101001101101,1011011001010010,5
19109,0100101010100101,1010010101010010,5
19389,0100101110111101,1011110111010010,5
19405,0100101111001101,1011001111010010,5
19453,0100101111111101,1011111111010010,5
19741,0100110100011101,1011100010110010,5
19949,0100110111101101,1011011110110010,5
20213,0100111011110101,1010111101110010,5
20221,0100111011111101,1011111101110010,5
20477,0100111111111101,1011111111110010,5
20589,0101000001101101,1011011000001010,5
20989,0101000111111101,1011111110001010,5
21029,0101001000100101,1010010001001010,5
21437,0101001110111101,1011110111001010,5
21789,0101010100011101,1011100010101010,5
21829,0101010101000101,1010001010101010,5
21837,0101010101001101,1011001010101010,5
21917,0101010110011101,1011100110101010,5
22141,0101011001111101,1011111001101010,5
22269,0101011011111101,1011111101101010,5
22437,0101011110100101,1010010111101010,5
22445,0101011110101101,1011010111101010,5
22693,0101100010100101,1010010100011010,5
22717,0101100010111101,1011110100011010,5
23037,0101100111111101,1011111110011010,5
23165,0101101001111101,1011111001011010,5
23541,0101101111110101,1010111111011010,5
23549,0101101111111101,1011111111011010,5
23661,0101110001101101,1011011000111010,5
23965,0101110110011101,1011100110111010,5
23997,0101110110111101,1011110110111010,5
24485,0101111110100101,1010010111111010,5
24573,0101111111111101,1011111111111010,5
24941,0110000101101101,1011011010000110,5
25213,0110001001111101,1011111001000110,5
25253,0110001010100101,1010010101000110,5
25405,0110001100111101,1011110011000110,5
25477,0110001110000101,1010000111000110,5
25581,0110001111101101,1011011111000110,5
25597,0110001111111101,1011111111000110,5
25853,0110010011111101,1011111100100110,5
25885,0110010100011101,1011100010100110,5
26365,0110011011111101,1011111101100110,5
26493,0110011101111101,1011111011100110,5
26621,0110011111111101,1011111111100110,5
27293,0110101010011101,1011100101010110,5
27301,0110101010100101,1010010101010110,5
27453,0110101100111101,1011110011010110,5
27501,0110101101101101,1011011011010110,5
27549,0110101110011101,1011100111010110,5
27581,0110101110111101,1011110111010110,5
27645,0110101111111101,1011111111010110,5
27757,0110110001101101,1011011000110110,5
27773,0110110001111101,1011111000110110,5
28037,0110110110000101,1010000110110110,5
28581,0110111110100101,1010010111110110,5
28669,0110111111111101,1011111111110110,5
29109,0111000110110101,1010110110001110,5
29181,0111000111111101,1011111110001110,5
29341,0111001010011101,1011100101001110,5
29629,0111001110111101,1011110111001110,5
29693,0111001111111101,1011111111001110,5
29925,0111010011100101,1010011100101110,5
30109,0111010110011101,1011100110101110,5
30461,0111011011111101,1011111101101110,5
30717,0111011111111101,1011111111101110,5
30829,0111100001101101,1011011000011110,5
30885,0111100010100101,1010010100011110,5
31229,0111100111111101,1011111110011110,5
31357,0111101001111101,1011111001011110,5
