block_id,k,start_branch_index,end_branch_index,start_residue,end_residue,start_residue_binary_msb_first,end_residue_binary_msb_first,start_residue_binary_lsb_first,end_residue_binary_lsb_first,length,residue_step,span_width,gap_from_previous_branch_indices
1,16,15,15,125,125,0000000001111101,0000000001111101,1011111000000000,1011111000000000,1,8,1,
2,16,55,55,445,445,0000000110111101,0000000110111101,1011110110000000,1011110110000000,1,8,1,39
3,16,83,83,669,669,0000001010011101,0000001010011101,1011100101000000,1011100101000000,1,8,1,27
4,16,111,111,893,893,0000001101111101,0000001101111101,1011111011000000,1011111011000000,1,8,1,27
5,16,141,141,1133,1133,0000010001101101,0000010001101101,1011011000100000,1011011000100000,1,8,1,29
6,16,163,163,1309,1309,0000010100011101,0000010100011101,1011100010100000,1011100010100000,1,8,1,21
7,16,167,167,1341,1341,0000010100111101,0000010100111101,1011110010100000,1011110010100000,1,8,1,3
8,16,212,212,1701,1701,0000011010100101,0000011010100101,1010010101100000,1010010101100000,1,8,1,44
9,16,247,247,1981,1981,0000011110111101,0000011110111101,1011110111100000,1011110111100000,1,8,1,34
10,16,255,255,2045,2045,0000011111111101,0000011111111101,1011111111100000,1011111111100000,1,8,1,7
11,16,319,319,2557,2557,0000100111111101,0000100111111101,1011111110010000,1011111110010000,1,8,1,63
12,16,333,333,2669,2669,0000101001101101,0000101001101101,1011011001010000,1011011001010000,1,8,1,13
13,16,340,340,2725,2725,0000101010100101,0000101010100101,1010010101010000,1010010101010000,1,8,1,6
14,16,351,351,2813,2813,0000101011111101,0000101011111101,1011111101010000,1011111101010000,1,8,1,10
15,16,397,397,3181,3181,0000110001101101,0000110001101101,1011011000110000,1011011000110000,1,8,1,45
16,16,403,403,3229,3229,0000110010011101,0000110010011101,1011100100110000,1011100100110000,1,8,1,5
17,16,435,435,3485,3485,0000110110011101,0000110110011101,1011100110110000,1011100110110000,1,8,1,31
18,16,444,444,3557,3557,0000110111100101,0000110111100101,1010011110110000,1010011110110000,1,8,1,8
19,16,468,468,3749,3749,0000111010100101,0000111010100101,1010010101110000,1010010101110000,1,8,1,23
20,16,479,479,3837,3837,0000111011111101,0000111011111101,1011111101110000,1011111101110000,1,8,1,10
21,16,500,500,4005,4005,0000111110100101,0000111110100101,1010010111110000,1010010111110000,1,8,1,20
22,16,511,511,4093,4093,0000111111111101,0000111111111101,1011111111110000,1011111111110000,1,8,1,10
23,16,525,525,4205,4205,0001000001101101,0001000001101101,1011011000001000,1011011000001000,1,8,1,13
24,16,527,527,4221,4221,0001000001111101,0001000001111101,1011111000001000,1011111000001000,1,8,1,1
25,16,580,580,4645,4645,0001001000100101,0001001000100101,1010010001001000,1010010001001000,1,8,1,52
26,16,605,605,4845,4845,0001001011101101,0001001011101101,1011011101001000,1011011101001000,1,8,1,24
27,16,631,631,5053,5053,0001001110111101,0001001110111101,1011110111001000,1011110111001000,1,8,1,25
28,16,639,639,5117,5117,0001001111111101,0001001111111101,1011111111001000,1011111111001000,1,8,1,7
29,16,653,653,5229,5229,0001010001101101,0001010001101101,1011011000101000,1011011000101000,1,8,1,13
30,16,681,681,5453,5453,0001010101001101,0001010101001101,1011001010101000,1011001010101000,1,8,1,27
31,16,700,700,5605,5605,0001010111100101,0001010111100101,1010011110101000,1010011110101000,1,8,1,18
32,16,703,703,5629,5629,0001010111111101,0001010111111101,1011111110101000,1011111110101000,1,8,1,2
33,16,719,719,5757,5757,0001011001111101,0001011001111101,1011111001101000,1011111001101000,1,8,1,15
34,16,735,735,5885,5885,0001011011111101,0001011011111101,1011111101101000,1011111101101000,1,8,1,15
35,16,757,757,6061,6061,0001011110101101,0001011110101101,1011010111101000,1011010111101000,1,8,1,21
36,16,791,791,6333,6333,0001100010111101,0001100010111101,1011110100011000,1011110100011000,1,8,1,33
37,16,819,819,6557,6557,0001100110011101,0001100110011101,1011100110011000,1011100110011000,1,8,1,27
38,16,831,831,6653,6653,0001100111111101,0001100111111101,1011111110011000,1011111110011000,1,8,1,11
39,16,871,871,6973,6973,0001101100111101,0001101100111101,1011110011011000,1011110011011000,1,8,1,39
40,16,895,895,7165,7165,0001101111111101,0001101111111101,1011111111011000,1011111111011000,1,8,1,23
41,16,908,909,7269,7277,0001110001100101,0001110001101101,1010011000111000,1011011000111000,2,8,9,12
42,16,947,947,7581,7581,0001110110011101,0001110110011101,1011100110111000,1011100110111000,1,8,1,37
43,16,959,959,7677,7677,0001110111111101,0001110111111101,1011111110111000,1011111110111000,1,8,1,11
44,16,980,980,7845,7845,0001111010100101,0001111010100101,1010010101111000,1010010101111000,1,8,1,20
45,16,1021,1021,8173,8173,0001111111101101,0001111111101101,1011011111111000,1011011111111000,1,8,1,40
46,16,1023,1023,8189,8189,0001111111111101,0001111111111101,1011111111111000,1011111111111000,1,8,1,1
47,16,1051,1051,8413,8413,0010000011011101,0010000011011101,1011101100000100,1011101100000100,1,8,1,27
48,16,1055,1055,8445,8445,0010000011111101,0010000011111101,1011111100000100,1011111100000100,1,8,1,3
49,16,1075,1075,8605,8605,0010000110011101,0010000110011101,1011100110000100,1011100110000100,1,8,1,19
50,16,1077,1077,8621,8621,0010000110101101,0010000110101101,1011010110000100,1011010110000100,1,8,1,1
51,16,1103,1103,8829,8829,0010001001111101,0010001001111101,1011111001000100,1011111001000100,1,8,1,25
52,16,1107,1108,8861,8869,0010001010011101,0010001010100101,1011100101000100,1010010101000100,2,8,9,3
53,16,1111,1111,8893,8893,0010001010111101,0010001010111101,1011110101000100,1011110101000100,1,8,1,2
54,16,1143,1143,9149,9149,0010001110111101,0010001110111101,1011110111000100,1011110111000100,1,8,1,31
55,16,1187,1187,9501,9501,0010010100011101,0010010100011101,1011100010100100,1011100010100100,1,8,1,43
56,16,1212,1212,9701,9701,0010010111100101,0010010111100101,1010011110100100,1010011110100100,1,8,1,24
57,16,1263,1263,10109,10109,0010011101111101,0010011101111101,1011111011100100,1011111011100100,1,8,1,50
58,16,1279,1279,10237,10237,0010011111111101,0010011111111101,1011111111100100,1011111111100100,1,8,1,15
59,16,1307,1307,10461,10461,0010100011011101,0010100011011101,1011101100010100,1011101100010100,1,8,1,27
60,16,1364,1364,10917,10917,0010101010100101,0010101010100101,1010010101010100,1010010101010100,1,8,1,56
61,16,1421,1421,11373,11373,0010110001101101,0010110001101101,1011011000110100,1011011000110100,1,8,1,56
62,16,1471,1471,11773,11773,0010110111111101,0010110111111101,1011111110110100,1011111110110100,1,8,1,49
63,16,1503,1503,12029,12029,0010111011111101,0010111011111101,1011111101110100,1011111101110100,1,8,1,31
64,16,1515,1515,12125,12125,0010111101011101,0010111101011101,1011101011110100,1011101011110100,1,8,1,11
65,16,1524,1524,12197,12197,0010111110100101,0010111110100101,1010010111110100,1010010111110100,1,8,1,8
66,16,1527,1527,12221,12221,0010111110111101,0010111110111101,1011110111110100,1011110111110100,1,8,1,2
67,16,1535,1535,12285,12285,0010111111111101,0010111111111101,1011111111110100,1011111111110100,1,8,1,7
68,16,1549,1549,12397,12397,0011000001101101,0011000001101101,1011011000001100,1011011000001100,1,8,1,13
69,16,1583,1583,12669,12669,0011000101111101,0011000101111101,1011111010001100,1011111010001100,1,8,1,33
70,16,1587,1587,12701,12701,0011000110011101,0011000110011101,1011100110001100,1011100110001100,1,8,1,3
71,16,1599,1599,12797,12797,0011000111111101,0011000111111101,1011111110001100,1011111110001100,1,8,1,11
72,16,1613,1613,12909,12909,0011001001101101,0011001001101101,1011011001001100,1011011001001100,1,8,1,13
73,16,1615,1616,12925,12933,0011001001111101,0011001010000101,1011111001001100,1010000101001100,2,8,9,1
74,16,1655,1655,13245,13245,0011001110111101,0011001110111101,1011110111001100,1011110111001100,1,8,1,38
75,16,1663,1663,13309,13309,0011001111111101,0011001111111101,1011111111001100,1011111111001100,1,8,1,7
76,16,1684,1684,13477,13477,0011010010100101,0011010010100101,1010010100101100,1010010100101100,1,8,1,20
