rank,family_type,selector,selector_bits,residue_count,selector_s2_branch_capacity,density_within_selector,selector_exact_for_u16,non_residual_s2_overinclude,m22_c1_c2_use,min_residue,max_residue,residues,residues_binary_msb_first,rationale
1,low_mod_bucket,r mod 2^13 = 8189,13,8,8,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,8189,65533,8189 16381 24573 32765 40957 49149 57341 65533,0001111111111101 0011111111111101 0101111111111101 0111111111111101 1001111111111101 1011111111111101 1101111111111101 1111111111111101,Short low-bit guard; useful first target for guarded rewriting.
2,low_mod_bucket,r mod 2^14 = 5053,14,4,4,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,5053,54205,5053 21437 37821 54205,0001001110111101 0101001110111101 1001001110111101 1101001110111101,Short low-bit guard; useful first target for guarded rewriting.
3,low_mod_bucket,r mod 2^14 = 5885,14,4,4,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,5885,55037,5885 22269 38653 55037,0001011011111101 0101011011111101 1001011011111101 1101011011111101,Short low-bit guard; useful first target for guarded rewriting.
4,low_mod_bucket,r mod 2^14 = 7277,14,4,4,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,7277,56429,7277 23661 40045 56429,0001110001101101 0101110001101101 1001110001101101 1101110001101101,Short low-bit guard; useful first target for guarded rewriting.
5,low_mod_bucket,r mod 2^14 = 8189,14,4,4,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,8189,57341,8189 24573 40957 57341,0001111111111101 0101111111111101 1001111111111101 1101111111111101,Short low-bit guard; useful first target for guarded rewriting.
6,low_mod_bucket,r mod 2^14 = 8829,14,4,4,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,8829,57981,8829 25213 41597 57981,0010001001111101 0110001001111101 1010001001111101 1110001001111101,Short low-bit guard; useful first target for guarded rewriting.
7,low_mod_bucket,r mod 2^14 = 10237,14,4,4,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,10237,59389,10237 26621 43005 59389,0010011111111101 0110011111111101 1010011111111101 1110011111111101,Short low-bit guard; useful first target for guarded rewriting.
8,low_mod_bucket,r mod 2^14 = 10917,14,4,4,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,10917,60069,10917 27301 43685 60069,0010101010100101 0110101010100101 1010101010100101 1110101010100101,Short low-bit guard; useful first target for guarded rewriting.
9,low_mod_bucket,r mod 2^14 = 12285,14,4,4,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,12285,61437,12285 28669 45053 61437,0010111111111101 0110111111111101 1010111111111101 1110111111111101,Short low-bit guard; useful first target for guarded rewriting.
10,low_mod_bucket,r mod 2^14 = 14845,14,4,4,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,14845,63997,14845 31229 47613 63997,0011100111111101 0111100111111101 1011100111111101 1111100111111101,Short low-bit guard; useful first target for guarded rewriting.
11,low_mod_bucket,r mod 2^14 = 15357,14,4,4,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,15357,64509,15357 31741 48125 64509,0011101111111101 0111101111111101 1011101111111101 1111101111111101,Short low-bit guard; useful first target for guarded rewriting.
12,low_mod_bucket,r mod 2^14 = 15773,14,4,4,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,15773,64925,15773 32157 48541 64925,0011110110011101 0111110110011101 1011110110011101 1111110110011101,Short low-bit guard; useful first target for guarded rewriting.
13,low_mod_bucket,r mod 2^14 = 16381,14,4,4,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,16381,65533,16381 32765 49149 65533,0011111111111101 0111111111111101 1011111111111101 1111111111111101,Short low-bit guard; useful first target for guarded rewriting.
14,low_mod_bucket,r mod 2^15 = 445,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,445,33213,445 33213,0000000110111101 1000000110111101,Short low-bit guard; useful first target for guarded rewriting.
15,low_mod_bucket,r mod 2^15 = 669,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,669,33437,669 33437,0000001010011101 1000001010011101,Short low-bit guard; useful first target for guarded rewriting.
16,low_mod_bucket,r mod 2^15 = 2045,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,2045,34813,2045 34813,0000011111111101 1000011111111101,Short low-bit guard; useful first target for guarded rewriting.
17,low_mod_bucket,r mod 2^15 = 2557,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,2557,35325,2557 35325,0000100111111101 1000100111111101,Short low-bit guard; useful first target for guarded rewriting.
18,low_mod_bucket,r mod 2^15 = 2725,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,2725,35493,2725 35493,0000101010100101 1000101010100101,Short low-bit guard; useful first target for guarded rewriting.
19,low_mod_bucket,r mod 2^15 = 2813,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,2813,35581,2813 35581,0000101011111101 1000101011111101,Short low-bit guard; useful first target for guarded rewriting.
20,low_mod_bucket,r mod 2^15 = 3485,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,3485,36253,3485 36253,0000110110011101 1000110110011101,Short low-bit guard; useful first target for guarded rewriting.
21,low_mod_bucket,r mod 2^15 = 3837,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,3837,36605,3837 36605,0000111011111101 1000111011111101,Short low-bit guard; useful first target for guarded rewriting.
22,low_mod_bucket,r mod 2^15 = 4205,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,4205,36973,4205 36973,0001000001101101 1001000001101101,Short low-bit guard; useful first target for guarded rewriting.
23,low_mod_bucket,r mod 2^15 = 4221,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,4221,36989,4221 36989,0001000001111101 1001000001111101,Short low-bit guard; useful first target for guarded rewriting.
24,low_mod_bucket,r mod 2^15 = 5053,15,2,2,1.000000000000,True,0,C2-exact microbenchmark after C1 recheck,5053,37821,5053 37821,0001001110111101 1001001110111101,Short low-bit guard; useful first target for guarded rewriting.
