k,total_residuals,j,modulus,residue_mod,residue_mod_binary_msb_first,residue_mod_binary_lsb_first,count,fraction_of_residuals,s2_branch_capacity,density_within_s2_bucket
16,378,3,8,5,101,101,378,1.000000000000,8192,0.046142578125
16,378,4,16,5,0101,1010,79,0.208994708995,4096,0.019287109375
16,378,4,16,13,1101,1011,299,0.791005291005,4096,0.072998046875
16,378,5,32,5,00101,10100,67,0.177248677249,2048,0.032714843750
16,378,5,32,13,01101,10110,67,0.177248677249,2048,0.032714843750
16,378,5,32,21,10101,10101,12,0.031746031746,2048,0.005859375000
16,378,5,32,29,11101,10111,232,0.613756613757,2048,0.113281250000
16,378,6,64,5,000101,101000,11,0.029100529101,1024,0.010742187500
16,378,6,64,13,001101,101100,11,0.029100529101,1024,0.010742187500
16,378,6,64,21,010101,101010,1,0.002645502646,1024,0.000976562500
16,378,6,64,29,011101,101110,56,0.148148148148,1024,0.054687500000
16,378,6,64,37,100101,101001,56,0.148148148148,1024,0.054687500000
16,378,6,64,45,101101,101101,56,0.148148148148,1024,0.054687500000
16,378,6,64,53,110101,101011,11,0.029100529101,1024,0.010742187500
16,378,6,64,61,111101,101111,176,0.465608465608,1024,0.171875000000
16,378,7,128,5,0000101,1010000,10,0.026455026455,512,0.019531250000
16,378,7,128,13,0001101,1011000,1,0.002645502646,512,0.001953125000
16,378,7,128,21,0010101,1010100,1,0.002645502646,512,0.001953125000
16,378,7,128,29,0011101,1011100,46,0.121693121693,512,0.089843750000
16,378,7,128,37,0100101,1010010,46,0.121693121693,512,0.089843750000
16,378,7,128,45,0101101,1011010,10,0.026455026455,512,0.019531250000
16,378,7,128,53,0110101,1010110,1,0.002645502646,512,0.001953125000
16,378,7,128,61,0111101,1011110,46,0.121693121693,512,0.089843750000
16,378,7,128,69,1000101,1010001,1,0.002645502646,512,0.001953125000
16,378,7,128,77,1001101,1011001,10,0.026455026455,512,0.019531250000
16,378,7,128,93,1011101,1011101,10,0.026455026455,512,0.019531250000
16,378,7,128,101,1100101,1010011,10,0.026455026455,512,0.019531250000
16,378,7,128,109,1101101,1011011,46,0.121693121693,512,0.089843750000
16,378,7,128,117,1110101,1010111,10,0.026455026455,512,0.019531250000
16,378,7,128,125,1111101,1011111,130,0.343915343915,512,0.253906250000
16,378,8,256,5,00000101,10100000,1,0.002645502646,256,0.003906250000
16,378,8,256,13,00001101,10110000,1,0.002645502646,256,0.003906250000
16,378,8,256,29,00011101,10111000,9,0.023809523810,256,0.035156250000
16,378,8,256,37,00100101,10100100,9,0.023809523810,256,0.035156250000
16,378,8,256,45,00101101,10110100,1,0.002645502646,256,0.003906250000
16,378,8,256,61,00111101,10111100,9,0.023809523810,256,0.035156250000
16,378,8,256,69,01000101,10100010,1,0.002645502646,256,0.003906250000
16,378,8,256,77,01001101,10110010,9,0.023809523810,256,0.035156250000
16,378,8,256,93,01011101,10111010,1,0.002645502646,256,0.003906250000
16,378,8,256,101,01100101,10100110,1,0.002645502646,256,0.003906250000
16,378,8,256,109,01101101,10110110,37,0.097883597884,256,0.144531250000
16,378,8,256,117,01110101,10101110,1,0.002645502646,256,0.003906250000
16,378,8,256,125,01111101,10111110,37,0.097883597884,256,0.144531250000
16,378,8,256,133,10000101,10100001,9,0.023809523810,256,0.035156250000
16,378,8,256,149,10010101,10101001,1,0.002645502646,256,0.003906250000
16,378,8,256,157,10011101,10111001,37,0.097883597884,256,0.144531250000
16,378,8,256,165,10100101,10100101,37,0.097883597884,256,0.144531250000
16,378,8,256,173,10101101,10110101,9,0.023809523810,256,0.035156250000
16,378,8,256,181,10110101,10101101,1,0.002645502646,256,0.003906250000
16,378,8,256,189,10111101,10111101,37,0.097883597884,256,0.144531250000
16,378,8,256,205,11001101,10110011,1,0.002645502646,256,0.003906250000
16,378,8,256,221,11011101,10111011,9,0.023809523810,256,0.035156250000
16,378,8,256,229,11100101,10100111,9,0.023809523810,256,0.035156250000
16,378,8,256,237,11101101,10110111,9,0.023809523810,256,0.035156250000
16,378,8,256,245,11110101,10101111,9,0.023809523810,256,0.035156250000
16,378,8,256,253,11111101,10111111,93,0.246031746032,256,0.363281250000
16,378,9,512,5,000000101,101000000,1,0.002645502646,128,0.007812500000
16,378,9,512,29,000011101,101110000,1,0.002645502646,128,0.007812500000
16,378,9,512,37,000100101,101001000,8,0.021164021164,128,0.062500000000
16,378,9,512,45,000101101,101101000,1,0.002645502646,128,0.007812500000
16,378,9,512,61,000111101,101111000,1,0.002645502646,128,0.007812500000
16,378,9,512,77,001001101,101100100,1,0.002645502646,128,0.007812500000
16,378,9,512,101,001100101,101001100,1,0.002645502646,128,0.007812500000
16,378,9,512,109,001101101,101101100,29,0.076719576720,128,0.226562500000
16,378,9,512,117,001110101,101011100,1,0.002645502646,128,0.007812500000
16,378,9,512,125,001111101,101111100,29,0.076719576720,128,0.226562500000
16,378,9,512,133,010000101,101000010,1,0.002645502646,128,0.007812500000
16,378,9,512,149,010010101,101010010,1,0.002645502646,128,0.007812500000
16,378,9,512,157,010011101,101110010,8,0.021164021164,128,0.062500000000
16,378,9,512,165,010100101,101001010,29,0.076719576720,128,0.226562500000
16,378,9,512,173,010101101,101101010,1,0.002645502646,128,0.007812500000
16,378,9,512,189,010111101,101111010,8,0.021164021164,128,0.062500000000
16,378,9,512,221,011011101,101110110,8,0.021164021164,128,0.062500000000
16,378,9,512,229,011100101,101001110,1,0.002645502646,128,0.007812500000
16,378,9,512,237,011101101,101101110,1,0.002645502646,128,0.007812500000
16,378,9,512,245,011110101,101011110,1,0.002645502646,128,0.007812500000
16,378,9,512,253,011111101,101111110,29,0.076719576720,128,0.226562500000
