status,blocks,count,fraction
drop,1,356851,0.71370343
drop,2,73158,0.14631629
drop,3,25902,0.0518041
drop,4,13908,0.02781606
drop,5,8947,0.01789404
drop,6,6053,0.01210602
drop,7,4171,0.00834202
drop,8,2781,0.00556201
drop,9,1978,0.00395601
drop,10,1499,0.00299801
drop,11,1127,0.002254
drop,12,834,0.001668
drop,13,575,0.00115
drop,14,461,0.000922
drop,15,379,0.000758
drop,16,289,0.000578
drop,17,214,0.000428
drop,18,170,0.00034
drop,19,113,0.000226
drop,20,102,0.000204
drop,21,93,0.000186
drop,22,67,0.000134
drop,23,55,0.00011
drop,24,46,9.2e-05
drop,25,53,0.000106
drop,26,35,7e-05
drop,27,19,3.8e-05
drop,28,19,3.8e-05
drop,29,25,5e-05
drop,30,8,1.6e-05
drop,31,11,2.2e-05
drop,32,10,2e-05
drop,33,9,1.8e-05
drop,34,5,1e-05
drop,35,3,6e-06
drop,36,1,2e-06
drop,37,6,1.2e-05
drop,38,2,4e-06
drop,40,1,2e-06
drop,41,2,4e-06
one,1,14,2.8e-05
one,2,1,2e-06
one,3,2,4e-06
