initial_tail,count,drop_fraction,one_fraction,maxed_fraction,avg_blocks,avg_expansive_blocks,avg_long_tail_hits,avg_max_tail_seen,avg_max_odd_ratio,avg_max_peak_ratio,max_blocks,argmax_blocks,max_odd_ratio_record,argmax_max_odd_ratio,max_peak_ratio_record,argmax_max_peak_ratio,max_tail_seen_record,argmax_max_tail_seen
1,249999,0.999964,3.6e-05,0.0,1.0,0.0,0.0039,1.999832,1.0,3.000013,1,5,1.0,5,3.2,5,19,699049
2,125000,0.99996,4e-05,0.0,1.904776,0.758136,0.007304,2.771344,1.967182,10.717955,41,626331,7116.761496,432923,56934.091966,432923,19,581883
3,62500,0.999968,3.2e-05,0.0,2.311264,0.875248,0.008736,3.481152,3.129403,18.857756,36,288615,10675.154573,288615,85401.236582,288615,19,689639
4,31250,0.999968,3.2e-05,0.0,3.111968,1.352448,0.011456,4.335584,5.320704,33.753527,41,667375,5337.568039,577231,42700.544316,577231,19,459759
5,15625,1.0,0.0,0.0,3.756736,1.533888,0.013632,5.2112,7.816798,51.38623,38,405407,7599.794125,405407,60798.353003,405407,15,138079
6,7813,1.0,0.0,0.0,4.582491,1.893895,0.015359,6.13132,14.102705,101.030774,38,270271,11399.705248,270271,91197.641982,270271,19,736447
7,3906,1.0,0.0,0.0,5.283666,2.144649,0.017409,7.071685,22.778853,173.858739,37,540543,8988.371988,239231,78896.725588,665215,13,239231
8,1953,1.0,0.0,0.0,5.946237,2.328725,0.024578,8.042499,36.171881,259.607361,37,401151,13482.586161,159487,107860.689285,159487,13,159487
9,977,1.0,0.0,0.0,6.614125,2.513818,1.025589,9.025589,39.772913,281.255882,34,528895,6741.271946,318975,53930.175569,318975,13,318975
10,488,1.0,0.0,0.0,7.182377,2.668033,1.020492,10.008197,45.545237,314.757991,33,437247,1498.058877,420863,11984.455602,859135,12,629759
11,244,1.0,0.0,0.0,8.372951,3.077869,1.02459,11.004098,72.444093,449.403736,31,206847,2247.090985,280575,11222.768499,419839,12,419839
12,122,1.0,0.0,0.0,9.368852,3.319672,1.032787,12.0,130.52725,852.992984,31,847871,3599.39639,847871,28795.171124,847871,12,4095
13,61,1.0,0.0,0.0,10.098361,3.409836,1.016393,13.0,198.483537,1371.803513,31,565247,5399.09777,565247,43192.782157,565247,13,8191
14,31,1.0,0.0,0.0,11.0,3.612903,1.0,14.0,441.367942,5632.068698,32,376831,8098.653818,376831,80895.09393,704511,14,16383
15,15,1.0,0.0,0.0,12.866667,3.866667,1.0,15.0,448.913327,3489.629591,31,753663,4049.321536,753663,32394.57229,753663,15,32767
16,8,1.0,0.0,0.0,14.25,4.125,1.0,16.0,343.635622,2874.613474,25,720895,789.103048,196607,7989.668404,196607,16,65535
17,4,1.0,0.0,0.0,14.5,4.5,1.0,17.0,719.164326,6591.737685,24,131071,1183.657583,131071,11984.533085,131071,17,131071
18,2,1.0,0.0,0.0,17.0,4.0,1.0,18.0,665.386706,4474.0156,20,262143,738.946879,786431,5992.243684,262143,18,262143
19,1,1.0,0.0,0.0,14.0,3.0,1.0,19.0,1108.421023,4433.684093,14,524287,1108.421023,524287,4433.684093,524287,19,524287
