rank_metric,rank,n,initial_tail,status,blocks,expansive_blocks,long_tail_hits,max_tail_seen,terminal_odd,max_odd_ratio,max_peak_ratio
blocks,1,626331,2,drop,41,18,2,14,597017,2882.774119,11531.096478
blocks,2,667375,4,drop,41,17,0,8,212047,924.574042,3698.296166
blocks,3,704623,4,drop,40,17,2,14,597017,2562.463611,10249.854444
blocks,4,270271,6,drop,38,17,0,8,2513,11399.705248,91197.641982
blocks,5,405407,5,drop,38,17,0,8,2513,7599.794125,60798.353003
blocks,6,540543,7,drop,37,17,0,8,428885,5699.842079,45598.736633
blocks,7,608111,4,drop,37,17,0,8,428885,5066.525251,40532.202009
blocks,8,687871,8,drop,37,20,0,8,605737,5124.923669,29188.041851
blocks,9,381727,5,drop,37,15,1,10,161717,370.248321,1480.993286
blocks,10,401151,8,drop,37,19,0,8,67139,175.723119,987.327665
blocks,11,601727,7,drop,37,19,0,7,67139,117.148649,658.217896
blocks,12,288615,3,drop,36,17,0,8,2513,10675.154573,85401.236582
blocks,13,432923,2,drop,35,17,0,8,428885,7116.761496,56934.091966
blocks,14,577231,4,drop,35,17,0,8,428885,5337.568039,42700.544316
blocks,15,362343,3,drop,35,14,1,10,161717,390.055227,1560.220907
blocks,16,487039,7,drop,34,16,0,8,428885,6326.0021,50608.016804
blocks,17,730559,6,drop,34,16,0,8,428885,4217.331847,33738.654778
blocks,18,974079,8,drop,34,16,0,8,428885,3162.997803,25303.982424
blocks,19,528895,9,drop,34,10,3,12,413995,456.063485,1824.253941
blocks,20,543515,2,drop,34,14,1,10,431245,260.036579,1040.146314
blocks,21,793343,8,drop,33,10,2,12,551993,304.042132,1216.168527
blocks,22,437247,10,drop,33,16,1,10,385043,171.024668,1154.41652
blocks,23,805375,9,drop,33,13,1,9,466445,140.442861,1108.420341
blocks,24,724687,4,drop,33,14,1,10,574993,195.027344,780.109377
blocks,25,722715,2,drop,33,15,1,11,148993,184.736856,738.947425
blocks,26,879975,3,drop,33,16,0,8,725653,156.197652,624.790609
blocks,27,856551,3,drop,33,15,1,10,794629,155.871743,623.48697
blocks,28,828487,3,drop,33,16,0,7,35543,106.769565,427.078262
blocks,29,827503,4,drop,33,21,0,5,303283,12.989312,87.677865
blocks,30,376831,14,drop,32,12,1,14,157493,8098.653818,64789.230546
blocks,31,376603,2,drop,32,15,0,8,310559,360.347175,5124.937571
blocks,32,35655,3,drop,32,13,0,8,29405,140.453373,1154.500407
blocks,33,601327,4,drop,32,17,0,8,116089,197.275175,998.705583
blocks,34,611455,7,drop,32,13,1,10,574993,231.143389,924.573557
blocks,35,756903,3,drop,32,16,1,13,554813,231.143072,924.57229
blocks,36,434223,4,drop,32,17,0,6,67139,162.339409,912.129206
blocks,37,298843,2,drop,32,15,0,6,205133,101.34823,769.613155
blocks,38,901991,3,drop,32,17,0,8,116089,131.51671,665.803353
blocks,39,651335,3,drop,32,17,0,6,67139,108.226189,608.08567
blocks,40,665215,7,drop,31,16,1,10,115711,5194.846128,78896.725588
max_peak_ratio,1,159487,8,drop,14,5,1,13,1559,13482.586161,107860.689285
max_peak_ratio,2,270271,6,drop,38,17,0,8,2513,11399.705248,91197.641982
max_peak_ratio,3,288615,3,drop,36,17,0,8,2513,10675.154573,85401.236582
max_peak_ratio,4,704511,14,drop,13,5,1,14,661115,1578.200277,80895.09393
max_peak_ratio,5,665215,7,drop,31,16,1,10,115711,5194.846128,78896.725588
max_peak_ratio,6,239231,7,drop,14,5,1,13,1559,8988.371988,71906.975902
max_peak_ratio,7,376831,14,drop,32,12,1,14,157493,8098.653818,64789.230546
max_peak_ratio,8,405407,5,drop,38,17,0,8,2513,7599.794125,60798.353003
max_peak_ratio,9,432923,2,drop,35,17,0,8,428885,7116.761496,56934.091966
max_peak_ratio,10,318975,9,drop,13,5,2,13,266069,6741.271946,53930.175569
max_peak_ratio,11,997823,6,drop,31,16,1,10,115711,3463.229017,52597.790702
max_peak_ratio,12,487039,7,drop,34,16,0,8,428885,6326.0021,50608.016804
max_peak_ratio,13,358847,6,drop,13,5,1,13,266069,5992.239643,47937.91714
max_peak_ratio,14,540543,7,drop,37,17,0,8,428885,5699.842079,45598.736633
max_peak_ratio,15,565247,13,drop,31,12,1,13,419981,5399.09777,43192.782157
max_peak_ratio,16,577231,4,drop,35,17,0,8,428885,5337.568039,42700.544316
max_peak_ratio,17,608111,4,drop,37,17,0,8,428885,5066.525251,40532.202009
max_peak_ratio,18,478463,8,drop,13,5,1,13,266069,4494.176601,35953.412807
max_peak_ratio,19,730559,6,drop,34,16,0,8,428885,4217.331847,33738.654778
max_peak_ratio,20,753663,15,drop,31,12,1,15,419981,4049.321536,32394.57229
max_peak_ratio,21,538271,5,drop,13,5,1,13,266069,3994.822718,31958.58174
max_peak_ratio,22,780391,3,drop,24,10,2,12,396347,649.356121,30749.569013
max_peak_ratio,23,687871,8,drop,37,20,0,8,605737,5124.923669,29188.041851
max_peak_ratio,24,847871,12,drop,31,12,1,12,419981,3599.39639,28795.171124
max_peak_ratio,25,974079,8,drop,34,16,0,8,428885,3162.997803,25303.982424
max_peak_ratio,26,717695,7,drop,12,5,1,13,709517,2996.115647,23968.925173
max_peak_ratio,27,113383,3,drop,25,13,0,8,72883,5472.847226,21891.388903
max_peak_ratio,28,807407,4,drop,12,5,1,13,709517,2663.213496,21305.707966
max_peak_ratio,29,77671,3,drop,25,8,1,17,59173,1997.440267,20224.082811
max_peak_ratio,30,138367,7,drop,10,5,1,11,54041,631.99755,20223.9216
max_peak_ratio,31,420351,9,drop,16,6,2,9,73961,2527.974262,20223.794096
max_peak_ratio,32,656415,5,drop,16,7,0,7,230993,2399.599688,19196.797502
max_peak_ratio,33,829087,5,drop,16,9,0,8,184627,374.514394,16197.290446
max_peak_ratio,34,161439,5,drop,21,10,0,8,153563,3843.72944,15374.917758
max_peak_ratio,35,161535,8,drop,20,10,0,8,91055,998.710416,15167.91452
max_peak_ratio,36,459759,4,drop,18,5,1,19,91007,473.996213,15167.878823
max_peak_ratio,37,170075,2,drop,23,12,0,8,153563,3648.554091,14594.216363
max_peak_ratio,38,116507,2,drop,25,8,1,17,59173,1331.62113,13482.664012
max_peak_ratio,39,207551,6,drop,10,5,1,11,54041,421.330685,13482.58192
max_peak_ratio,40,763675,2,drop,18,8,1,10,255091,887.738097,13482.522361
max_odd_ratio,1,159487,8,drop,14,5,1,13,1559,13482.586161,107860.689285
max_odd_ratio,2,270271,6,drop,38,17,0,8,2513,11399.705248,91197.641982
max_odd_ratio,3,288615,3,drop,36,17,0,8,2513,10675.154573,85401.236582
max_odd_ratio,4,239231,7,drop,14,5,1,13,1559,8988.371988,71906.975902
max_odd_ratio,5,376831,14,drop,32,12,1,14,157493,8098.653818,64789.230546
max_odd_ratio,6,405407,5,drop,38,17,0,8,2513,7599.794125,60798.353003
max_odd_ratio,7,432923,2,drop,35,17,0,8,428885,7116.761496,56934.091966
max_odd_ratio,8,318975,9,drop,13,5,2,13,266069,6741.271946,53930.175569
max_odd_ratio,9,487039,7,drop,34,16,0,8,428885,6326.0021,50608.016804
max_odd_ratio,10,358847,6,drop,13,5,1,13,266069,5992.239643,47937.91714
max_odd_ratio,11,540543,7,drop,37,17,0,8,428885,5699.842079,45598.736633
max_odd_ratio,12,113383,3,drop,25,13,0,8,72883,5472.847226,21891.388903
max_odd_ratio,13,565247,13,drop,31,12,1,13,419981,5399.09777,43192.782157
max_odd_ratio,14,577231,4,drop,35,17,0,8,428885,5337.568039,42700.544316
max_odd_ratio,15,665215,7,drop,31,16,1,10,115711,5194.846128,78896.725588
max_odd_ratio,16,687871,8,drop,37,20,0,8,605737,5124.923669,29188.041851
max_odd_ratio,17,608111,4,drop,37,17,0,8,428885,5066.525251,40532.202009
max_odd_ratio,18,478463,8,drop,13,5,1,13,266069,4494.176601,35953.412807
max_odd_ratio,19,730559,6,drop,34,16,0,8,428885,4217.331847,33738.654778
max_odd_ratio,20,753663,15,drop,31,12,1,15,419981,4049.321536,32394.57229
max_odd_ratio,21,538271,5,drop,13,5,1,13,266069,3994.822718,31958.58174
max_odd_ratio,22,161439,5,drop,21,10,0,8,153563,3843.72944,15374.917758
max_odd_ratio,23,170075,2,drop,23,12,0,8,153563,3648.554091,14594.216363
max_odd_ratio,24,847871,12,drop,31,12,1,12,419981,3599.39639,28795.171124
max_odd_ratio,25,997823,6,drop,31,16,1,10,115711,3463.229017,52597.790702
max_odd_ratio,26,191335,3,drop,22,11,0,8,153563,3243.148598,12972.594392
max_odd_ratio,27,974079,8,drop,34,16,0,8,428885,3162.997803,25303.982424
max_odd_ratio,28,717695,7,drop,12,5,1,13,709517,2996.115647,23968.925173
max_odd_ratio,29,626331,2,drop,41,18,2,14,597017,2882.774119,11531.096478
max_odd_ratio,30,226767,4,drop,23,12,0,8,153563,2736.411546,10945.646183
max_odd_ratio,31,807407,4,drop,12,5,1,13,709517,2663.213496,21305.707966
max_odd_ratio,32,242159,4,drop,21,10,0,8,153563,2562.481002,10249.924009
max_odd_ratio,33,704623,4,drop,40,17,2,14,597017,2562.463611,10249.854444
max_odd_ratio,34,420351,9,drop,16,6,2,9,73961,2527.974262,20223.794096
max_odd_ratio,35,656415,5,drop,16,7,0,7,230993,2399.599688,19196.797502
max_odd_ratio,36,290751,6,drop,28,8,0,8,196891,2277.757837,9111.03135
max_odd_ratio,37,280575,11,drop,12,5,1,11,246559,2247.090985,8988.363938
max_odd_ratio,38,287003,2,drop,22,11,0,8,153563,2162.095299,8648.381195
max_odd_ratio,39,77671,3,drop,25,8,1,17,59173,1997.440267,20224.082811
max_odd_ratio,40,322879,6,drop,21,10,0,8,153563,1921.858768,7687.43507
max_tail_seen,1,459759,4,drop,18,5,1,19,91007,473.996213,15167.878823
max_tail_seen,2,689639,3,drop,18,5,1,19,91007,315.997246,10111.911884
max_tail_seen,3,581883,2,drop,17,6,1,19,91007,374.515195,11984.486228
max_tail_seen,4,654619,2,drop,16,5,1,19,91007,332.902077,10652.866477
max_tail_seen,5,736447,6,drop,15,4,1,19,91007,295.912707,9469.20661
max_tail_seen,6,524287,19,drop,14,3,1,19,91007,1108.421023,4433.684093
max_tail_seen,7,699049,1,drop,1,0,1,19,524287,1.0,3.000001
max_tail_seen,8,262143,18,drop,20,5,1,18,221647,591.826534,5992.243684
max_tail_seen,9,786431,18,drop,14,3,1,18,91007,738.946879,2955.787516
max_tail_seen,10,77671,3,drop,25,8,1,17,59173,1997.440267,20224.082811
max_tail_seen,11,116507,2,drop,25,8,1,17,59173,1331.62113,13482.664012
