residue,count,avg_total_steps,avg_stopping_time,avg_max_value,first_16_odd_rate,first_32_odd_rate,prefix_odd_rates
0,1953,75.987711,1.0,500552.757808,0.152394,0.232031,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.499744 0.249360 0.374296 0.311828 0.342550 0.326677 0.333845 0.328725 0.328725 0.327189 0.323605 0.322069 0.323093 0.315924 0.311316 0.314388 0.306708 0.314388 0.300051 0.298003 0.296467 0.283154 0.292883 0.275986 0.277522 0.275474 0.266257 0.254992 0.268305 0.249872 0.264209 0.231951 0.254480 0.233487 0.229903 0.235023 0.200205 0.240655 0.211470 0.206861 0.209933 0.204813 0.201229 0.217614 0.183308 0.199181 0.198669 0.181772 0.196109 0.162826 0.197645 0.176651 0.174091 0.160778 0.169995
1,1954,136.860287,3.0,4500448.51433,0.359199,0.347476,0.999488 0.000000 0.000000 0.999488 0.000000 0.000000 0.999488 0.000000 0.000000 0.999488 0.000000 0.000000 0.999488 0.000000 0.500000 0.249744 0.374616 0.312180 0.343398 0.327533 0.336233 0.330604 0.332651 0.334186 0.335210 0.334186 0.334186 0.334186 0.340328 0.329069 0.338280 0.335210 0.330604 0.342375 0.330092 0.318321 0.338792 0.335210 0.338792 0.326510 0.341863 0.327021 0.336233 0.324463 0.319857 0.340839 0.312180 0.320368 0.333675 0.337257 0.317298 0.332139 0.329069 0.340328 0.326510 0.334186 0.319345 0.330604 0.315251 0.318833 0.307062 0.316274 0.316786 0.323951
126,1953,149.414235,1.0,11307402.156682,0.406234,0.368168,0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.499744 0.250384 0.374808 0.312852 0.343574 0.327701 0.336406 0.332309 0.331285 0.336406 0.328725 0.336918 0.330773 0.333845 0.335381 0.324117 0.346134 0.336406 0.342038 0.323605 0.324117 0.334357 0.336918 0.317972 0.325653 0.339478 0.329237 0.333845 0.326677 0.329749 0.335381 0.317460 0.353815 0.317460 0.333845 0.335381 0.324117 0.327189 0.321045 0.335381 0.323093 0.322581 0.330773 0.325141 0.314900 0.329749 0.326165 0.316948 0.314900
127,1953,174.738351,46.279058,119949915.797235,0.5,0.409802,1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 0.499744 0.249872 0.374808 0.312852 0.343574 0.327701 0.335893 0.332821 0.332821 0.335893 0.331285 0.337942 0.329237 0.339990 0.329237 0.347670 0.327189 0.336406 0.325141 0.336406 0.332821 0.339990 0.323605 0.344086 0.332309 0.327189 0.331797 0.330773 0.309268 0.350230 0.340502 0.324117 0.346134 0.303123 0.327701 0.330773 0.337942 0.327189 0.327189 0.325653 0.323093 0.327189 0.345110 0.335381 0.327701 0.330773 0.326165
155,1953,161.209421,34.250896,27208785.640553,0.4375,0.388921,1.000000 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 0.499744 0.249872 0.375320 0.312340 0.344086 0.328213 0.336406 0.332309 0.333333 0.335893 0.331285 0.334357 0.334357 0.330261 0.342550 0.325141 0.325653 0.311316 0.330261 0.334869 0.328213 0.323093 0.325653 0.329237 0.326677 0.337430 0.312340 0.353815 0.329237 0.342550 0.333845 0.328213 0.338966 0.323093 0.328213 0.318484 0.328725 0.329749 0.329749 0.327189 0.316436 0.355351 0.309780 0.329237 0.317972 0.322069 0.337942 0.315412
167,1953,161.906298,34.831541,26250446.635945,0.4375,0.389065,1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.500256 0.249872 0.375320 0.312340 0.344086 0.328213 0.336918 0.332309 0.334357 0.334357 0.332309 0.334869 0.332821 0.328213 0.344598 0.329237 0.362519 0.316436 0.330261 0.340502 0.341526 0.330261 0.317972 0.337430 0.341014 0.336918 0.321045 0.326677 0.328213 0.351767 0.318996 0.346134 0.306708 0.354839 0.330261 0.339478 0.337942 0.331797 0.322581 0.330261 0.330261 0.322581 0.314900 0.336406 0.329237 0.316948 0.328213 0.329749
254,1953,161.331797,1.0,49887734.967742,0.4375,0.388889,0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 0.500256 0.249872 0.374808 0.312340 0.343574 0.328213 0.334869 0.331285 0.333845 0.333333 0.332309 0.333845 0.336918 0.336918 0.336918 0.325141 0.338454 0.337942 0.315924 0.344598 0.334357 0.334357 0.333845 0.332309 0.319508 0.337942 0.326677 0.333333 0.339990 0.329237 0.311828 0.348694 0.335381 0.345622 0.339990 0.299027 0.334357 0.322069 0.336918 0.314388 0.328213 0.323093 0.317460 0.324117 0.347670 0.326677 0.325653 0.327701
255,1953,173.979007,46.601126,119265575.557604,0.5,0.409786,1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 0.499744 0.249872 0.374808 0.312340 0.344086 0.328213 0.335381 0.331285 0.334357 0.329749 0.336918 0.330261 0.342038 0.330261 0.333845 0.336406 0.335381 0.331797 0.332309 0.329237 0.337942 0.333333 0.339478 0.335893 0.329237 0.342038 0.330261 0.332821 0.329237 0.320533 0.341014 0.329237 0.348182 0.344086 0.316436 0.323605 0.331285 0.335381 0.331797 0.318484 0.332821 0.317972 0.325653 0.339478 0.336406 0.343574 0.306708
283,1953,176.605223,46.612903,98487984.792627,0.5,0.40969,1.000000 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.499744 0.249872 0.375320 0.312340 0.344086 0.327701 0.336918 0.329749 0.336918 0.331285 0.334357 0.332821 0.330261 0.335381 0.333333 0.341014 0.330773 0.329237 0.327189 0.350230 0.316948 0.343062 0.332821 0.347158 0.317460 0.349206 0.322581 0.334869 0.329237 0.350230 0.327189 0.354839 0.319508 0.321045 0.335893 0.343574 0.330773 0.335381 0.329749 0.326165 0.336918 0.332309 0.345622 0.330773 0.344598 0.318484 0.329749
447,1953,174.834613,46.881208,133235359.096774,0.5,0.409626,1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.500256 0.249872 0.374808 0.312340 0.344086 0.328213 0.334869 0.332309 0.333845 0.334357 0.332309 0.336406 0.331797 0.330261 0.332309 0.328725 0.348182 0.335381 0.335381 0.331797 0.315412 0.327701 0.352279 0.326677 0.323093 0.331285 0.337942 0.321045 0.345622 0.325141 0.347158 0.342550 0.320533 0.344598 0.329749 0.320533 0.337430 0.327701 0.332821 0.333333 0.349206 0.314900 0.359447 0.326165 0.358935 0.325653 0.326677
510,1953,175.530466,1.0,114881278.488479,0.5,0.40985,0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 1.000000 0.000000 0.499744 0.249872 0.374808 0.312340 0.343574 0.328213 0.335893 0.332309 0.332309 0.332309 0.332309 0.335893 0.327701 0.345110 0.332821 0.329749 0.335893 0.346134 0.332821 0.331285 0.327189 0.342038 0.327701 0.338966 0.328725 0.335381 0.350230 0.329237 0.336406 0.338454 0.337942 0.345622 0.336918 0.334869 0.341526 0.332309 0.339478 0.323605 0.336406 0.332821 0.326165 0.323093 0.329237 0.337430 0.327189 0.338454 0.343574
