bucket,real_count,model_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model
depth_01,499999,499999,0.499999,0.500073,-7.4e-05,0.001000001,-0.002034,0.001886,-0.074,0.28626857,0.28622257,4.6e-05,0.0009040121,-0.00172586,0.00181786,0.050884,1.999988,2.000378,-0.00039
depth_02,143134,143111,0.50003493,0.49912306,0.00091187,0.0018690921,-0.00275155,0.00457529,0.48787,0.28633309,0.28649789,-0.00016481,0.0016899817,-0.00347717,0.00314756,-0.09752,1.99995808,2.00012578,-0.0001677
depth_03,69975,70027,0.49990711,0.49910749,0.00079962,0.0026725914,-0.00443866,0.0060379,0.299194,0.28665952,0.28563268,0.00102684,0.0024158018,-0.00370813,0.00576181,0.42505,2.00101465,2.00586916,-0.00485452
depth_04,44071,44157,0.49905834,0.50216274,-0.0031044,0.0033666237,-0.00970298,0.00349418,-0.922111,0.28642418,0.28464343,0.00178075,0.0030412082,-0.00418002,0.00774152,0.58554,2.00099839,1.99098671,0.01001168
depth_05,30163,30196,0.50369658,0.4996026,0.00409399,0.0040702683,-0.00388374,0.01207171,1.005827,0.28508437,0.2851371,-5.273e-05,0.0036752358,-0.00725619,0.00715073,-0.014347,1.99612108,1.99344284,0.00267824
depth_06,21216,21131,0.50174397,0.50172732,1.665e-05,0.0048594479,-0.00950787,0.00954116,0.003426,0.28615196,0.28219204,0.00395992,0.0043833739,-0.00463149,0.01255133,0.903396,1.99797323,1.99176565,0.00620758
depth_07,15163,15195,0.50550683,0.49884831,0.00665852,0.0057391808,-0.00459027,0.01790731,1.160187,0.28134274,0.28680487,-0.00546213,0.0051764746,-0.01560802,0.00468376,-1.055183,1.9796874,2.00190852,-0.02222113
depth_08,10992,11104,0.51164483,0.49360591,0.01803892,0.0067262326,0.00485551,0.03122234,2.681876,0.27001456,0.29511888,-0.02510432,0.0060552421,-0.03697259,-0.01323605,-4.145882,1.98353348,2.02242435,-0.03889087
depth_09,8211,8312,0.49786871,0.50625602,-0.0083873,0.0077793764,-0.02363488,0.00686027,-1.078146,0.28218244,0.28176131,0.00042113,0.0070011251,-0.01330108,0.01414333,0.060152,2.00645476,1.98063041,0.02582434
depth_10,6233,6367,0.48901011,0.51060154,-0.02159143,0.0089071335,-0.03904941,-0.00413345,-2.424061,0.27643189,0.28286477,-0.00643288,0.0079968745,-0.02210675,0.009241,-0.804424,1.98299374,1.98743521,-0.00444147
depth_11,4734,4888,0.51140684,0.48895254,0.02245431,0.010193266,0.00247551,0.04243311,2.202857,0.26446979,0.2913257,-0.0268559,0.0091284321,-0.04474763,-0.00896418,-2.942006,1.96599071,2.02884615,-0.06285545
depth_12,3607,3798,0.49431661,0.51369142,-0.01937481,0.0116221978,-0.04215432,0.0034047,-1.667052,0.28777377,0.27988415,0.00788962,0.0104828429,-0.01265675,0.028436,0.752623,2.01247574,1.96419168,0.04828406
depth_13,2773,2921,0.51352326,0.49674769,0.01677557,0.013254155,-0.00920257,0.04275371,1.265684,0.28597187,0.28380692,0.00216496,0.0119675271,-0.0212914,0.02562131,0.180903,1.95059502,1.99418008,-0.04358505
depth_14,2198,2284,0.47770701,0.48380035,-0.00609334,0.0149283573,-0.03535292,0.02316624,-0.408172,0.28798908,0.29509632,-0.00710724,0.0135780934,-0.0337203,0.01950582,-0.523434,2.09235669,2.01751313,0.07484355
depth_15,1737,1829,0.52504318,0.47895025,0.04609293,0.0167334905,0.01329529,0.07889057,2.754532,0.2527346,0.29907053,-0.04633593,0.0149445871,-0.07562732,-0.01704454,-3.100516,1.95048935,1.98906506,-0.03857571
depth_16,1358,1444,0.50662739,0.48753463,0.01909277,0.0188966796,-0.01794472,0.05613026,1.010377,0.26804124,0.30747922,-0.03943799,0.0170861353,-0.07292681,-0.00594916,-2.308187,1.97054492,2.01939058,-0.04884566
depth_17,1069,1151,0.49204864,0.48740226,0.00464638,0.0212336721,-0.03697161,0.04626438,0.218822,0.28811974,0.29018245,-0.00206271,0.019256748,-0.03980594,0.03568051,-0.107116,2.1272217,2.0,0.1272217
depth_18,855,931,0.53450292,0.49731472,0.03718821,0.0236543027,-0.00917422,0.08355064,1.572154,0.27134503,0.3179377,-0.04659267,0.0215446744,-0.08882023,-0.00436511,-2.162607,1.87251462,2.13104189,-0.25852727
depth_19,685,756,0.50072993,0.49074074,0.00998919,0.0263730384,-0.04170197,0.06168034,0.378765,0.30072993,0.28174603,0.0189839,0.0239723516,-0.02800191,0.0659697,0.791908,2.00875912,2.01587302,-0.00711389
depth_20,572,617,0.54895105,0.50567261,0.04327844,0.0289483678,-0.01346036,0.10001724,1.495022,0.25874126,0.26580227,-0.00706101,0.0255263663,-0.05709269,0.04297067,-0.276616,1.98251748,1.9076175,0.07489998
depth_21_plus,2330,2843,0.52145923,0.50123109,0.02022813,0.0139654304,-0.00714411,0.04760038,1.448443,0.26609442,0.28807598,-0.02198156,0.0124880993,-0.04645823,0.00249512,-1.7602,2.00257511,2.0239184,-0.02134329
