source,bucket,count,tail_one_fraction,tail_one_diff_vs_geometric,expansive_fraction,avg_tail,avg_exit_v2,avg_local_log,avg_before_log,avg_after_log
model,margin_0_0p25,608432,0.49956445,-0.00043555,0.286456,2.00130664,1.99840081,-0.573725873137,0.025456212847,-0.54826966029
real,margin_0_0p25,608424,0.49996384,-3.616e-05,0.2861968,2.00021367,2.00042733,-0.575567550376,0.025463086239,-0.550104464137
model,margin_0p25_0p5,29932,0.49846318,-0.00153682,0.28828678,1.99883068,1.99201523,-0.570303644524,0.38494720254,-0.185356441984
real,margin_0p25_0p5,29710,0.50070683,0.00070683,0.28539212,1.99363851,2.0087176,-0.583982215571,0.384895420228,-0.199086795344
model,margin_0p5_1,103243,0.50340459,0.00340459,0.28430015,1.99352983,2.00811677,-0.583613692374,0.699970997246,0.116357304871
real,margin_0p5_1,103095,0.50039284,0.00039284,0.28605655,2.00130947,2.00299724,-0.576907591598,0.69902896608,0.122121374482
model,margin_1_2,83612,0.49769172,-0.00230828,0.28538966,2.00240396,1.99819404,-0.573137625851,1.429956074508,0.856818448657
real,margin_1_2,83441,0.50130032,0.00130032,0.28501576,1.99795065,2.00225309,-0.577754458259,1.430466353946,0.852711895687
model,margin_2_4,40990,0.50341547,0.00341547,0.28487436,1.98616736,2.00278117,-0.582900556099,2.701816888161,2.118916332062
real,margin_2_4,40209,0.50588177,0.00588177,0.27725136,1.98085006,2.01673755,-0.594729397175,2.682993074806,2.088263677631
model,margin_4_plus,6852,0.48394629,-0.01605371,0.29655575,2.04962055,1.98992995,-0.548264715217,5.058509913863,4.510245198647
real,margin_4_plus,6196,0.50322789,0.00322789,0.2821175,2.01920594,2.03905746,-0.594649344217,4.946896847987,4.35224750377
