source,bucket,count,tail_one_fraction,tail_one_diff_vs_geometric,expansive_fraction,avg_tail,avg_exit_v2,avg_local_log,avg_before_log,avg_after_log
model,prev_exit_v2_01,284247,0.49927704,-0.00072296,0.28610328,1.99984521,2.00211436,-0.57689247034,0.962006829413,0.385114359074
real,prev_exit_v2_01,282928,0.50082,0.00082,0.28485692,1.99834233,2.0018768,-0.577333879553,0.94806876399,0.370734884437
model,prev_exit_v2_02,65978,0.50053048,0.00053048,0.28644397,1.99942405,2.00037891,-0.575860315652,1.031564882452,0.4557045668
real,prev_exit_v2_02,65481,0.50147371,0.00147371,0.28374643,1.99686932,2.01950184,-0.590148510866,1.012025270669,0.421876759802
model,prev_exit_v2_03,17087,0.49798092,-0.00201908,0.28524609,2.00713993,1.9897583,-0.565370143628,0.998148355329,0.4327782117
real,prev_exit_v2_03,16853,0.49884294,-0.00115706,0.29181748,2.00753575,2.01875037,-0.585301414678,0.99275203137,0.407450616692
model,prev_exit_v2_04,4325,0.5116763,0.0116763,0.28485549,1.96069364,1.98265896,-0.57928160845,0.958392812763,0.379111204314
real,prev_exit_v2_04,4356,0.51492195,0.01492195,0.2768595,1.9905877,1.95339761,-0.54687595567,0.94764261728,0.400766661609
model,prev_exit_v2_05,1088,0.49540441,-0.00459559,0.28676471,2.01470588,2.00091912,-0.570038506531,1.080985362697,0.510946856166
real,prev_exit_v2_05,1122,0.5516934,0.0516934,0.23083779,1.84491979,1.98039216,-0.624651224814,1.055511908952,0.430860684138
model,prev_exit_v2_06,253,0.48616601,-0.01383399,0.27272727,1.95256917,1.8972332,-0.523363174954,1.069721558819,0.546358383865
real,prev_exit_v2_06,264,0.4469697,-0.0530303,0.20833333,2.07954545,2.15530303,-0.650757852719,1.105847355997,0.455089503278
model,prev_exit_v2_07,57,0.61403509,0.11403509,0.21052632,1.89473684,2.05263158,-0.654526113155,1.137089118053,0.482563004898
real,prev_exit_v2_07,47,0.36170213,-0.13829787,0.36170213,2.04255319,1.72340426,-0.366387338506,0.650841366637,0.284454028131
model,prev_exit_v2_08,19,0.42105263,-0.07894737,0.26315789,2.21052632,2.47368421,-0.818335944514,1.010840268545,0.192504324031
real,prev_exit_v2_08,18,0.33333333,-0.16666667,0.38888889,1.94444444,2.5,-0.944462635019,0.693673952225,-0.250788682794
model,prev_exit_v2_09,8,0.375,-0.125,0.375,2.625,1.875,-0.235305054766,1.033339507353,0.798034452587
real,prev_exit_v2_09,7,0.0,-0.5,1.0,2.0,1.0,0.11778404097,0.465779698051,0.583563739021
