source,bucket,count,tail_one_fraction,tail_one_diff_vs_geometric,expansive_fraction,avg_tail,avg_exit_v2,avg_local_log,avg_before_log,avg_after_log
model,prev_exit_v2_01__final_block,111393,0.68182022,0.18182022,0.0,1.47970698,2.89833293,-1.409001746323,0.453204632729,-0.955797113594
real,prev_exit_v2_01__final_block,111166,0.68361729,0.18361729,0.0,1.47677347,2.89333969,-1.406726721239,0.451509404708,-0.955217316531
model,prev_exit_v2_01__interior_block,172854,0.38164,-0.11836,0.47047798,2.33503998,1.42456061,-0.040652935359,1.289896280021,1.249243344663
real,prev_exit_v2_01__interior_block,171762,0.38251185,-0.11748815,0.46921904,2.33590666,1.42491354,-0.040542944196,1.269446704012,1.228903759816
model,prev_exit_v2_02__final_block,23464,0.68061712,0.18061712,0.0,1.48487044,3.03187862,-1.499474965626,0.518692456585,-0.98078250904
real,prev_exit_v2_02__final_block,23671,0.68286088,0.18286088,0.0,1.47589878,3.04630138,-1.513107476674,0.522808370112,-0.990299106562
model,prev_exit_v2_02__interior_block,42514,0.40113845,-0.09886155,0.44453592,2.28341252,1.43108153,-0.066106019491,1.314625488383,1.248519468892
real,prev_exit_v2_02__interior_block,41810,0.3987802,-0.1012198,0.44439129,2.29182014,1.43817269,-0.067609365216,1.288998560625,1.221389195409
model,prev_exit_v2_03__final_block,6116,0.6677567,0.1677567,0.0,1.50425114,3.00621321,-1.473826858597,0.488157791562,-0.985669067035
real,prev_exit_v2_03__final_block,6161,0.67213115,0.17213115,0.0,1.50884597,3.08716118,-1.528067342541,0.503342671546,-1.024724670994
model,prev_exit_v2_03__interior_block,10971,0.40333607,-0.09666393,0.44426215,2.28748519,1.42311549,-0.058933057789,1.282452638256,1.223519580468
real,prev_exit_v2_03__interior_block,10692,0.3989899,-0.1010101,0.45997007,2.29489338,1.40310513,-0.042055915093,1.274762045014,1.23270612992
model,prev_exit_v2_04__final_block,1628,0.69963145,0.19963145,0.0,1.46867322,2.93366093,-1.437963059501,0.461614822597,-0.976348236904
real,prev_exit_v2_04__final_block,1635,0.68623853,0.18623853,0.0,1.47400612,2.83058104,-1.364349159163,0.42502094346,-0.939328215703
model,prev_exit_v2_04__interior_block,2697,0.39822024,-0.10177976,0.45680386,2.25769373,1.40860215,-0.060952575334,1.258264732671,1.197312157337
real,prev_exit_v2_04__interior_block,2721,0.41198089,-0.08801911,0.4432194,2.30099228,1.42631386,-0.055670998776,1.261676588869,1.206005590093
model,prev_exit_v2_05__final_block,387,0.67958656,0.17958656,0.0,1.47286822,2.98449612,-1.471498402907,0.457782103426,-1.013716299481
real,prev_exit_v2_05__final_block,375,0.66666667,0.16666667,0.0,1.46133333,2.98933333,-1.479526623182,0.474358377153,-1.005168246029
model,prev_exit_v2_05__interior_block,701,0.39372325,-0.10627675,0.44507846,2.31383738,1.45791726,-0.072370917519,1.425036234792,1.352665317273
real,prev_exit_v2_05__interior_block,747,0.4939759,-0.0060241,0.34672021,2.03748327,1.47389558,-0.195496908364,1.347255649815,1.151758741451
model,prev_exit_v2_06__final_block,94,0.69148936,0.19148936,0.0,1.44680851,2.64893617,-1.249472268688,0.478252211217,-0.771220057471
real,prev_exit_v2_06__final_block,103,0.50485437,0.00485437,0.0,1.85436893,2.99029126,-1.320828721187,0.473901893067,-0.84692682812
model,prev_exit_v2_06__interior_block,159,0.36477987,-0.13522013,0.43396226,2.25157233,1.45283019,-0.094091132117,1.419395261175,1.325304129058
real,prev_exit_v2_06__interior_block,161,0.40993789,-0.09006211,0.34161491,2.22360248,1.62111801,-0.222078974134,1.510135447188,1.288056473054
model,prev_exit_v2_07__final_block,21,0.76190476,0.26190476,0.0,1.28571429,3.0952381,-1.624143277023,0.612244956091,-1.011898320931
real,prev_exit_v2_07__final_block,14,0.71428571,0.21428571,0.0,1.28571429,2.5,-1.211553105645,0.212049747888,-0.999503357757
model,prev_exit_v2_07__interior_block,36,0.52777778,0.02777778,0.33333333,2.25,1.44444444,-0.088916100899,1.44324821253,1.354332111631
real,prev_exit_v2_07__interior_block,33,0.21212121,-0.28787879,0.51515152,2.36363636,1.39393939,-0.007832164569,0.836995386712,0.829163222144
model,prev_exit_v2_08__final_block,6,0.33333333,-0.16666667,0.0,2.0,4.66666667,-2.423756626397,0.594476255595,-1.829280370802
real,prev_exit_v2_08__final_block,9,0.66666667,0.16666667,0.0,1.66666667,3.66666667,-1.865763344609,0.718979051878,-1.146784292731
model,prev_exit_v2_08__interior_block,13,0.46153846,-0.03846154,0.38461538,2.30769231,1.46153846,-0.077372552876,1.203008274522,1.125635721645
real,prev_exit_v2_08__interior_block,9,0.0,-0.5,0.77777778,2.22222222,1.33333333,-0.02316192543,0.668368852572,0.645206927143
model,prev_exit_v2_09__final_block,2,0.0,-0.5,0.0,3.0,4.0,-1.556193397915,0.55712572721,-0.999067670705
model,prev_exit_v2_09__interior_block,6,0.5,0.0,0.5,2.5,1.16666667,0.204991059617,1.192077434067,1.397068493684
real,prev_exit_v2_09__interior_block,7,0.0,-0.5,1.0,2.0,1.0,0.11778404097,0.465779698051,0.583563739021
