bucket,real_count,model_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model
prev_exit_v2_01__final_block,111166,111393,0.68361729,0.68182022,0.00179707,0.0019731023,-0.00207021,0.00566435,0.910784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47677347,1.47970698,-0.00293351
prev_exit_v2_01__interior_block,171762,172854,0.38251185,0.38164,0.00087185,0.0016554153,-0.00237276,0.00411647,0.526666,0.46921904,0.47047798,-0.00125894,0.001700368,-0.00459166,0.00207378,-0.740393,2.33590666,2.33503998,0.00086669
prev_exit_v2_02__final_block,23671,23464,0.68286088,0.68061712,0.00224377,0.0042910516,-0.00616669,0.01065423,0.522895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47589878,1.48487044,-0.00897166
prev_exit_v2_02__interior_block,41810,42514,0.3987802,0.40113845,-0.00235825,0.0033741528,-0.00897159,0.00425509,-0.698917,0.44439129,0.44453592,-0.00014462,0.0034225029,-0.00685273,0.00656348,-0.042257,2.29182014,2.28341252,0.00840762
prev_exit_v2_03__final_block,6161,6116,0.67213115,0.6677567,0.00437444,0.0084878531,-0.01226175,0.02101064,0.515377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50884597,1.50425114,0.00459482
prev_exit_v2_03__interior_block,10692,10971,0.3989899,0.40333607,-0.00434617,0.0066605822,-0.01740091,0.00870857,-0.652521,0.45997007,0.44426215,0.01570793,0.0067628598,0.00245272,0.02896313,2.322675,2.29489338,2.28748519,0.00740819
prev_exit_v2_04__final_block,1635,1628,0.68623853,0.69963145,-0.01339292,0.0161485095,-0.045044,0.01825816,-0.829359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47400612,1.46867322,0.0053329
prev_exit_v2_04__interior_block,2721,2697,0.41198089,0.39822024,0.01376064,0.0133373666,-0.01238059,0.03990188,1.031736,0.4432194,0.45680386,-0.01358445,0.0135165401,-0.04007687,0.01290797,-1.005024,2.30099228,2.25769373,0.04329855
prev_exit_v2_05__final_block,375,387,0.66666667,0.67958656,-0.0129199,0.0339889783,-0.07953829,0.0536985,-0.38012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46133333,1.47286822,-0.01153488
prev_exit_v2_05__interior_block,747,701,0.4939759,0.39372325,0.10025265,0.0259835426,0.04932491,0.15118039,3.858313,0.34672021,0.44507846,-0.09835825,0.025603718,-0.14854153,-0.04817496,-3.841561,2.03748327,2.31383738,-0.27635411
prev_exit_v2_06__final_block,103,94,0.50485437,0.69148936,-0.18663499,0.0685306003,-0.32095497,-0.05231502,-2.723382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85436893,1.44680851,0.40756042
prev_exit_v2_06__interior_block,161,159,0.40993789,0.36477987,0.04515801,0.0544035413,-0.06147293,0.15178895,0.830057,0.34161491,0.43396226,-0.09234736,0.0542391174,-0.19865603,0.01396131,-1.702597,2.22360248,2.25157233,-0.02796984
prev_exit_v2_07__final_block,14,21,0.71428571,0.76190476,-0.04761905,0.1523667794,-0.34625794,0.25101984,-0.312529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28571429,1.28571429,0.0
prev_exit_v2_07__interior_block,33,36,0.21212121,0.52777778,-0.31565657,0.1094871192,-0.53025132,-0.10106181,-2.883048,0.51515152,0.33333333,0.18181818,0.1172247434,-0.04794232,0.41157868,1.551022,2.36363636,2.25,0.11363636
prev_exit_v2_08__final_block,9,6,0.66666667,0.33333333,0.33333333,0.2484519975,-0.15363258,0.82029925,1.341641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66666667,2.0,-0.33333333
prev_exit_v2_08__interior_block,9,13,0.0,0.46153846,-0.46153846,0.1382641591,-0.73253621,-0.19054071,-3.338092,0.77777778,0.38461538,0.39316239,0.1934193243,0.01406052,0.77226427,2.032694,2.22222222,2.30769231,-0.08547009
prev_exit_v2_09__interior_block,7,6,0.0,0.5,-0.5,0.2041241452,-0.90008332,-0.09991668,-2.44949,1.0,0.5,0.5,0.2041241452,0.09991668,0.90008332,2.44949,2.0,2.5,-0.5
