source,bucket,count,tail_one_fraction,tail_one_diff_vs_geometric,expansive_fraction,avg_tail,avg_exit_v2,avg_local_log,avg_before_log,avg_after_log
model,depth_01,2499999,0.5004354,0.0004354,0.28621611,1.999274,1.9998692,-0.575567849013,0.0,-0.575567849013
real,depth_01,2499999,0.4999998,-2e-07,0.28627331,1.9999972,1.9999984,-0.575362714461,0.0,-0.575362714461
model,depth_02,715540,0.49946614,-0.00053386,0.28618107,1.99843475,2.00299634,-0.578075703273,0.53944280011,-0.038632903167
real,depth_02,715683,0.50000908,9.08e-06,0.28629016,1.99996227,1.99996786,-0.575356274026,0.539173678268,-0.036182595758
model,depth_03,349435,0.49980969,-0.00019031,0.28610185,1.99928456,1.99785368,-0.574166514134,0.897073216268,0.322906702135
real,depth_03,349877,0.49996142,-3.858e-05,0.28615771,2.0002115,2.00062593,-0.575711612496,0.898860110491,0.323148497995
model,depth_04,219660,0.50065101,0.00065101,0.28578713,1.99788309,2.00122917,-0.577074474567,1.08224723725,0.505172762683
real,depth_04,220249,0.49977525,-0.00022475,0.28671186,1.99951419,2.00038139,-0.575824846433,1.082858806624,0.507033960191
model,depth_05,149881,0.49896251,-0.00103749,0.28754145,1.99925941,2.0006672,-0.576126892316,1.216068300029,0.639941407712
real,depth_05,150596,0.49976759,-0.00023241,0.28612314,1.99870514,2.00100932,-0.576588141529,1.215329148582,0.638741007053
model,depth_06,105146,0.50450802,0.00450802,0.2843665,1.98995682,1.9990109,-0.578750710701,1.346330530923,0.767579820221
real,depth_06,105819,0.50043943,0.00043943,0.28839811,1.99322428,1.99518045,-0.574770225014,1.341227943887,0.766457718873
model,depth_07,75797,0.50020449,0.00020449,0.28615908,2.0009631,1.98974893,-0.567868144901,1.454005766998,0.886137622097
real,depth_07,76223,0.50162025,0.00162025,0.28469097,2.00498537,2.01343427,-0.582654047801,1.455785119973,0.873131072172
model,depth_08,55369,0.4986003,-0.0013997,0.28864527,2.00971663,1.99562932,-0.568394868849,1.572416447354,1.004021578505
real,depth_08,55491,0.50624426,0.00624426,0.27941468,1.9895839,2.01234434,-0.588143377097,1.566784905246,0.97864152815
model,depth_09,41571,0.50032475,0.00032475,0.28469366,1.99668038,2.00363234,-0.579227881864,1.662061543598,1.082833661734
real,depth_09,41431,0.49931211,-0.00068789,0.28609013,2.00627549,2.01004079,-0.579778783211,1.640176633156,1.060397849945
model,depth_10,31746,0.5031185,0.0031185,0.28327978,1.99077049,2.02104202,-0.59369160642,1.729057685294,1.135366078875
real,depth_10,31582,0.50129821,0.00129821,0.27898803,1.9810335,2.0117472,-0.591196404405,1.710315782412,1.119119378007
model,depth_11,24410,0.49151987,-0.00848013,0.29192954,2.02945514,1.99766489,-0.561802538922,1.78485487477,1.223052335849
real,depth_11,24215,0.50055751,0.00055751,0.28308899,1.9936816,2.00739211,-0.583049425565,1.763323523491,1.180274097926
model,depth_12,18927,0.50562688,0.00562688,0.28472552,2.00184921,2.01204628,-0.58296420188,1.860934375751,1.277970173871
real,depth_12,18674,0.50016065,0.00016065,0.29163543,1.9996787,2.00058905,-0.575902281532,1.821005810586,1.245103529053
model,depth_13,14694,0.49013203,-0.00986797,0.2905948,2.01082074,1.99564448,-0.567957695213,1.933144414049,1.365186718836
real,depth_13,14473,0.50597665,0.00597665,0.28459891,1.97940994,1.99239964,-0.578444009292,1.892203827498,1.313759818206
model,depth_14,11657,0.49832719,-0.00167281,0.28849618,2.01098053,1.98876212,-0.563122417659,1.977801038258,1.414678620599
real,depth_14,11361,0.50462107,0.00462107,0.28025702,1.9909339,1.99348649,-0.574523975096,1.943276014048,1.368752038952
model,depth_15,9259,0.49789394,-0.00210606,0.28836807,1.98693163,2.00324009,-0.582908771051,2.032324056266,1.449415285215
real,depth_15,9011,0.50893353,0.00893353,0.2751082,1.98357563,2.03151703,-0.603868729573,1.983885430984,1.38001670141
model,depth_16,7386,0.49715678,-0.00284322,0.28310317,2.00500948,2.00649878,-0.577837588671,2.071168889404,1.493331300733
real,depth_16,7112,0.50618673,0.00618673,0.27910574,1.98284589,2.02193476,-0.597523262984,2.011773068388,1.414249805404
model,depth_17,5863,0.49530957,-0.00469043,0.28910114,2.00869862,2.01296265,-0.580822180928,2.125948973281,1.545126792353
real,depth_17,5644,0.50248051,0.00248051,0.28614458,2.02037562,1.99805103,-0.565751382119,2.029956693527,1.464205311408
model,depth_18,4692,0.49573743,-0.00426257,0.29369139,2.02109974,1.98316283,-0.55513829815,2.187669552385,1.632531254235
real,depth_18,4467,0.50235057,0.00235057,0.29370942,1.96709201,1.97358406,-0.570396795642,2.093741898171,1.52334510253
model,depth_19,3826,0.50209096,0.00209096,0.27861997,1.96941976,2.03633037,-0.612945659735,2.217438125495,1.604492465759
real,depth_19,3597,0.51209341,0.01209341,0.29580206,1.95968863,1.92743953,-0.541413715442,2.118687237852,1.57727352241
model,depth_20,3107,0.50209205,0.00209205,0.28644995,1.98068877,1.99774702,-0.5816325312,2.224095899236,1.642463368036
real,depth_20,2939,0.49914937,-0.00085063,0.29363729,2.00544403,1.95576727,-0.542496793213,2.16060302458,1.618106231368
model,depth_21_plus,14223,0.4963791,-0.0036209,0.2907966,2.01581945,2.01448358,-0.578989165635,2.364891070157,1.785901904522
real,depth_21_plus,12840,0.51596573,0.01596573,0.28130841,1.95443925,1.99517134,-0.590490319648,2.365551514707,1.775061195059
