source,bucket,count,tail_one_fraction,tail_one_diff_vs_geometric,expansive_fraction,avg_tail,avg_exit_v2,avg_local_log,avg_before_log,avg_after_log
model,duration_01,1784459,0.70110213,0.20110213,0.0,1.47958233,2.34090052,-1.022669586772,0.0,-1.022669586772
real,duration_01,1784316,0.700548,0.200548,0.0,1.48116309,2.34143728,-1.022399421612,0.0,-1.022399421612
model,duration_02,732210,0.34309693,-0.15690307,0.5,2.10440994,1.9031043,-0.465866577701,0.161931148758,-0.303935428945
real,duration_02,731612,0.34360563,-0.15639437,0.5,2.10173835,1.90066046,-0.465254462144,0.161618460114,-0.30363600203
model,duration_03,389325,0.35262056,-0.14737944,0.50243627,2.32908752,1.82523085,-0.320789891925,0.368347448008,0.047557556083
real,duration_03,388884,0.35404388,-0.14595612,0.5013243,2.33045587,1.8285787,-0.322554649374,0.370451335826,0.047896686452
model,duration_04,279116,0.35629272,-0.14370728,0.47733201,2.45046862,1.80196406,-0.255446781359,0.550306783028,0.29486000167
real,duration_04,278612,0.35639886,-0.14360114,0.47758173,2.44765839,1.80125048,-0.256090856681,0.546993772267,0.290902915586
model,duration_05,223675,0.375831,-0.124169,0.47030289,2.43256511,1.71737566,-0.204073820834,0.670497436783,0.466423615948
real,duration_05,223885,0.37559015,-0.12440985,0.47084887,2.43229783,1.71752016,-0.20428147976,0.672653035775,0.468371556015
model,duration_06,176094,0.37125626,-0.12874374,0.4718673,2.48790987,1.69703113,-0.167531700933,0.821819990473,0.65428828954
real,duration_06,177576,0.37078772,-0.12921228,0.47063229,2.48905257,1.69858539,-0.168145018732,0.820761583802,0.65261656507
model,duration_07,142996,0.37841618,-0.12158382,0.46955859,2.47251671,1.64706705,-0.139140625832,0.925934630984,0.786794005152
real,duration_07,145124,0.37700863,-0.12299137,0.4715278,2.47914198,1.65290372,-0.140499100513,0.93358119701,0.793082096496
model,duration_08,110384,0.37817981,-0.12182019,0.47161726,2.49660277,1.63688578,-0.122317452246,1.054806670419,0.932489218173
real,duration_08,112480,0.3777027,-0.1222973,0.47316856,2.49691501,1.63565967,-0.121340336502,1.052082193072,0.930741856569
model,duration_09,88425,0.37569692,-0.12430308,0.47176703,2.52910376,1.64056545,-0.111689987282,1.171288928053,1.059598940771
real,duration_09,88641,0.37533421,-0.12466579,0.46907187,2.52801751,1.64288535,-0.113737996176,1.181049835282,1.067311839106
model,duration_10,73360,0.37401854,-0.12598146,0.47002454,2.54293893,1.63550981,-0.102576008086,1.291077411983,1.188501403897
real,duration_10,73670,0.3744265,-0.1255735,0.46877969,2.54331478,1.63177684,-0.099835087894,1.295523038568,1.195687950675
model,duration_11_20,297361,0.37817333,-0.12182667,0.46926127,2.5545549,1.59924805,-0.072731399065,1.653491160616,1.580759761552
real,duration_11_20,295963,0.37885479,-0.12114521,0.46993374,2.55729601,1.59993648,-0.072095676865,1.64787169267,1.575776015805
model,duration_21_40,62030,0.37659197,-0.12340803,0.47041754,2.58966629,1.57215863,-0.039718001358,2.557244499902,2.517526498544
real,duration_21_40,58689,0.3820307,-0.1179693,0.46541941,2.56383649,1.55477176,-0.03813925455,2.519942537612,2.481803283062
model,duration_41_plus,2753,0.38067563,-0.11932437,0.46458409,2.62622594,1.56774428,-0.021834544016,3.886130736884,3.864296192868
real,duration_41_plus,1831,0.40087384,-0.09912616,0.47951939,2.59803386,1.56144184,-0.028896886224,3.602675199862,3.573778313639
