bucket,real_count,model_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model
duration_01,1784316,1784459,0.700548,0.70110213,-0.00055413,0.0004847723,-0.00150428,0.00039602,-1.143072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48116309,1.47958233,0.00158076
duration_02,731612,732210,0.34360563,0.34309693,0.0005087,0.0007849134,-0.00102973,0.00204713,0.648099,0.5,0.5,0.0,0.0008265248,-0.00161999,0.00161999,0.0,2.10173835,2.10440994,-0.00267158
duration_03,388884,389325,0.35404388,0.35262056,0.00142332,0.0010837118,-0.00070076,0.00354739,1.313373,0.5013243,0.50243627,-0.00111197,0.0011335707,-0.00333376,0.00110983,-0.980941,2.33045587,2.32908752,0.00136835
duration_04,278612,279116,0.35639886,0.35629272,0.00010614,0.00128257,-0.0024077,0.00261998,0.082755,0.47758173,0.47733201,0.00024972,0.0013376641,-0.0023721,0.00287154,0.186685,2.44765839,2.45046862,-0.00281023
duration_05,223885,223675,0.37559015,0.375831,-0.00024086,0.0014478518,-0.00307865,0.00259693,-0.166355,0.47084887,0.47030289,0.00054598,0.0014921794,-0.00237869,0.00347065,0.365893,2.43229783,2.43256511,-0.00026727
duration_06,177576,176094,0.37078772,0.37125626,-0.00046854,0.0016246224,-0.0036528,0.00271572,-0.2884,0.47063229,0.4718673,-0.00123501,0.0016787474,-0.00452535,0.00205534,-0.735671,2.48905257,2.48790987,0.00114271
duration_07,145124,142996,0.37700863,0.37841618,-0.00140755,0.0018064754,-0.00494824,0.00213314,-0.779171,0.4715278,0.46955859,0.00196921,0.0018598115,-0.00167602,0.00561444,1.058821,2.47914198,2.47251671,0.00662526
duration_08,112480,110384,0.3777027,0.37817981,-0.00047711,0.0020542701,-0.00450348,0.00354926,-0.232251,0.47316856,0.47161726,0.0015513,0.0021151217,-0.00259434,0.00569694,0.733433,2.49691501,2.49660277,0.00031224
duration_09,88641,88425,0.37533421,0.37569692,-0.00036271,0.0023016407,-0.00487392,0.00414851,-0.157585,0.46907187,0.47176703,-0.00269516,0.0023723015,-0.00734487,0.00195455,-1.136095,2.52801751,2.52910376,-0.00108625
duration_10,73670,73360,0.3744265,0.37401854,0.00040796,0.002524078,-0.00453924,0.00535515,0.161626,0.46877969,0.47002454,-0.00124484,0.0026030529,-0.00634683,0.00385714,-0.478224,2.54331478,2.54293893,0.00037585
duration_11_20,295963,297361,0.37885479,0.37817333,0.00068146,0.001259337,-0.00178684,0.00314976,0.541124,0.46993374,0.46926127,0.00067247,0.0012958384,-0.00186737,0.00321232,0.518949,2.55729601,2.5545549,0.00274111
duration_21_40,58689,62030,0.3820307,0.37659197,0.00543873,0.0027941732,-3.785e-05,0.01091531,1.946455,0.46541941,0.47041754,-0.00499813,0.0028732501,-0.0106297,0.00063344,-1.739537,2.56383649,2.58966629,-0.0258298
duration_41_plus,1831,2753,0.40087384,0.38067563,0.02019821,0.0147244371,-0.00866168,0.04905811,1.371748,0.47951939,0.46458409,0.0149353,0.0150553228,-0.01457313,0.04444373,0.992028,2.59803386,2.62622594,-0.02819207
