source,bucket,tail,count,fraction,geometric_fraction,diff_vs_geometric
model,final_block,1,488092,0.68213098,0.5,0.18213098
model,final_block,2,148665,0.20776616,0.25,-0.04223384
model,final_block,3,54065,0.07555832,0.125,-0.04944168
model,final_block,4,16731,0.02338234,0.0625,-0.03911766
model,final_block,5,5123,0.00715963,0.03125,-0.02409037
model,final_block,6,1902,0.00265813,0.015625,-0.01296687
model,final_block,7,630,0.00088045,0.0078125,-0.00693205
model,final_block,8,233,0.00032563,0.00390625,-0.00358062
model,final_block,9,57,7.966e-05,0.00195312,-0.00187346
model,final_block,10,32,4.472e-05,0.00097656,-0.00093184
model,final_block,11,9,1.258e-05,0.00048828,-0.0004757
model,final_block,12,1,1.4e-06,0.00024414,-0.00024274
real,final_block,1,488891,0.6831111,0.5,0.1831111
real,final_block,2,148344,0.20727613,0.25,-0.04272387
real,final_block,3,53855,0.0752498,0.125,-0.0497502
real,final_block,4,16689,0.02331898,0.0625,-0.03918102
real,final_block,5,5036,0.00703663,0.03125,-0.02421337
real,final_block,6,1915,0.00267577,0.015625,-0.01294923
real,final_block,7,641,0.00089565,0.0078125,-0.00691685
real,final_block,8,208,0.00029063,0.00390625,-0.00361562
real,final_block,9,72,0.0001006,0.00195312,-0.00185252
real,final_block,10,22,3.074e-05,0.00097656,-0.00094582
real,final_block,11,7,9.78e-06,0.00048828,-0.0004785
real,final_block,12,1,1.4e-06,0.00024414,-0.00024274
real,final_block,13,1,1.4e-06,0.00012207,-0.00012067
real,final_block,15,1,1.4e-06,3.052e-05,-2.912e-05
model,first_block,2,312236,0.43636414,0.25,0.18636414
model,first_block,3,156006,0.21802555,0.125,0.09302555
model,first_block,4,117444,0.16413338,0.0625,0.10163338
model,first_block,5,58538,0.08180954,0.03125,0.05055954
model,first_block,6,34337,0.04798753,0.015625,0.03236253
model,first_block,7,18238,0.02548844,0.0078125,0.01767594
model,first_block,8,9192,0.01284624,0.00390625,0.00893999
model,first_block,9,4713,0.00658663,0.00195312,0.00463351
model,first_block,10,2412,0.00337088,0.00097656,0.00239432
model,first_block,11,1152,0.00160997,0.00048828,0.00112169
model,first_block,12,651,0.0009098,0.00024414,0.00066566
model,first_block,13,304,0.00042485,0.00012207,0.00030278
model,first_block,14,140,0.00019566,6.104e-05,0.00013462
model,first_block,15,80,0.0001118,3.052e-05,8.129e-05
model,first_block,16,58,8.106e-05,1.526e-05,6.58e-05
model,first_block,17,25,3.494e-05,7.63e-06,2.731e-05
model,first_block,18,8,1.118e-05,3.81e-06,7.37e-06
model,first_block,19,3,4.19e-06,1.91e-06,2.29e-06
model,first_block,20,2,2.8e-06,9.5e-07,1.84e-06
model,first_block,22,1,1.4e-06,2.4e-07,1.16e-06
real,first_block,2,312500,0.43664583,0.25,0.18664583
real,first_block,3,156250,0.21832292,0.125,0.09332292
real,first_block,4,117187,0.16374149,0.0625,0.10124149
real,first_block,5,58594,0.08187144,0.03125,0.05062144
real,first_block,6,34180,0.04775857,0.015625,0.03213357
real,first_block,7,18310,0.02558395,0.0078125,0.01777145
real,first_block,8,9155,0.01279198,0.00390625,0.00888573
real,first_block,9,4730,0.00660907,0.00195312,0.00465595
real,first_block,10,2365,0.00330454,0.00097656,0.00232797
real,first_block,11,1202,0.00167951,0.00048828,0.00119123
real,first_block,12,605,0.00084535,0.00024414,0.00060121
real,first_block,13,302,0.00042197,0.00012207,0.0002999
real,first_block,14,152,0.00021238,6.104e-05,0.00015135
real,first_block,15,75,0.0001048,3.052e-05,7.428e-05
real,first_block,16,38,5.31e-05,1.526e-05,3.784e-05
real,first_block,17,19,2.655e-05,7.63e-06,1.892e-05
real,first_block,18,10,1.397e-05,3.81e-06,1.016e-05
real,first_block,19,5,6.99e-06,1.91e-06,5.08e-06
real,first_block,20,2,2.79e-06,9.5e-07,1.84e-06
real,first_block,21,1,1.4e-06,4.8e-07,9.2e-07
real,first_block,22,1,1.4e-06,2.4e-07,1.16e-06
model,interior_block,1,442676,0.3860606,0.5,-0.1139394
model,interior_block,2,318340,0.27762637,0.25,0.02762637
model,interior_block,3,177923,0.1551678,0.125,0.0301678
model,interior_block,4,99376,0.08666645,0.0625,0.02416645
model,interior_block,5,53185,0.04638298,0.03125,0.01513298
model,interior_block,6,27080,0.02361664,0.015625,0.00799164
model,interior_block,7,13987,0.01219815,0.0078125,0.00438565
model,interior_block,8,6936,0.00604893,0.00390625,0.00214268
model,interior_block,9,3589,0.00312999,0.00195312,0.00117687
model,interior_block,10,1750,0.00152619,0.00097656,0.00054962
model,interior_block,11,890,0.00077617,0.00048828,0.00028789
model,interior_block,12,457,0.00039855,0.00024414,0.00015441
model,interior_block,13,239,0.00020843,0.00012207,8.636e-05
model,interior_block,14,115,0.00010029,6.104e-05,3.926e-05
model,interior_block,15,53,4.622e-05,3.052e-05,1.57e-05
model,interior_block,16,24,2.093e-05,1.526e-05,5.67e-06
model,interior_block,17,14,1.221e-05,7.63e-06,4.58e-06
model,interior_block,18,6,5.23e-06,3.81e-06,1.42e-06
model,interior_block,19,4,3.49e-06,1.91e-06,1.58e-06
model,interior_block,20,4,3.49e-06,9.5e-07,2.53e-06
model,interior_block,21,1,8.7e-07,4.8e-07,4e-07
real,interior_block,1,442739,0.38646876,0.5,-0.11353124
real,interior_block,2,316974,0.27668796,0.25,0.02668796
real,interior_block,3,178094,0.15545901,0.125,0.03045901
real,interior_block,4,99885,0.08719004,0.0625,0.02469004
real,interior_block,5,52629,0.04594008,0.03125,0.01469008
real,interior_block,6,27145,0.02369499,0.015625,0.00806999
real,interior_block,7,13862,0.0121002,0.0078125,0.0042877
real,interior_block,8,7196,0.00628142,0.00390625,0.00237517
real,interior_block,9,3541,0.00309095,0.00195312,0.00113783
real,interior_block,10,1835,0.00160178,0.00097656,0.00062522
real,interior_block,11,869,0.00075855,0.00048828,0.00027027
real,interior_block,12,408,0.00035614,0.00024414,0.000112
real,interior_block,13,202,0.00017633,0.00012207,5.426e-05
real,interior_block,14,112,9.777e-05,6.104e-05,3.673e-05
real,interior_block,15,42,3.666e-05,3.052e-05,6.14e-06
real,interior_block,16,28,2.444e-05,1.526e-05,9.18e-06
real,interior_block,17,24,2.095e-05,7.63e-06,1.332e-05
real,interior_block,18,7,6.11e-06,3.81e-06,2.3e-06
real,interior_block,19,9,7.86e-06,1.91e-06,5.95e-06
model,only_block,1,1251088,0.70110213,0.5,0.20110213
model,only_block,2,312279,0.17499926,0.25,-0.07500074
model,only_block,3,156086,0.08746965,0.125,-0.03753035
model,only_block,4,38788,0.02173656,0.0625,-0.04076344
model,only_block,5,19445,0.01089686,0.03125,-0.02035314
model,only_block,6,4696,0.00263161,0.015625,-0.01299339
model,only_block,7,1200,0.00067247,0.0078125,-0.00714003
model,only_block,8,631,0.00035361,0.00390625,-0.00355264
model,only_block,9,150,8.406e-05,0.00195312,-0.00186907
model,only_block,10,65,3.643e-05,0.00097656,-0.00094014
model,only_block,11,27,1.513e-05,0.00048828,-0.00047315
model,only_block,12,1,5.6e-07,0.00024414,-0.00024358
model,only_block,13,2,1.12e-06,0.00012207,-0.00012095
model,only_block,14,1,5.6e-07,6.104e-05,-6.047e-05
real,only_block,1,1249999,0.700548,0.5,0.200548
real,only_block,2,312500,0.17513714,0.25,-0.07486286
real,only_block,3,156250,0.08756857,0.125,-0.03743143
real,only_block,4,39063,0.02189242,0.0625,-0.04060758
real,only_block,5,19531,0.01094593,0.03125,-0.02030407
real,only_block,6,4883,0.00273662,0.015625,-0.01288838
real,only_block,7,1221,0.0006843,0.0078125,-0.0071282
real,only_block,8,611,0.00034243,0.00390625,-0.00356382
real,only_block,9,153,8.575e-05,0.00195312,-0.00186738
real,only_block,10,76,4.259e-05,0.00097656,-0.00093397
real,only_block,11,19,1.065e-05,0.00048828,-0.00047763
real,only_block,12,5,2.8e-06,0.00024414,-0.00024134
real,only_block,13,3,1.68e-06,0.00012207,-0.00012039
real,only_block,14,1,5.6e-07,6.104e-05,-6.047e-05
real,only_block,15,1,5.6e-07,3.052e-05,-2.996e-05
