bucket,real_count,model_count,real_tail_one_fraction,model_tail_one_fraction,tail_one_diff_real_minus_model,tail_one_diff_se,tail_one_diff_ci95_low,tail_one_diff_ci95_high,tail_one_diff_z,real_expansive_fraction,model_expansive_fraction,expansive_diff_real_minus_model,expansive_diff_se,expansive_diff_ci95_low,expansive_diff_ci95_high,expansive_diff_z,real_avg_tail,model_avg_tail,avg_tail_diff_real_minus_model
prev_exit_v2_01,1419206,1419553,0.50045166,0.49965236,0.00079931,0.0005935203,-0.00036399,0.00196261,1.34672,0.28608391,0.28636479,-0.00028088,0.0005365372,-0.0013325,0.00077073,-0.523511,1.99832794,1.99898489,-0.00065695
prev_exit_v2_02,328893,328832,0.50041807,0.50020679,0.00021128,0.0012330416,-0.00220548,0.00262804,0.171346,0.28587413,0.28639853,-0.0005244,0.001114556,-0.00270893,0.00166013,-0.470498,1.99767706,2.00010644,-0.00242938
prev_exit_v2_03,84177,84666,0.4965727,0.50075591,-0.00418321,0.0024336321,-0.00895313,0.00058671,-1.718918,0.28655096,0.2843172,0.00223376,0.0021981863,-0.00207469,0.0065422,1.016183,2.00817325,2.0008504,0.00732285
prev_exit_v2_04,21880,21869,0.511883,0.5009374,0.0109456,0.00478029,0.00157623,0.02031497,2.289735,0.28176417,0.28743884,-0.00567467,0.0043144982,-0.01413109,0.00278174,-1.315257,1.99611517,1.98641913,0.00969604
prev_exit_v2_05,5385,5500,0.54447539,0.50345455,0.04102085,0.0095661018,0.02227129,0.05977041,4.288147,0.25979573,0.28127273,-0.021477,0.0085127393,-0.03816197,-0.00479203,-2.522924,1.92423398,1.99,-0.06576602
prev_exit_v2_06,1280,1326,0.4921875,0.49396682,-0.00177932,0.0195901587,-0.04017603,0.03661739,-0.090827,0.26953125,0.28355958,-0.01402833,0.0175220874,-0.04837162,0.02031496,-0.800608,1.96640625,2.00226244,-0.03585619
prev_exit_v2_07,332,320,0.56927711,0.509375,0.05990211,0.03898117,-0.01650098,0.1363052,1.536693,0.19277108,0.290625,-0.09785392,0.033361094,-0.16324166,-0.03246617,-2.933175,1.70481928,2.046875,-0.34205572
prev_exit_v2_08,85,93,0.49411765,0.49462366,-0.00050601,0.0750242002,-0.14755344,0.14654142,-0.006745,0.21176471,0.29032258,-0.07855787,0.0646467616,-0.20526553,0.04814978,-1.215187,1.89411765,2.02150538,-0.12738773
prev_exit_v2_09,36,22,0.22222222,0.45454545,-0.23232323,0.1267707356,-0.48079387,0.01614741,-1.832625,0.47222222,0.27272727,0.19949495,0.1262489152,-0.04795292,0.44694282,1.580172,2.19444444,2.13636364,0.05808081
prev_exit_v2_10,10,5,0.1,0.6,-0.5,0.2387467277,-0.96794359,-0.03205641,-2.09427,0.8,0.2,0.6,0.219089023,0.17058551,1.02941449,2.738613,2.0,1.8,0.2
